Date, ERA5 2m Air Temperature (K) 10N-20N;30E-40E
1980-01-01,  295.189
1980-02-01,  296.449
1980-03-01,  299.913
1980-04-01,  302.360
1980-05-01,  303.242
1980-06-01,  302.321
1980-07-01,  300.607
1980-08-01,  300.884
1980-09-01,  301.311
1980-10-01,  301.000
1980-11-01,  298.640
1980-12-01,  296.261
1981-01-01,  295.230
1981-02-01,  296.497
1981-03-01,  299.405
1981-04-01,  301.425
1981-05-01,  303.175
1981-06-01,  303.072
1981-07-01,  301.010
1981-08-01,  301.290
1981-09-01,  300.566
1981-10-01,  300.974
1981-11-01,  297.600
1981-12-01,  297.084
1982-01-01,  296.586
1982-02-01,  294.983
1982-03-01,  298.934
1982-04-01,  301.765
1982-05-01,  302.078
1982-06-01,  302.416
1982-07-01,  301.236
1982-08-01,  300.539
1982-09-01,  300.663
1982-10-01,  299.373
1982-11-01,  296.474
1982-12-01,  294.763
1983-01-01,  292.041
1983-02-01,  295.616
1983-03-01,  297.667
1983-04-01,  301.186
1983-05-01,  303.191
1983-06-01,  302.713
1983-07-01,  302.050
1983-08-01,  300.895
1983-09-01,  301.134
1983-10-01,  300.301
1983-11-01,  298.509
1983-12-01,  296.244
1984-01-01,  294.291
1984-02-01,  297.784
1984-03-01,  300.771
1984-04-01,  302.404
1984-05-01,  302.810
1984-06-01,  301.741
1984-07-01,  300.898
1984-08-01,  300.831
1984-09-01,  300.869
1984-10-01,  300.886
1984-11-01,  297.900
1984-12-01,  296.163
1985-01-01,  297.426
1985-02-01,  295.130
1985-03-01,  300.533
1985-04-01,  301.053
1985-05-01,  301.863
1985-06-01,  301.237
1985-07-01,  299.724
1985-08-01,  300.411
1985-09-01,  300.049
1985-10-01,  299.999
1985-11-01,  298.207
1985-12-01,  296.219
1986-01-01,  295.529
1986-02-01,  297.930
1986-03-01,  300.600
1986-04-01,  301.224
1986-05-01,  302.791
1986-06-01,  301.595
1986-07-01,  300.470
1986-08-01,  301.000
1986-09-01,  300.412
1986-10-01,  300.347
1986-11-01,  298.264
1986-12-01,  294.593
1987-01-01,  295.459
1987-02-01,  298.313
1987-03-01,  299.375
1987-04-01,  301.727
1987-05-01,  302.160
1987-06-01,  302.237
1987-07-01,  302.354
1987-08-01,  301.162
1987-09-01,  301.919
1987-10-01,  300.611
1987-11-01,  299.291
1987-12-01,  296.216
1988-01-01,  295.662
1988-02-01,  296.697
1988-03-01,  300.511
1988-04-01,  302.604
1988-05-01,  303.720
1988-06-01,  302.955
1988-07-01,  300.856
1988-08-01,  299.617
1988-09-01,  300.769
1988-10-01,  300.239
1988-11-01,  298.145
1988-12-01,  296.823
1989-01-01,  292.711
1989-02-01,  294.288
1989-03-01,  298.278
1989-04-01,  301.616
1989-05-01,  302.922
1989-06-01,  302.579
1989-07-01,  301.691
1989-08-01,  301.133
1989-09-01,  301.434
1989-10-01,  300.341
1989-11-01,  298.856
1989-12-01,  295.447
1990-01-01,  295.770
1990-02-01,  295.076
1990-03-01,  297.677
1990-04-01,  302.260
1990-05-01,  303.822
1990-06-01,  303.435
1990-07-01,  301.563
1990-08-01,  301.838
1990-09-01,  301.765
1990-10-01,  301.622
1990-11-01,  300.314
1990-12-01,  298.721
1991-01-01,  295.109
1991-02-01,  297.239
