year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,5.621,8.146,9.775,14.73,23.864,27.469,28.166,26.405,22.633,16.316,11.174,4.402
1949,3.68,5.801,9.614,16.739,23.652,28.725,28.466,25.408,21.791,14.85,10.907,7.04
1950,2.623,4.317,10.893,16.634,23.346,27.063,29.308,27.714,22.946,19.305,10.134,5.284
1951,4.51,3.638,10.962,17.249,23.73,26.798,29.255,27.856,24.672,18.474,12.339,7.802
1952,5.231,8.805,11.447,17.739,22.875,26.877,29.15,27.208,23.461,18.503,9.986,7.001
1953,6.985,9.846,9.774,17.144,22.995,27.607,29.214,27.926,23.523,17.12,10.024,4.389
1954,4.786,5.054,9.329,16.637,23.283,26.383,29.045,26.754,22.341,18.033,10.417,7.281
1955,5.369,8.804,11.342,17.091,22.055,26.935,29.644,28.569,23.902,17.271,12.885,7.181
1956,4.221,6.972,9.352,17.113,22.089,25.965,29.37,26.947,22.479,17.244,12.354,5.175
1957,2.599,6.273,10.93,14.715,21.943,25.173,26.828,26.215,22.68,16.875,9.577,6.355
1958,6.266,7.203,12.845,17.578,22.123,27.0,28.196,26.94,22.515,17.04,7.198,6.452
1959,4.758,3.424,9.379,19.308,21.751,26.212,27.165,27.787,23.573,17.503,8.548,4.581
1960,7.108,9.945,7.428,14.939,20.841,26.837,27.347,27.075,22.412,17.468,10.545,5.511
1961,4.375,5.099,9.885,14.455,23.643,26.51,27.824,25.269,21.59,14.894,10.836,7.697
1962,3.715,7.907,12.728,14.353,21.18,24.373,27.502,24.541,19.783,16.352,7.439,6.757
1963,8.128,9.017,9.633,16.761,19.596,25.952,27.796,26.192,22.739,18.441,10.166,4.757
1964,-0.206,7.442,12.697,14.664,23.035,26.85,29.225,28.003,22.633,14.599,11.05,2.233
1965,2.99,6.521,10.181,14.982,23.736,27.184,28.561,27.335,22.795,18.088,12.313,7.429
1966,8.545,8.149,10.029,15.615,21.895,28.056,28.733,28.301,22.993,15.876,10.275,6.736
1967,5.016,4.272,8.985,14.061,21.756,24.806,27.736,26.819,22.52,16.956,11.219,5.503
1968,4.118,3.467,10.502,14.45,21.547,25.441,27.279,26.88,23.263,16.95,11.385,5.671
1969,1.07,2.311,11.802,15.372,21.611,26.628,27.525,25.96,21.769,17.521,8.937,7.966
1970,3.345,8.137,10.136,18.008,23.784,26.362,27.927,28.213,22.118,16.863,12.893,4.668
1971,2.945,4.997,11.893,15.114,23.532,26.279,28.344,26.896,21.958,16.532,11.953,5.983
1972,-0.699,-1.177,6.87,15.949,18.967,26.725,27.78,25.035,23.118,17.869,10.69,0.943
1973,-1.592,7.151,9.159,15.952,21.541,26.742,28.289,26.766,21.397,17.747,11.047,4.82
1974,0.804,2.185,10.311,15.042,23.015,26.689,27.315,25.426,22.2,16.143,11.908,3.399
1975,2.58,4.71,9.589,16.466,22.68,26.84,29.303,26.52,22.491,15.672,8.617,3.758
1976,4.753,2.089,5.58,15.591,21.486,25.659,28.552,27.493,23.538,16.676,8.432,5.34
1977,-0.914,6.263,13.437,17.467,22.727,28.841,28.861,27.543,23.338,16.793,11.771,6.379
1978,3.78,5.222,10.21,16.418,21.125,25.297,27.79,25.98,24.555,18.415,8.323,8.509
1979,3.747,7.232,9.92,17.722,20.323,25.605,28.769,26.279,23.372,19.343,10.938,5.775
1980,2.469,4.491,10.37,19.331,23.15,26.938,28.985,27.102,23.055,17.323,12.99,6.805
1981,5.509,6.872,12.413,16.88,21.772,25.603,28.028,26.902,22.819,16.647,12.337,6.507
1982,3.169,3.652,8.899,18.969,23.075,26.166,28.689,26.558,22.891,16.903,8.16,3.767
1983,2.893,6.221,8.403,16.487,24.059,27.319,30.279,28.107,23.061,17.024,13.149,5.264
1984,3.014,2.249,10.89,17.926,20.809,25.987,28.781,27.874,22.696,16.365,11.792,1.103
1985,4.951,6.635,8.97,17.774,23.486,27.589,27.822,25.931,23.734,16.532,12.412,5.365
1986,3.995,6.093,7.289,16.805,23.111,26.613,28.48,27.037,23.695,19.091,10.062,4.183
1987,5.598,7.698,10.185,16.819,24.616,27.32,27.92,27.913,23.057,14.372,11.857,6.509
1988,3.444,5.679,11.15,18.002,22.654,28.239,28.913,26.919,23.275,18.352,12.721,7.698
1989,1.479,3.534,11.064,17.141,21.935,27.463,29.493,27.78,23.284,19.287,11.995,5.956
1990,2.505,5.623,10.595,16.641,22.991,28.061,28.569,27.969,25.032,17.559,13.287,5.362
1991,3.935,4.919,9.82,17.602,21.095,26.668,29.437,27.688,23.391,18.272,11.128,5.861
1992,1.778,4.89,7.472,15.371,19.605,26.619,28.345,25.376,21.68,16.888,12.027,5.197
1993,2.348,5.234,9.336,17.044,22.006,26.617,27.958,27.09,23.993,16.042,8.959,6.209
1994,4.331,4.256,11.199,17.464,23.123,27.021,29.261,28.787,21.404,17.409,13.266,3.845
1995,6.139,6.502,10.937,17.94,23.067,27.076,30.052,28.96,23.878,16.959,13.122,5.107
1996,3.017,5.733,8.624,15.809,23.45,27.027,28.758,27.566,25.61,17.642,10.472,8.598
1997,6.162,5.107,8.762,17.145,22.783,28.494,30.106,28.41,23.891,20.569,10.279,6.263
1998,2.939,4.82,10.241,19.085,22.987,28.545,29.765,28.853,24.724,17.899,13.703,10.546
1999,4.577,9.038,10.385,17.556,22.917,27.919,28.487,29.738,24.056,19.545,10.508,7.864
2000,4.388,5.812,10.348,20.86,24.91,27.016,28.514,28.711,24.948,17.049,8.921,6.732
2001,3.113,5.682,12.909,20.01,25.347,27.945,29.212,28.308,24.064,18.011,12.121,8.52
2002,4.473,6.925,12.92,16.478,22.918,26.955,29.163,29.076,25.437,20.817,11.464,3.391
2003,4.921,6.99,9.952,17.317,21.542,26.566,29.894,28.322,23.525,20.472,10.334,6.071
2004,6.418,8.6,13.566,16.237,23.153,27.524,27.641,28.219,23.363,17.651,12.677,4.098
2005,3.018,3.65,12.305,18.371,22.577,27.511,29.942,27.439,25.091,18.674,10.611,7.965
2006,1.524,8.719,12.603,18.639,24.629,28.17,29.212,29.116,23.36,20.511,10.609,3.111
2007,3.838,6.927,9.727,18.179,23.572,27.931,28.77,28.087,23.32,17.028,12.876,4.806
2008,-2.937,3.821,16.187,19.635,24.451,27.921,29.686,28.092,24.211,18.32,10.543,5.628
2009,4.325,8.592,13.139,14.583,23.85,26.167,29.267,27.87,23.429,17.776,11.098,7.08
2010,7.409,7.219,13.981,18.039,23.521,29.196,30.093,27.999,23.487,20.278,12.153,8.242
2011,4.21,4.384,10.582,18.533,24.388,28.562,29.869,28.627,23.598,17.387,8.047,4.304
2012,3.601,2.68,9.35,18.631,24.376,27.014,29.288,28.202,23.056,18.741,11.584,5.65
2013,6.034,8.134,13.008,16.661,22.42,27.254,29.382,26.788,25.034,17.275,11.669,4.444
2014,3.752,2.038,10.911,17.572,24.078,27.887,29.054,28.706,24.734,16.771,8.697,6.563
2015,5.47,8.004,10.117,18.513,24.256,29.187,29.424,28.084,23.13,19.055,10.271,5.523
2016,6.805,8.335,13.053,17.02,25.026,27.512,29.637,27.3,25.1,16.771,9.183,7.39
2017,4.948,4.538,11.248,18.048,25.14,28.258,29.779,27.931,24.612,18.976,12.597,7.426
2018,5.29,8.385,15.633,16.618,22.791,28.247,31.109,28.203,24.369,17.838,10.579,8.24
2019,7.153,6.559,10.556,16.132,24.131,28.62,31.27,27.938,25.017,18.953,8.647,8.429
2020,3.91,8.051,10.118,14.462,22.68,28.694,29.92,27.464,22.71,16.45,10.543,3.817
2021,4.334,8.278,11.322,19.436,24.73,29.742,30.72,28.994,25.199,16.526,10.788,8.19
2022,4.684,7.161,11.612,19.565,22.177,29.192,29.749,27.203,25.411,19.438,12.476,5.313
2023,2.63,8.092,14.587,18.603,23.819,29.023,30.277,28.206,23.973,19.936,14.606,9.024
2024,7.238,,,,,,,,,,,
