Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.301,0.116,0.724,0.095,0.378,3.38,7.46,4.212,1.795,0.488,0.118,0.175
1982,0.59,0.378,0.525,0.169,1.057,0.888,5.189,14.798,1.16,0.53,0.114,0.153
1983,0.544,0.196,0.185,0.17,0.976,1.071,5.977,10.052,5.122,1.329,0.08,0.113
1984,0.248,0.177,0.169,0.13,0.274,0.952,2.593,5.091,5.536,0.347,0.08,0.122
1985,0.331,0.128,0.396,0.286,0.264,0.919,10.683,9.051,2.507,4.067,0.078,0.194
1986,0.427,0.511,0.296,0.099,1.233,1.89,5.354,4.729,1.557,1.031,0.084,0.136
1987,0.609,0.229,0.318,0.098,0.63,0.735,2.853,5.642,2.009,0.404,0.078,0.139
1988,0.314,0.251,0.506,0.138,0.28,2.008,8.265,10.309,2.65,0.783,0.078,0.127
1989,0.561,0.145,0.378,0.102,0.231,1.231,4.002,8.839,2.517,0.938,0.11,0.115
1990,0.207,0.483,0.27,0.11,0.357,1.532,8.204,8.45,9.808,0.49,0.086,0.144
1991,0.311,0.333,0.222,0.127,1.138,0.841,2.325,9.043,3.211,0.414,0.146,0.146
1992,0.372,0.258,0.281,0.13,0.661,0.482,3.601,6.741,3.273,1.566,0.135,0.1
1993,0.242,0.309,0.356,0.136,0.368,1.782,4.982,7.976,12.791,0.432,0.095,0.103
1994,0.599,0.287,0.179,0.223,0.376,2.456,11.152,8.146,1.399,0.734,0.097,0.1
1995,0.737,0.241,0.287,0.146,0.226,0.94,3.335,15.395,3.79,0.913,0.088,0.135
1996,0.339,0.339,0.29,0.15,0.493,3.38,6.597,10.826,5.288,1.328,0.079,0.107
1997,0.236,0.135,0.324,0.113,1.093,2.143,6.549,8.398,4.327,1.709,0.133,0.192
1998,0.193,0.254,0.672,0.26,0.326,1.9,8.422,7.412,4.658,2.471,0.099,0.141
1999,0.435,0.33,0.203,0.121,0.386,2.172,5.594,6.605,6.209,2.243,0.096,0.134
2000,0.417,0.205,0.226,0.17,0.721,1.998,6.892,9.866,1.469,0.269,0.081,0.115
2001,0.262,0.149,0.216,0.486,0.721,2.883,9.428,5.095,0.958,0.801,0.072,0.108
2002,0.412,0.425,0.247,0.253,1.239,0.983,0.721,6.876,4.05,0.281,0.079,0.149
2003,0.351,0.454,0.266,0.103,0.235,1.894,9.401,4.844,6.166,0.632,0.088,0.112
2004,0.547,0.121,0.166,0.366,0.509,0.911,4.031,8.844,2.529,2.225,0.097,0.154
2005,0.276,0.193,0.621,0.246,0.321,1.366,8.71,3.286,4.252,0.296,0.078,0.111
2006,0.448,0.165,0.612,0.135,0.856,2.588,7.183,3.318,1.925,0.581,0.079,0.106
2007,0.261,1.101,0.77,0.145,0.805,1.645,6.709,5.646,3.588,0.283,0.079,0.117
2008,0.256,0.123,0.414,0.289,0.973,4.191,8.533,9.425,4.884,0.266,0.079,0.137
2009,0.281,0.157,0.287,0.152,0.963,0.974,4.392,5.464,3.241,2.06,0.203,0.135
2010,0.253,0.435,0.16,0.163,0.436,0.853,8.073,9.247,8.92,0.286,0.18,0.111
2011,0.218,0.313,0.193,0.213,1.106,3.033,7.994,6.913,8.733,0.266,0.072,0.107
2012,0.427,0.134,0.154,0.256,0.394,0.442,7.936,12.527,5.135,0.268,0.066,0.092
2013,0.395,0.856,0.335,0.171,0.337,4.903,6.908,10.305,2.099,2.767,0.084,0.166
2014,0.993,0.533,0.423,0.166,0.711,0.548,5.704,5.307,2.875,0.467,0.07,0.132
2015,0.693,0.28,1.532,0.323,0.706,1.439,6.846,5.821,1.867,0.771,0.087,0.161
2016,0.209,0.127,0.42,0.108,1.213,1.52,12.244,7.268,1.564,1.275,0.07,0.089
2017,0.426,0.131,0.272,0.116,1.42,2.823,4.73,8.286,3.335,0.316,0.075,0.104
2018,0.211,0.205,0.152,0.551,0.861,1.799,10.393,12.643,5.24,0.333,0.089,0.096
2019,0.378,0.503,0.346,0.473,0.74,1.144,7.525,7.421,6.833,0.648,0.115,0.182
2020,0.875,0.217,0.879,0.224,1.479,1.615,5.853,9.26,2.306,0.333,0.208,0.096
2021,0.401,0.137,0.346,0.102,1.403,0.952,9.471,8.208,6.175,2.282,0.11,0.27
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
