Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.037,0.027,0.059,0.064,0.175,2.028,13.009,9.137,3.264,0.183,0.363,0.064
1982,0.055,0.028,0.032,0.073,0.477,0.246,8.102,4.695,0.538,0.183,0.318,0.065
1983,0.061,0.029,0.031,0.112,0.144,5.129,11.554,9.958,5.234,0.58,0.118,0.064
1984,0.036,0.029,0.031,0.06,0.1,1.263,3.85,10.305,1.304,0.102,0.118,0.064
1985,0.036,0.029,0.035,0.066,0.115,0.166,6.422,5.227,0.305,0.765,0.115,0.063
1986,0.036,0.029,0.031,0.06,0.244,6.063,5.728,5.883,0.216,0.105,0.159,0.063
1987,0.036,0.034,0.052,0.062,0.16,0.876,0.898,7.994,0.191,0.109,0.119,0.08
1988,0.036,0.029,0.031,0.123,0.123,1.187,14.35,6.889,4.961,0.272,0.118,0.064
1989,0.044,0.029,0.031,0.06,0.127,4.318,10.118,8.732,1.65,0.09,0.117,0.064
1990,0.036,0.037,0.031,0.06,0.754,0.921,4.953,17.829,5.446,0.15,0.132,0.078
1991,0.036,0.029,0.031,0.06,0.123,0.883,13.253,1.627,0.354,0.09,0.116,0.064
1992,0.036,0.029,0.031,0.06,0.131,1.601,9.902,5.753,4.545,0.137,0.195,0.064
1993,0.036,0.029,0.035,0.06,0.125,1.376,15.965,2.28,2.964,0.23,0.25,0.064
1994,0.042,0.029,0.031,0.06,0.126,2.983,18.419,9.327,6.186,0.143,0.117,0.064
1995,0.036,0.029,0.032,0.071,0.128,1.024,11.527,1.457,1.932,0.124,0.14,0.092
1996,0.036,0.029,0.031,0.06,0.127,3.657,15.753,6.479,2.49,0.412,0.118,0.064
1997,0.041,0.029,0.037,0.123,0.388,9.862,7.648,8.012,2.385,0.107,0.145,0.065
1998,0.036,0.031,0.031,0.062,0.127,2.974,14.411,7.47,6.297,0.779,0.165,0.064
1999,0.036,0.062,0.031,0.06,0.248,4.696,9.576,2.003,1.403,1.655,0.145,0.064
2000,0.036,0.027,0.031,0.053,0.21,1.469,15.35,4.681,0.45,0.084,0.106,0.068
2001,0.036,0.027,0.031,0.111,0.682,4.546,7.764,5.071,0.186,0.34,0.105,0.062
2002,0.036,0.027,0.035,0.053,0.114,3.687,0.83,5.649,2.274,0.076,0.109,0.062
2003,0.036,0.033,0.031,0.06,0.123,2.202,15.109,8.205,2.179,0.106,0.107,0.062
2004,0.036,0.027,0.031,0.053,0.256,2.626,12.241,14.439,1.648,0.261,0.119,0.062
2005,0.036,0.027,0.037,0.063,0.217,6.785,11.428,3.637,11.438,0.101,0.122,0.062
2006,0.036,0.027,0.06,0.054,0.318,3.571,15.5,18.628,3.991,0.147,0.116,0.062
2007,0.036,0.032,0.031,0.053,0.144,3.959,15.019,14.17,5.2,0.092,0.143,0.062
2008,0.036,0.027,0.032,0.095,0.108,1.806,7.843,7.875,5.845,0.085,0.125,0.062
2009,0.04,0.028,0.032,0.061,0.127,0.717,15.817,6.528,0.657,0.248,0.108,0.062
2010,0.04,0.037,0.031,0.067,0.104,1.707,16.052,17.797,5.799,0.126,0.75,0.073
2011,0.036,0.027,0.031,0.054,0.103,0.678,14.149,14.778,5.413,0.075,0.14,0.062
2012,0.036,0.027,0.031,0.076,0.121,0.876,5.837,5.733,11.266,0.075,0.123,0.062
2013,0.036,0.029,0.039,0.135,0.1,4.083,14.118,5.238,4.916,0.987,0.116,0.062
2014,0.059,0.028,0.033,0.142,0.104,0.258,13.777,7.043,6.127,0.105,0.175,0.062
2015,0.041,0.028,0.062,0.077,0.161,3.886,14.965,0.889,2.694,0.085,0.117,0.062
2016,0.036,0.044,0.045,0.054,0.179,1.863,14.619,10.79,1.726,2.289,0.116,0.062
2017,0.036,0.028,0.033,0.054,0.174,3.216,22.481,7.482,2.431,0.098,0.116,0.129
2018,0.036,0.056,0.033,0.058,0.099,1.298,14.38,6.479,1.499,0.1,0.136,0.062
2019,0.036,0.034,0.033,0.075,0.105,2.838,7.122,14.859,9.911,0.741,0.36,0.062
2020,0.036,0.028,0.077,0.055,0.104,4.117,7.084,18.162,5.311,0.337,0.117,0.074
2021,0.036,0.028,0.034,0.069,0.801,3.695,8.47,3.534,13.531,0.224,0.572,0.098
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
