Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.409,0.16,0.498,0.143,0.332,4.78,7.854,7.005,8.375,0.691,0.312,0.523
1982,1.049,0.392,0.285,0.155,0.326,1.938,6.58,2.413,4.066,0.948,0.66,0.145
1983,0.211,0.151,0.184,0.13,0.173,2.385,7.097,6.975,8.128,1.969,0.198,0.21
1984,0.3,0.412,0.17,0.13,0.137,3.77,5.858,9.875,2.063,1.917,0.199,0.146
1985,0.943,0.154,0.228,0.251,0.192,5.47,7.567,4.259,1.651,3.06,0.195,0.146
1986,0.211,0.248,0.173,0.195,0.287,5.629,7.917,6.941,1.295,0.268,0.229,0.249
1987,0.405,0.245,0.205,0.13,0.284,5.41,2.279,4.907,0.587,1.511,0.89,0.248
1988,0.21,0.152,0.238,0.159,0.239,4.052,11.474,8.125,8.179,2.276,0.344,0.142
1989,0.208,0.139,0.51,0.13,0.236,5.181,6.074,5.514,4.297,0.345,0.408,0.51
1990,0.212,0.21,0.187,0.13,1.666,7.688,4.244,10.88,1.478,2.02,0.222,0.369
1991,0.212,0.204,0.173,0.293,0.163,6.089,8.497,5.396,0.674,0.225,0.318,0.142
1992,0.21,0.213,0.166,0.131,0.257,3.872,3.676,7.152,2.906,1.014,0.369,0.144
1993,0.208,0.265,0.409,0.129,0.269,3.758,9.779,4.49,4.337,2.591,0.233,0.327
1994,0.214,0.229,0.17,0.176,0.312,5.534,6.843,7.419,4.784,1.49,0.463,0.144
1995,0.801,0.171,1.538,0.143,0.255,3.533,9.298,3.224,5.794,1.391,0.2,0.146
1996,0.301,0.22,0.246,0.131,0.159,1.127,8.243,6.082,2.673,1.377,0.274,0.144
1997,0.764,0.146,0.179,0.288,0.179,3.102,5.193,4.923,2.063,1.372,0.832,0.644
1998,0.206,0.149,0.259,0.13,0.213,3.247,7.12,6.152,8.539,1.65,1.275,0.144
1999,0.21,0.687,0.172,0.13,1.048,5.926,5.2,5.461,6.523,2.667,0.279,0.143
2000,0.212,0.188,0.13,0.09,1.682,5.109,7.179,6.245,1.609,0.588,0.189,0.147
2001,0.536,0.107,0.495,0.135,0.223,6.348,2.47,6.852,1.668,2.392,0.188,0.129
2002,0.364,0.209,0.2,0.163,0.172,8.132,1.792,7.408,4.397,0.902,0.232,0.13
2003,0.2,0.177,0.207,0.113,0.163,5.766,8.597,5.899,2.903,0.394,0.364,0.217
2004,0.384,0.105,0.152,0.097,0.401,2.873,5.784,4.792,3.687,0.898,0.746,0.13
2005,0.686,0.139,0.534,0.265,0.16,2.271,12.968,5.783,6.807,1.981,0.231,0.13
2006,0.195,0.105,0.858,0.095,2.057,3.738,8.183,12.292,7.794,0.375,0.755,0.13
2007,0.193,0.111,0.135,0.111,0.162,5.656,9.032,7.677,6.025,0.212,0.472,0.13
2008,0.193,0.105,0.814,0.113,0.12,3.074,5.436,5.484,5.875,0.645,0.455,0.139
2009,0.193,0.113,0.325,0.108,0.472,3.33,8.132,4.703,3.607,1.567,1.166,0.263
2010,0.61,0.201,0.564,0.15,0.264,4.27,10.118,12.266,5.83,1.581,1.684,0.13
2011,0.193,0.167,0.182,0.139,0.264,3.395,7.809,6.557,4.337,0.6,0.175,0.131
2012,0.343,0.118,0.13,0.103,0.141,5.705,9.381,5.353,5.731,1.169,0.336,0.13
2013,0.845,0.247,0.197,0.193,0.118,10.215,9.613,5.426,4.198,2.329,0.177,0.14
2014,0.25,0.219,0.981,0.212,0.153,1.308,8.494,5.006,2.938,0.323,0.466,0.158
2015,1.098,0.175,0.991,0.169,0.148,6.978,3.032,7.074,4.546,0.359,0.279,0.139
2016,0.234,0.215,0.315,0.108,0.294,6.13,12.071,4.086,4.925,1.567,0.159,0.138
2017,0.234,0.126,0.16,0.108,0.263,5.636,4.792,5.88,5.59,1.492,0.239,0.138
2018,0.234,0.283,0.194,0.145,0.426,8.27,8.939,6.12,2.424,0.183,0.407,0.147
2019,0.234,0.142,0.134,0.187,0.095,3.784,7.167,5.925,8.329,2.853,0.716,0.215
2020,0.25,0.146,0.484,0.13,0.276,7.119,9.045,9.154,5.848,2.737,0.188,0.143
2021,0.283,0.133,0.215,0.175,0.877,6.619,5.952,4.633,9.952,2.058,0.233,0.506
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
