Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.395,0.127,0.533,0.061,0.559,3.607,10.378,3.904,3.241,0.457,0.224,0.1
1982,0.469,0.342,0.288,0.105,1.741,0.964,5.066,6.743,1.191,0.703,0.306,0.104
1983,0.325,0.187,0.137,0.133,1.293,1.724,6.612,7.908,5.377,0.983,0.165,0.087
1984,0.228,0.184,0.119,0.07,0.324,0.862,3.668,7.86,5.892,0.472,0.163,0.086
1985,0.225,0.129,0.402,0.151,0.373,1.176,10.509,8.207,2.456,1.776,0.159,0.12
1986,0.272,0.343,0.169,0.069,1.498,1.872,4.706,3.625,1.747,0.892,0.163,0.085
1987,0.366,0.253,0.284,0.067,1.74,0.902,1.131,5.38,1.499,0.44,0.162,0.117
1988,0.283,0.256,0.369,0.082,0.416,1.933,8.295,9.176,3.071,0.728,0.162,0.087
1989,0.472,0.138,0.31,0.061,0.337,1.275,4.646,6.921,2.243,0.608,0.19,0.087
1990,0.222,0.558,0.206,0.074,0.853,1.24,5.863,9.113,7.344,0.48,0.218,0.114
1991,0.222,0.281,0.145,0.071,0.78,1.129,2.72,5.351,2.903,0.458,0.242,0.093
1992,0.38,0.235,0.279,0.077,0.607,0.577,4.015,9.228,4.652,0.723,0.293,0.085
1993,0.334,0.273,0.137,0.096,0.641,2.922,10.528,3.83,5.746,0.485,0.157,0.088
1994,0.568,0.251,0.125,0.205,0.63,1.994,11.574,8.499,2.317,0.533,0.173,0.085
1995,0.46,0.253,0.232,0.076,0.312,0.862,6.222,18.402,4.917,0.601,0.167,0.085
1996,0.235,0.382,0.272,0.075,0.711,5.778,6.391,11.225,7.598,1.267,0.167,0.085
1997,0.237,0.131,0.25,0.073,1.04,2.285,5.165,6.399,4.11,1.429,0.301,0.137
1998,0.214,0.251,0.345,0.123,0.393,2.157,8.387,6.724,6.32,1.572,0.272,0.087
1999,0.313,0.2,0.12,0.062,0.691,2.273,6.27,5.132,4.87,2.22,0.165,0.085
2000,0.273,0.242,0.149,0.107,0.912,1.582,9.882,6.276,1.901,0.359,0.129,0.1
2001,0.255,0.154,0.185,0.358,1.419,3.766,10.223,4.167,1.096,1.264,0.123,0.102
2002,0.326,0.326,0.184,0.091,1.364,1.421,0.804,4.689,3.027,0.402,0.198,0.133
2003,0.325,0.384,0.24,0.058,0.36,2.248,10.937,5.587,3.352,0.722,0.148,0.124
2004,0.281,0.124,0.112,0.197,0.619,0.983,3.147,11.67,1.138,2.218,0.169,0.18
2005,0.375,0.357,0.344,0.216,0.407,2.437,11.814,1.744,5.827,0.364,0.123,0.088
2006,0.282,0.178,0.478,0.086,1.551,1.788,6.232,2.849,2.764,0.906,0.126,0.111
2007,0.256,0.634,0.515,0.093,0.951,2.66,5.744,6.016,4.406,0.365,0.131,0.107
2008,0.449,0.138,0.327,0.232,1.892,6.091,6.793,7.933,4.97,0.374,0.132,0.171
2009,0.551,0.147,0.292,0.061,1.028,1.265,3.825,4.0,4.554,0.868,0.229,0.122
2010,0.284,0.335,0.119,0.135,0.42,0.93,7.703,13.016,10.773,0.41,0.357,0.111
2011,0.228,0.287,0.136,0.172,1.172,2.474,6.526,6.706,8.625,0.352,0.123,0.097
2012,0.266,0.143,0.108,0.192,0.557,0.478,7.425,15.853,6.753,0.497,0.122,0.09
2013,0.248,0.66,0.166,0.094,0.417,3.65,8.34,9.632,2.904,2.298,0.166,0.075
2014,0.485,0.415,0.439,0.143,1.605,0.63,4.898,6.19,3.656,0.523,0.132,0.076
2015,0.302,0.258,0.97,0.221,0.758,1.467,3.638,5.596,1.618,0.828,0.137,0.082
2016,0.169,0.124,0.261,0.059,1.05,1.545,12.01,10.255,2.393,1.111,0.132,0.073
2017,0.419,0.187,0.193,0.099,2.517,2.938,4.045,6.292,1.696,0.338,0.156,0.134
2018,0.171,0.164,0.118,0.196,0.885,2.266,9.011,10.315,6.189,0.336,0.182,0.093
2019,0.374,0.373,0.206,0.252,1.018,1.445,6.717,6.402,4.958,0.656,0.225,0.152
2020,0.222,0.205,0.577,0.163,1.347,1.412,4.712,9.807,3.408,0.34,0.332,0.073
2021,0.281,0.132,0.231,0.099,1.462,0.976,10.2,7.347,8.473,1.247,0.255,0.228
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
