Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.027,0.028,0.156,0.661,1.103,0.497,1.092,1.704,7.096,3.473,1.269,0.179
1982,0.034,0.04,0.077,0.369,1.22,0.7,0.693,1.149,3.48,3.765,3.192,0.105
1983,0.035,0.039,0.08,0.151,1.814,1.314,0.955,2.58,5.58,2.684,0.269,0.359
1984,0.037,0.044,0.164,0.557,0.571,0.734,0.903,0.465,4.436,2.77,0.51,0.187
1985,0.038,0.049,0.14,0.348,1.397,0.755,0.884,1.338,1.73,3.076,0.632,0.143
1986,0.058,0.066,0.081,0.352,1.606,0.994,0.467,1.597,3.866,3.222,1.529,0.201
1987,0.033,0.039,0.105,0.256,1.712,0.903,0.5,2.01,2.612,5.775,1.717,0.187
1988,0.035,0.04,0.11,0.827,2.779,0.415,1.256,2.698,9.695,2.188,0.415,0.217
1989,0.039,0.04,0.113,0.242,1.194,0.854,1.335,1.769,4.565,1.229,0.435,0.121
1990,0.036,0.044,0.074,0.367,3.452,0.556,0.715,1.666,3.538,2.845,0.738,0.143
1991,0.038,0.04,0.067,0.269,3.477,2.206,0.653,2.35,2.931,4.713,1.078,0.097
1992,0.035,0.041,0.073,0.448,1.926,1.011,0.664,1.874,1.955,3.513,1.005,0.13
1993,0.036,0.038,0.119,0.511,1.705,0.683,0.806,2.573,2.672,6.0,1.487,0.505
1994,0.039,0.04,0.071,0.418,2.834,0.653,1.031,2.396,0.662,6.94,0.625,0.101
1995,0.055,0.039,0.084,0.304,2.24,1.03,1.221,3.339,5.11,3.375,0.357,0.096
1996,0.037,0.039,0.117,0.454,2.307,1.822,0.578,2.557,5.963,4.976,0.319,0.154
1997,0.047,0.039,0.152,0.413,0.822,0.564,0.454,1.629,4.33,3.155,1.992,0.3
1998,0.024,0.038,0.069,0.401,1.341,0.575,1.799,4.81,5.608,5.28,2.174,0.201
1999,0.038,0.069,0.065,0.627,4.215,1.08,0.927,2.037,3.449,4.843,0.853,0.118
2000,0.035,0.088,0.053,0.323,1.861,1.887,1.074,4.262,4.846,5.563,0.718,0.148
2001,0.028,0.035,0.056,0.757,0.76,0.784,0.84,1.76,7.36,7.212,0.286,0.108
2002,0.03,0.06,0.058,0.138,4.256,1.392,0.489,1.803,1.852,4.665,0.349,0.108
2003,0.03,0.036,0.078,0.51,0.658,0.608,0.829,1.592,1.631,4.059,0.286,0.141
2004,0.032,0.036,0.108,0.98,4.318,0.597,1.47,1.223,5.4,1.857,0.484,0.097
2005,0.035,0.039,0.098,0.855,3.091,1.1,1.838,3.282,4.955,9.64,1.33,0.244
2006,0.03,0.034,0.136,0.496,2.791,1.481,0.789,1.136,3.761,1.928,4.085,0.104
2007,0.03,0.035,0.059,0.42,2.946,3.125,1.428,2.757,7.701,3.817,0.584,0.218
2008,0.03,0.07,0.404,0.142,1.861,0.84,1.44,3.259,3.774,2.424,2.766,0.097
2009,0.03,0.035,0.104,0.295,3.85,0.966,0.449,3.316,5.981,1.823,2.478,0.175
2010,0.034,0.035,0.125,0.952,2.121,1.623,2.356,4.114,4.057,3.738,3.198,0.298
2011,0.03,0.04,0.055,1.343,2.91,0.661,1.072,2.863,1.451,3.231,0.916,0.137
2012,0.03,0.042,0.1,1.665,1.494,0.544,1.224,2.353,2.578,3.121,1.749,0.156
2013,0.031,0.04,0.085,0.537,2.639,1.575,0.91,1.827,7.107,3.28,0.551,0.085
2014,0.031,0.035,0.056,0.532,1.93,1.094,0.744,2.925,2.458,5.958,1.145,0.131
2015,0.031,0.035,0.204,0.962,2.957,1.069,0.442,2.134,4.852,2.648,2.833,0.112
2016,0.035,0.037,0.061,0.166,3.26,1.883,1.081,1.467,2.004,1.222,0.271,0.205
2017,0.031,0.035,0.084,0.177,2.228,1.396,0.826,3.165,7.235,6.539,0.657,0.097
2018,0.031,0.067,0.179,0.349,2.472,1.327,0.582,1.663,2.232,1.436,0.432,0.123
2019,0.08,0.046,0.083,0.959,1.997,0.809,0.826,2.475,5.624,4.786,0.433,0.263
2020,0.033,0.035,0.057,0.931,2.28,1.664,1.719,2.92,7.467,3.695,1.469,0.239
2021,0.108,0.069,0.043,0.963,3.105,0.887,1.444,2.206,2.228,4.749,5.841,0.162
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
