Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.567,0.466,1.471,0.941,2.894,4.432,9.469,10.456,8.577,0.332,0.248,0.249
1982,0.285,0.961,2.262,1.226,0.886,6.62,4.1,14.587,3.664,0.336,0.415,0.077
1983,0.179,1.287,0.784,1.713,1.229,4.91,8.233,16.07,8.745,1.497,0.282,0.138
1984,0.31,0.505,0.441,1.329,1.421,10.791,12.255,15.458,3.709,1.337,0.367,0.075
1985,0.342,1.35,0.392,0.642,1.264,5.946,8.409,13.169,9.648,3.455,0.291,0.08
1986,0.59,0.748,0.492,1.551,1.936,8.389,12.247,9.96,6.298,1.126,1.836,0.094
1987,0.218,0.395,0.558,0.959,1.375,3.02,8.825,10.237,3.597,1.4,1.471,0.102
1988,0.197,1.093,0.852,1.023,1.699,8.208,10.248,8.334,8.218,2.4,0.26,0.077
1989,0.171,0.367,0.508,0.425,3.428,9.122,12.746,12.888,5.896,0.622,0.283,0.077
1990,0.171,1.313,1.648,1.849,2.922,8.221,10.908,13.579,7.255,4.353,0.661,0.129
1991,0.627,0.41,0.678,0.759,0.798,5.22,12.195,14.215,6.676,1.912,0.852,0.116
1992,0.295,1.004,0.414,1.044,2.375,5.115,10.007,9.752,5.855,0.959,0.336,0.076
1993,0.182,0.35,0.391,1.462,1.254,6.952,10.231,12.856,10.152,1.122,0.457,0.153
1994,0.176,1.186,0.589,1.007,1.054,6.606,12.288,16.148,8.278,1.619,0.343,0.081
1995,0.425,0.714,0.685,0.466,2.382,3.268,8.798,7.065,9.188,1.973,1.913,0.076
1996,0.219,0.422,0.395,0.902,0.95,7.096,7.24,9.273,2.702,1.455,0.364,0.162
1997,0.518,0.484,1.261,2.179,0.908,5.004,9.333,17.933,4.939,0.533,0.411,0.129
1998,0.252,1.117,2.309,1.813,1.897,6.22,9.455,6.775,7.978,2.213,1.353,0.077
1999,0.179,0.38,0.378,0.529,3.588,6.064,8.387,13.717,8.765,1.998,0.512,0.077
2000,0.195,0.833,0.403,0.597,1.752,7.142,7.359,7.46,3.474,0.99,0.269,0.075
2001,0.325,0.408,2.31,0.657,2.316,7.773,16.335,13.946,4.678,2.546,0.691,0.116
2002,0.58,0.5,0.826,0.905,1.82,6.456,6.859,10.039,9.666,0.688,0.692,0.091
2003,0.236,0.855,1.288,0.779,0.883,8.102,10.273,10.837,7.323,4.589,0.369,0.318
2004,0.273,0.474,0.663,1.99,1.567,6.297,10.418,12.494,5.001,2.468,0.175,0.076
2005,0.451,0.56,1.02,1.03,0.964,6.282,15.095,7.535,10.644,2.856,0.326,0.084
2006,0.18,0.391,1.098,1.607,2.689,8.085,13.058,16.366,8.536,0.941,0.496,0.075
2007,0.189,1.523,0.494,1.31,1.894,6.786,13.67,15.159,13.627,1.456,0.406,0.087
2008,0.502,0.91,0.663,1.412,2.434,16.002,9.993,12.523,11.403,0.684,0.193,0.074
2009,0.182,0.389,0.587,0.469,2.061,3.739,16.036,12.256,7.669,1.944,0.927,0.08
2010,0.216,0.449,0.663,0.493,2.142,5.753,7.664,8.542,8.226,2.736,0.52,0.55
2011,0.207,0.836,0.459,1.6,3.074,9.544,7.823,13.835,14.434,0.596,0.181,0.081
2012,0.677,0.518,0.629,1.661,0.756,4.63,11.242,11.806,6.654,2.179,1.321,0.106
2013,0.219,0.67,0.525,1.565,1.786,7.9,10.751,8.998,10.403,6.121,0.284,0.126
2014,0.159,0.94,1.412,0.601,2.799,4.221,12.07,14.148,7.044,1.287,0.212,0.075
2015,0.161,0.599,0.63,1.455,1.224,4.798,12.768,10.756,5.418,0.888,0.252,0.14
2016,0.162,0.787,1.103,0.523,1.674,5.903,10.019,11.974,7.282,1.486,0.589,0.141
2017,0.161,0.644,1.131,0.47,2.071,5.28,14.423,10.596,8.705,2.949,1.207,0.163
2018,0.159,0.865,0.41,2.182,2.963,5.635,11.793,14.447,9.846,2.091,0.449,0.3
2019,0.168,1.482,1.035,1.307,4.292,6.247,5.751,11.111,8.996,2.449,0.546,0.081
2020,0.403,1.405,2.34,2.823,2.568,8.109,8.526,16.795,5.27,4.234,0.518,0.076
2021,0.18,0.584,0.67,0.827,4.738,5.599,9.12,9.954,12.416,1.657,1.74,0.528
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
