Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.409,0.129,0.351,0.115,0.277,3.891,4.834,4.682,7.648,2.035,0.43,0.296
1982,0.242,0.197,0.163,0.112,0.301,2.1,4.352,2.286,2.003,0.735,0.911,0.136
1983,0.131,0.13,0.118,0.112,0.127,3.009,5.185,9.394,9.778,1.342,0.222,0.142
1984,0.138,0.239,0.16,0.124,0.141,4.684,6.13,5.893,3.198,2.921,0.271,0.138
1985,0.204,0.176,0.112,0.182,0.165,6.578,4.737,2.761,2.028,2.877,0.238,0.135
1986,0.129,0.16,0.114,0.174,0.231,5.44,3.898,6.748,0.992,0.245,0.51,0.211
1987,0.178,0.177,0.134,0.124,0.277,5.712,1.306,7.941,0.695,2.95,0.921,0.244
1988,0.135,0.137,0.188,0.144,0.241,3.984,8.062,5.962,9.202,2.8,0.316,0.175
1989,0.145,0.136,0.196,0.141,0.367,5.19,3.873,5.427,4.728,0.553,0.481,0.183
1990,0.129,0.133,0.114,0.109,1.942,9.483,3.811,9.819,1.672,2.971,0.428,0.237
1991,0.129,0.141,0.115,0.194,0.262,6.431,5.317,2.748,0.374,0.256,0.345,0.176
1992,0.137,0.17,0.139,0.134,0.154,3.058,2.643,6.599,5.071,1.28,0.329,0.135
1993,0.129,0.166,0.229,0.111,0.17,3.077,6.592,4.208,5.333,4.725,0.361,0.28
1994,0.193,0.144,0.114,0.164,0.704,4.386,4.71,6.023,4.741,1.263,0.644,0.135
1995,0.271,0.175,0.278,0.156,0.239,2.944,5.613,4.385,5.768,1.408,0.247,0.135
1996,0.139,0.136,0.123,0.119,0.131,2.028,6.69,5.062,4.164,1.832,0.32,0.135
1997,0.188,0.126,0.114,0.202,0.152,3.639,3.617,3.896,1.619,0.714,1.182,0.37
1998,0.114,0.126,0.142,0.108,0.199,3.845,4.691,6.988,8.583,3.715,1.669,0.134
1999,0.132,0.432,0.139,0.124,1.102,6.337,2.833,3.913,5.75,3.307,0.258,0.175
2000,0.129,0.126,0.09,0.093,1.853,5.027,5.668,7.555,1.544,0.764,0.236,0.226
2001,0.17,0.108,0.114,0.094,0.163,5.427,2.005,6.819,2.605,3.424,0.283,0.132
2002,0.124,0.15,0.136,0.15,0.173,5.235,1.041,7.025,3.446,0.883,0.212,0.132
2003,0.129,0.137,0.088,0.171,0.125,4.553,4.963,5.545,3.363,0.662,0.341,0.184
2004,0.132,0.108,0.091,0.098,0.893,3.075,4.836,3.937,5.985,1.104,0.617,0.132
2005,0.186,0.122,0.161,0.18,0.194,2.99,10.288,5.984,7.302,2.54,0.265,0.132
2006,0.114,0.108,0.434,0.087,1.731,5.03,6.043,11.362,8.568,1.68,1.153,0.136
2007,0.116,0.11,0.09,0.107,0.121,5.26,8.383,8.718,6.492,0.328,0.552,0.135
2008,0.116,0.11,0.182,0.103,0.107,2.439,4.048,7.137,9.957,0.868,0.313,0.207
2009,0.116,0.109,0.147,0.121,0.472,2.831,6.259,4.827,3.893,1.968,2.606,0.149
2010,0.159,0.154,0.252,0.152,0.231,5.137,7.437,10.131,5.069,2.842,3.471,0.134
2011,0.116,0.129,0.121,0.156,0.311,2.901,8.566,7.109,4.361,1.722,0.207,0.134
2012,0.128,0.11,0.09,0.157,0.269,4.708,5.159,5.827,4.704,2.357,0.387,0.134
2013,0.17,0.147,0.097,0.099,0.126,8.075,7.399,4.535,5.465,2.598,0.453,0.181
2014,0.132,0.149,0.282,0.121,0.145,1.59,6.442,7.935,3.402,0.274,1.36,0.156
2015,0.203,0.14,0.605,0.11,0.257,6.72,2.614,4.312,5.773,1.127,0.842,0.136
2016,0.126,0.214,0.144,0.084,0.161,4.372,10.896,4.115,4.622,2.399,0.158,0.136
2017,0.126,0.134,0.11,0.083,0.115,5.79,2.686,6.206,7.249,2.904,0.207,0.144
2018,0.126,0.226,0.105,0.13,0.108,6.7,4.931,5.088,1.356,0.202,0.474,0.15
2019,0.126,0.161,0.096,0.106,0.092,4.799,7.547,4.864,8.883,3.945,0.45,0.145
2020,0.127,0.133,0.196,0.085,0.328,8.276,8.686,9.189,7.658,4.919,0.227,0.138
2021,0.159,0.161,0.098,0.181,1.581,5.708,4.827,5.136,9.34,2.846,0.328,0.212
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
