Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.265,1.075,1.568,3.245,3.956,5.247,8.482,7.577,6.485,0.271,0.136,0.901
1982,0.121,1.054,1.685,1.785,1.484,7.129,3.488,10.494,3.18,0.321,0.317,0.126
1983,0.122,1.502,1.347,2.697,3.69,3.727,3.222,11.169,5.26,2.732,0.246,0.145
1984,0.216,0.391,0.366,1.274,2.728,14.223,8.331,12.445,3.568,2.235,0.28,0.172
1985,0.209,1.302,0.513,1.259,2.349,5.264,7.476,8.558,7.223,5.239,0.221,0.112
1986,0.263,0.518,0.575,2.08,3.304,6.615,8.902,5.638,11.604,4.807,1.859,0.121
1987,0.129,0.477,0.593,2.34,2.686,3.6,8.839,11.181,6.547,1.639,1.027,0.145
1988,0.106,1.707,0.903,1.784,2.933,9.503,7.232,7.84,7.924,1.775,0.445,0.113
1989,0.114,0.514,0.468,0.632,4.924,9.193,10.12,6.35,7.334,2.478,0.155,0.098
1990,0.111,1.264,2.577,1.992,4.052,7.244,12.88,5.495,7.228,4.995,1.102,0.289
1991,0.295,0.665,0.951,1.601,2.003,6.054,7.811,8.63,6.057,3.405,0.448,0.337
1992,0.217,1.225,0.395,0.635,4.992,7.147,8.789,6.223,7.183,1.541,0.27,0.091
1993,0.149,0.333,0.795,3.433,3.416,8.487,6.617,10.461,9.778,1.535,0.395,0.204
1994,0.134,1.417,1.077,2.886,2.653,8.28,9.911,9.306,3.925,2.0,0.324,0.159
1995,0.302,0.909,0.788,0.621,6.52,4.418,7.765,7.468,10.154,4.454,2.968,0.094
1996,0.143,0.564,0.446,1.341,1.617,6.892,5.472,9.871,2.591,3.039,0.18,0.092
1997,0.314,0.598,1.671,4.586,2.766,4.797,10.115,14.595,7.176,0.584,0.302,0.254
1998,0.23,1.418,2.72,3.411,2.556,5.442,5.847,5.075,8.227,5.923,1.802,0.112
1999,0.121,0.432,0.433,0.518,5.693,5.112,7.34,10.988,10.598,5.178,0.432,0.112
2000,0.119,1.111,0.296,1.996,4.411,7.806,6.665,5.111,4.533,2.099,0.396,0.1
2001,0.119,0.705,1.976,1.031,6.6,9.889,7.976,8.743,5.417,4.005,0.749,0.16
2002,0.314,0.457,0.77,1.753,3.483,7.001,5.018,9.817,10.701,1.899,1.121,0.127
2003,0.127,0.559,1.416,1.508,1.989,7.099,6.65,6.83,4.514,10.736,0.338,0.454
2004,0.132,0.389,0.544,3.403,1.78,5.78,5.451,7.734,4.888,5.707,0.115,0.101
2005,0.379,0.405,1.68,2.04,3.138,4.379,8.084,7.981,10.144,9.589,0.219,0.1
2006,0.114,0.475,0.455,2.086,4.242,8.463,11.101,10.552,10.729,1.085,0.693,0.098
2007,0.142,1.668,0.784,1.995,3.484,6.462,12.955,13.609,13.63,2.131,0.734,0.175
2008,0.265,0.755,0.417,1.881,3.174,14.662,6.399,8.139,7.124,1.773,0.16,0.098
2009,0.118,0.469,1.257,0.434,6.915,2.912,9.656,9.203,10.034,2.6,0.997,0.096
2010,0.112,0.416,0.977,0.832,4.929,5.18,5.15,5.348,9.125,5.573,0.274,0.559
2011,0.141,0.913,0.494,2.204,4.865,9.34,5.493,12.659,11.489,1.232,0.133,0.106
2012,0.506,0.543,0.343,3.621,1.515,4.379,7.953,6.577,7.421,1.951,1.172,0.338
2013,0.125,0.618,0.505,2.137,6.539,9.513,7.334,11.124,9.225,14.025,0.218,0.188
2014,0.101,0.821,1.302,0.896,5.491,5.139,8.554,12.329,6.203,3.157,0.128,0.126
2015,0.127,0.589,1.087,3.201,1.721,2.795,13.344,6.858,4.907,1.635,0.165,0.219
2016,0.104,1.926,1.002,0.999,4.758,4.075,7.441,13.572,7.605,2.997,1.052,0.122
2017,0.1,0.533,1.607,1.253,3.72,4.221,15.794,8.296,6.828,5.942,1.236,0.265
2018,0.1,0.771,0.685,5.026,5.135,6.564,10.27,7.983,7.704,3.741,0.248,0.291
2019,0.1,1.914,1.216,2.13,5.184,5.167,4.608,9.445,8.438,3.493,0.836,0.167
2020,0.425,0.891,1.887,4.035,6.216,7.572,6.925,11.646,4.23,5.551,0.426,0.115
2021,0.105,0.536,0.522,1.488,8.895,7.719,9.467,8.147,16.54,3.283,0.527,0.968
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
