Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,1.133,0.347,0.934,0.269,0.792,4.163,17.033,6.397,3.014,0.527,0.146,0.266
1982,1.114,1.2,1.212,0.401,0.89,2.489,7.417,13.162,3.999,1.261,0.1,0.293
1983,1.526,0.48,0.708,0.733,1.107,1.73,5.312,13.489,14.552,2.775,0.073,0.345
1984,1.052,1.057,0.328,0.275,0.503,4.685,12.862,8.84,4.152,0.864,0.08,0.331
1985,0.775,0.378,0.312,0.397,0.567,1.476,10.869,14.945,6.639,4.299,0.072,0.512
1986,0.43,0.787,0.538,0.513,0.777,3.281,11.153,8.736,6.543,1.691,0.145,0.435
1987,0.689,0.771,0.384,0.225,0.906,1.078,6.165,6.422,4.861,0.846,0.072,0.221
1988,0.45,0.757,1.049,0.428,0.508,3.165,23.633,9.906,4.633,0.752,0.073,0.445
1989,1.657,0.587,0.47,0.151,0.412,2.677,8.687,11.899,5.997,1.065,0.167,0.26
1990,0.334,2.203,1.225,0.147,1.171,2.884,25.453,8.447,8.431,0.943,0.095,0.462
1991,0.487,1.59,0.585,0.34,0.601,2.643,3.581,10.687,6.855,0.821,0.126,0.291
1992,0.647,0.816,0.688,0.291,0.564,1.111,2.817,7.83,4.802,1.559,0.137,0.188
1993,1.164,0.762,1.177,0.192,0.904,4.346,10.217,12.014,12.828,1.255,0.077,0.167
1994,1.014,0.89,0.389,0.399,0.92,5.312,10.615,11.301,2.043,0.604,0.104,0.196
1995,1.337,0.899,0.627,0.238,0.234,1.847,6.394,15.588,4.854,0.957,0.087,0.196
1996,1.108,1.716,0.564,0.195,0.492,5.313,9.897,11.536,8.252,1.022,0.075,0.148
1997,0.691,0.422,0.547,0.224,1.314,3.52,11.71,8.535,4.951,2.534,0.133,0.272
1998,0.474,0.827,0.792,0.464,0.402,1.657,10.2,16.058,4.693,5.214,0.11,0.138
1999,1.012,0.523,0.281,0.104,0.458,3.748,6.415,5.246,7.194,2.103,0.076,0.217
2000,0.768,0.802,0.449,0.358,1.736,5.826,13.066,13.457,2.826,0.587,0.065,0.173
2001,0.55,0.701,0.451,0.394,1.216,4.099,9.661,3.365,2.248,1.144,0.095,0.143
2002,1.348,1.994,0.472,0.539,0.751,2.251,2.913,8.237,7.51,0.563,0.061,0.194
2003,1.19,1.66,0.524,0.357,0.274,3.217,11.755,11.018,12.264,1.21,0.083,0.344
2004,0.923,0.484,0.199,0.835,0.666,4.162,6.774,6.527,4.827,3.108,0.061,0.181
2005,0.753,1.268,1.219,0.415,0.362,2.644,12.271,6.362,8.007,0.842,0.062,0.153
2006,0.488,0.34,1.137,0.271,1.466,3.654,14.322,4.755,3.684,1.421,0.082,0.176
2007,0.371,2.592,1.485,0.36,1.109,4.625,11.684,10.022,5.084,0.6,0.063,0.139
2008,0.502,0.416,0.412,0.539,0.754,6.665,17.396,13.958,5.366,0.734,0.064,0.149
2009,0.782,0.472,0.345,0.343,0.98,2.133,6.74,10.732,7.045,3.036,0.092,0.192
2010,0.471,1.201,0.262,0.202,0.574,1.011,14.26,10.97,14.643,0.719,0.138,0.175
2011,0.591,1.218,0.352,0.562,1.868,5.044,14.736,17.293,6.856,0.692,0.067,0.125
2012,1.073,0.462,0.442,0.58,0.248,0.933,10.054,13.989,8.951,0.638,0.07,0.227
2013,0.956,3.057,0.603,0.21,0.515,14.039,13.596,10.34,3.739,3.568,0.066,0.291
2014,1.705,1.594,1.084,0.43,0.603,1.462,10.281,5.352,3.716,1.741,0.064,0.227
2015,1.451,0.964,3.127,0.673,0.554,3.501,11.097,6.321,2.534,0.904,0.072,0.161
2016,0.397,0.394,0.801,0.18,1.688,3.521,19.134,8.165,3.544,1.23,0.063,0.13
2017,1.056,0.385,0.369,0.246,0.613,6.199,13.794,11.251,7.362,0.646,0.067,0.141
2018,0.416,0.762,0.272,0.546,0.596,3.702,13.707,22.658,5.45,0.652,0.11,0.147
2019,1.387,2.447,0.617,0.293,0.31,1.755,12.774,8.112,5.402,1.212,0.223,0.798
2020,2.012,1.093,1.733,1.238,1.322,2.486,11.664,7.897,2.265,0.622,0.107,0.138
2021,0.828,0.454,0.276,0.228,1.783,3.34,13.317,6.969,5.616,4.24,0.071,0.276
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
