Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.37,0.148,0.252,0.062,0.225,3.564,10.97,11.13,3.422,0.225,0.269,0.341
1982,0.73,0.391,0.122,0.062,0.218,1.758,12.178,16.869,2.428,0.336,0.951,0.125
1983,0.368,0.177,0.118,0.075,0.198,2.043,14.499,13.838,14.005,0.469,0.159,0.138
1984,1.71,0.362,0.115,0.053,0.114,2.176,6.177,23.391,2.561,0.202,0.158,0.132
1985,0.406,0.177,0.116,0.067,0.178,3.406,15.217,13.583,4.504,2.782,0.166,0.125
1986,0.442,0.482,0.172,0.053,0.187,4.52,18.292,9.097,2.072,0.264,0.169,0.287
1987,0.778,0.39,0.297,0.053,0.272,4.251,8.747,15.245,2.721,0.658,0.244,0.392
1988,0.333,0.182,0.136,0.084,0.172,4.018,11.206,11.183,4.016,1.855,0.168,0.157
1989,0.343,0.174,0.292,0.053,0.153,5.279,6.138,13.392,3.115,0.144,0.159,0.197
1990,0.335,0.352,0.145,0.053,1.009,6.23,16.572,11.453,9.149,0.357,0.168,0.2
1991,0.334,0.233,0.158,0.102,0.11,4.263,12.641,16.411,0.466,0.137,0.236,0.126
1992,0.566,0.205,0.135,0.062,0.364,1.511,6.035,13.96,4.012,0.997,0.169,0.125
1993,0.557,0.306,0.196,0.061,0.207,3.669,11.524,9.814,9.388,0.558,0.179,0.161
1994,0.676,0.365,0.135,0.07,0.166,10.151,16.728,15.41,5.968,0.293,0.161,0.125
1995,0.876,0.223,0.513,0.074,0.16,2.383,13.647,7.644,7.948,0.589,0.167,0.29
1996,0.434,0.378,0.287,0.086,0.157,0.995,14.719,18.366,5.346,0.965,0.17,0.125
1997,0.499,0.171,0.11,0.087,0.166,3.075,11.318,15.015,3.242,0.426,0.444,0.369
1998,0.6,0.208,0.314,0.077,0.162,2.474,8.927,10.773,10.987,0.871,0.248,0.125
1999,0.535,1.069,0.137,0.061,0.214,3.633,13.869,10.931,17.755,3.08,0.15,0.169
2000,0.334,0.17,0.135,0.053,1.351,3.804,22.386,7.476,0.711,0.31,0.125,0.14
2001,0.356,0.13,0.243,0.059,0.352,7.195,12.539,8.041,0.588,2.229,0.129,0.1
2002,0.315,0.494,0.277,0.168,0.24,4.185,2.809,19.642,3.862,0.184,0.218,0.117
2003,0.421,0.308,0.117,0.05,0.139,4.6,13.313,10.741,12.18,0.211,0.131,0.133
2004,0.523,0.117,0.117,0.051,0.182,3.064,11.13,12.285,2.677,0.983,0.226,0.109
2005,0.399,0.123,0.458,0.063,0.126,2.362,25.771,7.386,7.475,0.155,0.124,0.113
2006,0.327,0.117,0.602,0.063,1.199,2.639,15.211,22.03,11.755,0.484,0.25,0.122
2007,0.328,0.459,0.123,0.054,0.229,2.979,13.23,9.704,8.162,0.128,0.124,0.116
2008,0.315,0.118,0.196,0.062,0.141,7.701,9.172,9.513,4.206,0.349,0.328,0.102
2009,0.941,0.117,0.132,0.052,0.241,2.965,15.026,8.434,7.289,2.295,0.658,0.213
2010,0.544,0.358,0.175,0.048,0.118,2.393,15.055,11.612,7.323,0.57,0.63,0.173
2011,0.314,0.136,0.132,0.062,0.151,5.356,14.829,14.91,7.212,0.139,0.168,0.112
2012,0.438,0.117,0.118,0.059,0.164,2.664,15.182,13.477,5.483,0.188,0.214,0.109
2013,0.779,0.594,0.411,0.097,0.123,12.482,24.401,17.179,2.16,1.86,0.11,0.133
2014,0.446,0.611,0.27,0.059,0.117,1.952,16.665,10.108,6.859,0.5,0.214,0.177
2015,0.862,0.371,0.776,0.068,0.147,4.339,15.698,11.609,2.236,0.217,0.101,0.121
2016,0.352,0.193,0.224,0.047,0.253,4.981,24.431,20.275,4.412,0.693,0.101,0.121
2017,0.371,0.156,0.127,0.047,0.183,4.702,13.373,6.571,7.32,0.287,0.102,0.157
2018,0.314,0.42,0.12,0.069,0.103,4.328,15.706,9.001,4.739,0.189,0.097,0.14
2019,0.341,0.236,0.113,0.153,0.116,3.221,16.677,20.332,21.037,1.151,0.233,0.271
2020,0.499,0.133,0.504,0.058,0.208,6.986,8.941,19.779,7.638,0.665,0.118,0.263
2021,0.44,0.147,0.498,0.06,0.841,5.921,7.83,10.527,10.5,1.535,0.104,0.252
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
