Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,3.599,1.193,4.767,0.288,1.658,5.461,19.568,11.522,4.097,0.63,0.42,0.513
1982,3.672,2.017,3.586,1.12,3.542,4.072,14.577,14.768,2.46,1.072,0.3,0.879
1983,4.509,1.17,1.194,0.569,2.864,5.119,18.489,17.85,7.474,2.125,0.289,0.755
1984,1.254,1.757,1.266,0.402,0.897,6.159,16.64,17.489,7.076,0.66,0.238,0.758
1985,1.688,0.354,0.729,1.042,1.609,3.582,14.295,15.585,8.132,2.949,0.262,1.367
1986,1.155,1.275,2.222,1.103,2.186,4.489,14.398,12.807,4.798,1.993,0.471,0.625
1987,1.858,2.008,1.83,0.387,4.02,2.815,7.61,9.902,3.705,1.978,0.234,0.648
1988,1.377,1.704,2.216,0.921,1.701,6.205,16.001,20.314,10.668,0.796,0.304,1.008
1989,3.994,0.572,2.38,0.251,1.336,3.619,15.519,14.396,6.326,1.241,0.366,0.871
1990,1.219,3.268,1.947,0.454,2.514,4.253,17.308,17.451,7.674,0.907,0.414,1.14
1991,1.058,1.535,1.711,0.379,1.503,4.308,10.393,14.434,6.368,0.98,0.306,1.328
1992,2.157,1.4,2.065,0.334,1.338,3.268,12.363,18.308,5.571,1.197,0.575,0.374
1993,2.398,0.819,1.812,0.327,1.38,5.742,19.225,10.882,10.66,2.202,0.275,0.358
1994,1.88,1.182,0.404,0.701,1.817,7.004,15.62,18.299,2.865,0.565,0.543,0.412
1995,2.971,1.305,0.918,0.574,0.556,2.953,12.429,19.564,9.602,0.617,0.195,0.372
1996,2.38,2.826,2.243,0.263,1.164,7.971,18.376,16.6,6.36,1.198,0.18,0.367
1997,1.707,0.542,1.412,0.931,2.048,6.54,19.545,17.888,5.167,2.384,0.498,0.821
1998,0.543,0.408,0.859,0.389,0.505,0.884,4.617,9.14,2.106,0.726,0.207,0.348
1999,0.759,0.711,0.26,0.171,0.484,1.232,5.885,3.972,3.162,0.49,0.212,0.35
2000,0.581,0.422,0.577,0.417,1.242,1.763,8.657,4.2,1.896,0.459,0.2,0.353
2001,0.6,0.437,1.019,0.744,1.057,1.555,10.122,4.153,1.654,0.468,0.16,0.357
2002,0.722,1.552,0.801,0.691,0.717,1.792,3.803,7.635,2.668,0.686,0.154,0.35
2003,0.752,1.023,0.621,0.576,0.479,1.486,6.594,6.517,4.27,0.499,0.167,0.425
2004,1.165,0.365,0.271,0.604,0.804,2.689,7.984,6.761,2.203,1.115,0.17,0.399
2005,0.951,1.119,0.975,0.309,0.68,1.574,7.789,5.599,4.47,0.531,0.155,0.347
2006,1.012,0.484,1.076,0.53,1.299,1.702,7.803,6.736,2.14,0.931,0.158,0.477
2007,0.531,1.656,1.088,0.592,0.645,1.979,9.603,10.242,2.493,0.544,0.155,0.381
2008,0.893,0.336,0.443,0.779,0.745,4.049,7.991,7.481,2.025,0.892,0.2,0.646
2009,1.355,1.209,1.523,0.903,1.985,3.245,13.656,13.819,8.994,1.859,0.155,0.64
2010,1.131,2.025,0.351,0.421,1.399,4.474,21.83,22.674,18.076,1.056,0.336,1.273
2011,1.142,3.61,0.839,1.548,2.971,7.948,22.469,27.222,9.093,0.912,0.143,0.518
2012,1.476,0.577,0.917,2.476,0.578,2.1,20.107,30.963,11.856,0.663,0.192,0.89
2013,2.854,6.669,1.432,0.588,0.786,17.939,20.415,17.913,4.326,3.011,0.248,0.566
2014,2.786,2.373,3.153,1.289,1.699,2.337,15.538,14.345,4.78,3.24,0.153,0.992
2015,1.731,1.939,6.994,2.435,0.977,6.545,18.406,16.079,3.637,1.087,0.19,0.537
2016,1.074,0.583,2.129,0.448,3.077,6.205,17.205,14.612,3.841,0.997,0.143,0.533
2017,2.81,1.031,0.968,1.57,2.993,8.859,15.005,18.057,6.227,0.63,0.162,0.699
2018,1.133,1.598,1.041,1.29,1.253,7.865,24.171,28.598,10.558,1.217,0.389,0.629
2019,2.186,3.291,2.211,1.365,1.105,2.931,13.141,17.822,8.421,1.04,0.595,1.161
2020,3.412,1.238,4.31,2.318,2.913,4.302,17.948,16.277,3.425,0.628,0.42,0.769
2021,1.114,0.674,0.623,1.586,3.832,5.101,19.258,15.244,8.741,1.436,0.16,0.533
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
