Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.183,0.089,0.111,0.575,1.169,3.503,6.851,4.965,7.086,6.182,2.098,0.284
1982,0.094,0.172,0.1,0.359,0.895,3.132,5.508,5.03,4.135,5.54,1.528,0.108
1983,0.073,0.204,0.11,0.217,1.339,4.824,7.089,8.947,8.933,7.266,0.346,0.183
1984,0.071,0.328,0.137,0.252,0.439,2.782,7.484,2.306,4.493,3.939,0.699,0.089
1985,0.099,0.172,0.099,0.121,0.699,5.384,6.51,6.547,4.443,7.838,0.869,0.338
1986,0.099,0.337,0.101,0.395,1.612,3.741,3.206,9.185,3.422,7.651,3.008,0.111
1987,0.074,0.167,0.498,0.291,0.641,2.015,4.723,6.718,2.471,8.851,4.686,0.532
1988,0.107,0.207,0.176,0.904,1.042,2.033,14.649,7.702,8.399,1.975,0.653,0.171
1989,0.087,0.168,0.273,0.168,1.18,3.635,12.9,8.445,5.64,1.349,0.958,0.119
1990,0.076,1.16,0.874,0.234,4.746,4.532,5.102,8.683,4.761,6.874,2.389,0.193
1991,0.126,0.179,0.101,0.251,0.979,8.459,4.308,5.454,10.198,6.733,5.175,0.197
1992,0.085,0.174,0.099,0.125,1.612,2.864,7.559,8.18,5.857,5.287,3.783,0.079
1993,0.168,0.172,0.12,0.241,1.256,2.054,5.124,5.588,6.04,9.985,0.89,0.623
1994,0.082,0.579,0.095,0.484,1.21,2.453,12.35,6.827,2.711,10.366,1.723,0.102
1995,0.099,0.205,0.113,0.129,4.547,3.476,7.868,7.267,6.175,15.739,0.733,0.074
1996,0.072,0.286,0.114,0.475,0.864,8.151,6.878,5.739,4.651,12.817,1.57,0.957
1997,0.131,0.169,0.206,0.326,0.534,2.069,8.671,4.338,8.689,2.664,0.89,0.726
1998,0.201,0.169,0.209,0.568,1.333,3.105,9.078,8.933,8.052,11.94,2.406,0.217
1999,0.104,0.168,0.101,0.19,3.195,4.238,6.379,6.357,4.525,8.495,0.501,0.073
2000,0.071,0.283,0.101,0.414,2.672,9.338,7.105,11.205,3.714,5.91,0.619,0.131
2001,0.137,0.167,0.206,0.45,1.338,5.143,4.641,7.096,5.021,8.53,2.911,0.16
2002,0.253,0.169,0.107,0.122,3.747,3.872,2.803,7.077,2.622,10.237,1.267,0.126
2003,0.146,0.166,0.184,0.265,0.855,3.828,8.592,4.786,4.644,12.049,0.229,0.158
2004,0.122,0.188,0.176,0.442,2.207,3.799,7.883,4.896,5.949,6.888,0.717,0.07
2005,0.095,0.203,0.184,0.403,1.258,3.118,8.038,4.214,12.859,15.015,1.309,0.219
2006,0.071,0.173,0.356,0.831,3.49,4.805,6.702,8.336,6.837,8.294,3.217,0.086
2007,0.073,0.262,0.101,0.254,1.101,9.102,8.013,7.292,8.661,7.032,0.396,0.142
2008,0.075,1.114,1.15,0.19,1.15,4.491,6.615,9.768,5.075,2.846,2.704,0.077
2009,0.072,0.167,0.131,0.111,2.945,3.742,5.351,6.666,4.538,1.169,2.664,0.121
2010,0.105,0.165,0.203,0.878,4.601,5.526,11.115,10.18,9.078,11.514,6.171,1.606
2011,0.082,0.365,0.1,0.83,1.707,2.617,8.037,7.899,2.795,2.981,0.357,0.109
2012,0.11,0.172,0.154,0.386,1.579,3.584,10.231,10.842,8.773,6.513,3.664,0.1
2013,0.076,0.962,0.118,0.627,1.381,5.06,7.713,4.789,5.444,14.753,1.528,0.208
2014,0.078,0.167,0.083,0.114,2.438,1.937,6.871,7.89,5.595,5.124,1.447,0.148
2015,0.076,0.176,0.086,0.464,0.724,9.258,4.117,5.279,5.151,3.496,3.746,0.262
2016,0.076,0.171,0.133,0.174,4.917,7.873,5.795,4.114,6.91,2.091,0.201,0.463
2017,0.076,0.167,0.174,0.212,1.81,7.183,7.39,7.052,3.411,5.529,0.516,0.086
2018,0.076,0.253,0.215,0.174,2.01,6.249,8.899,9.593,4.603,2.727,0.613,0.657
2019,0.088,0.177,0.138,0.425,1.192,2.435,8.147,6.675,5.697,10.05,0.236,0.111
2020,0.121,0.346,0.087,1.101,1.605,6.099,10.47,7.328,8.536,14.185,3.921,0.392
2021,0.122,0.222,0.079,0.797,2.855,3.754,8.83,8.274,8.845,5.12,6.73,0.077
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
