Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.165,0.101,0.361,0.583,0.598,6.153,4.132,5.279,11.267,2.573,0.385,0.109
1982,0.112,0.132,0.153,0.763,1.111,3.447,4.692,2.563,5.632,1.741,0.926,0.109
1983,0.108,0.132,0.186,0.311,0.529,3.461,4.98,10.566,9.403,3.813,0.223,0.151
1984,0.111,0.179,0.213,0.489,0.311,3.046,6.488,3.012,4.854,3.279,0.278,0.115
1985,0.135,0.13,0.339,0.654,0.663,6.607,6.379,3.586,3.075,3.305,0.351,0.112
1986,0.142,0.141,0.197,0.541,1.005,3.806,3.225,6.939,3.357,0.541,0.618,0.115
1987,0.154,0.136,0.299,0.384,1.07,4.108,3.489,5.453,2.341,4.488,1.542,0.156
1988,0.104,0.167,0.181,0.884,0.803,3.163,8.389,7.445,9.718,1.473,0.225,0.19
1989,0.109,0.134,0.263,0.549,0.921,3.688,7.239,3.823,4.563,0.961,0.46,0.146
1990,0.113,0.151,0.251,0.418,2.011,6.133,4.593,8.656,2.211,2.259,0.452,0.117
1991,0.11,0.148,0.162,1.049,1.545,7.204,4.868,5.499,4.785,0.995,0.281,0.108
1992,0.109,0.13,0.146,0.572,0.961,3.108,3.151,6.991,2.747,1.923,0.83,0.109
1993,0.108,0.132,0.268,0.568,1.066,3.257,4.421,5.76,3.508,5.577,0.382,0.363
1994,0.179,0.169,0.151,0.967,1.657,5.005,4.364,6.451,1.208,6.872,0.49,0.109
1995,0.161,0.135,0.374,0.494,0.957,3.583,6.45,5.061,6.092,4.65,0.361,0.109
1996,0.11,0.131,0.142,0.617,0.767,2.884,4.136,8.307,6.179,4.532,0.432,0.122
1997,0.133,0.13,0.192,1.231,0.489,3.464,3.417,2.366,3.66,2.304,1.595,0.178
1998,0.087,0.13,0.149,0.33,0.9,3.148,6.436,10.999,7.989,4.406,0.78,0.11
1999,0.102,0.156,0.131,0.443,3.488,4.39,5.058,3.775,5.451,3.061,0.199,0.11
2000,0.11,0.121,0.125,0.418,2.129,5.993,6.047,13.262,4.725,2.785,0.156,0.112
2001,0.1,0.102,0.138,0.666,0.568,4.878,3.142,7.42,6.782,5.577,0.15,0.118
2002,0.103,0.115,0.179,0.382,1.839,4.695,3.143,8.72,1.122,4.032,0.151,0.108
2003,0.088,0.133,0.349,0.794,0.433,2.84,3.526,5.215,3.067,1.755,0.147,0.112
2004,0.09,0.104,0.283,0.973,2.305,2.953,5.724,2.181,6.108,1.493,0.145,0.108
2005,0.099,0.123,0.235,1.437,1.214,3.945,9.923,5.696,7.025,6.092,0.145,0.109
2006,0.084,0.102,0.402,1.15,2.57,4.863,4.664,4.935,8.157,1.412,1.431,0.108
2007,0.084,0.102,0.122,0.463,0.84,10.563,6.031,8.646,11.987,1.456,0.317,0.107
2008,0.084,0.109,1.269,0.382,0.647,2.291,5.335,8.797,6.576,2.088,1.2,0.108
2009,0.084,0.102,0.125,0.422,1.462,5.021,2.411,7.466,8.163,2.991,1.149,0.123
2010,0.105,0.115,0.255,0.555,0.964,4.509,9.276,13.218,9.561,2.157,1.678,0.19
2011,0.084,0.163,0.13,1.252,1.096,2.724,6.246,7.603,2.109,2.523,0.201,0.108
2012,0.085,0.102,0.124,1.255,0.534,3.26,5.732,4.229,3.737,2.852,1.209,0.108
2013,0.095,0.144,0.126,1.403,1.14,5.406,6.83,4.164,7.825,4.381,0.273,0.113
2014,0.095,0.111,0.264,1.005,1.194,2.522,6.25,8.637,3.758,1.369,1.151,0.131
2015,0.096,0.112,0.287,1.151,1.072,3.767,1.931,4.349,5.715,1.427,0.453,0.118
2016,0.101,0.118,0.263,0.702,1.653,5.234,8.673,3.123,9.954,1.226,0.195,0.114
2017,0.096,0.112,0.176,0.294,0.923,6.858,2.627,7.386,7.212,5.62,0.161,0.113
2018,0.095,0.152,0.131,0.97,1.507,6.208,2.513,6.178,3.464,1.892,0.221,0.19
2019,0.15,0.116,0.179,0.791,0.803,3.699,3.712,5.641,7.461,5.979,0.312,0.148
2020,0.161,0.123,0.322,0.741,0.932,6.877,6.301,6.385,12.226,5.891,0.225,0.113
2021,0.128,0.16,0.116,0.997,2.193,5.101,7.506,5.195,8.386,2.779,1.366,0.136
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
