Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.208,0.073,0.296,0.051,0.171,3.377,9.513,10.315,4.181,0.368,0.277,0.107
1982,0.421,0.15,0.122,0.065,0.22,1.41,8.826,9.585,1.258,0.571,1.353,0.086
1983,0.202,0.074,0.119,0.069,0.165,3.138,11.067,12.593,11.279,0.785,0.147,0.096
1984,0.394,0.115,0.118,0.046,0.086,2.003,7.049,16.046,2.57,0.383,0.15,0.116
1985,0.21,0.072,0.124,0.056,0.128,2.408,8.667,8.11,3.2,2.47,0.136,0.09
1986,0.232,0.136,0.128,0.046,0.137,5.098,16.99,8.376,0.828,0.339,0.136,0.128
1987,0.354,0.126,0.255,0.046,0.231,4.148,6.229,11.288,0.95,0.582,0.353,0.273
1988,0.209,0.073,0.127,0.1,0.14,3.836,10.328,9.119,5.798,1.805,0.166,0.086
1989,0.22,0.072,0.151,0.046,0.146,5.499,3.183,9.678,3.145,0.191,0.15,0.112
1990,0.213,0.143,0.124,0.046,1.175,4.688,11.154,11.764,7.117,0.494,0.184,0.225
1991,0.201,0.082,0.13,0.055,0.091,4.217,13.009,7.103,0.455,0.193,0.243,0.095
1992,0.218,0.08,0.125,0.058,0.116,2.15,4.526,8.638,4.618,1.432,0.141,0.087
1993,0.213,0.1,0.197,0.047,0.131,3.799,13.758,7.569,6.947,0.852,0.3,0.108
1994,0.411,0.113,0.125,0.06,0.144,9.502,9.877,11.678,6.016,0.284,0.16,0.088
1995,0.479,0.08,0.242,0.06,0.164,2.027,13.628,4.49,5.313,0.824,0.151,0.124
1996,0.293,0.115,0.167,0.065,0.133,1.992,14.703,11.405,4.659,1.01,0.165,0.087
1997,0.34,0.072,0.135,0.098,0.13,4.205,9.732,12.597,1.625,0.509,0.536,0.262
1998,0.377,0.086,0.179,0.074,0.134,2.892,8.298,6.115,11.704,0.84,0.271,0.088
1999,0.216,0.372,0.125,0.047,0.167,5.845,9.51,5.731,12.47,2.505,0.138,0.104
2000,0.2,0.073,0.112,0.043,1.015,3.915,15.264,5.165,0.765,0.299,0.129,0.084
2001,0.232,0.065,0.13,0.046,0.35,8.152,8.402,5.621,0.524,1.636,0.129,0.073
2002,0.167,0.151,0.263,0.131,0.101,4.552,2.279,12.592,3.856,0.187,0.303,0.08
2003,0.188,0.149,0.12,0.058,0.093,5.263,9.891,5.363,8.236,0.231,0.131,0.082
2004,0.249,0.062,0.106,0.043,0.119,2.513,9.916,10.402,3.105,0.67,0.271,0.076
2005,0.24,0.069,0.241,0.069,0.087,1.976,14.425,3.328,6.201,0.171,0.149,0.076
2006,0.167,0.062,0.254,0.043,1.541,3.193,9.853,19.851,12.538,0.621,0.261,0.079
2007,0.209,0.126,0.106,0.072,0.152,3.476,11.65,8.026,7.313,0.157,0.129,0.078
2008,0.166,0.062,0.132,0.048,0.083,6.34,7.019,6.121,5.356,0.555,0.338,0.075
2009,0.382,0.063,0.162,0.045,0.157,3.132,14.216,5.455,3.167,1.628,0.555,0.116
2010,0.228,0.166,0.117,0.062,0.079,3.172,11.368,10.376,5.353,0.35,1.895,0.082
2011,0.166,0.073,0.11,0.045,0.131,4.389,13.013,14.68,4.778,0.171,0.206,0.091
2012,0.183,0.062,0.106,0.047,0.096,1.352,14.664,9.11,6.929,0.42,0.239,0.076
2013,0.261,0.246,0.379,0.145,0.106,10.371,18.217,10.088,4.453,2.336,0.123,0.132
2014,0.229,0.238,0.128,0.061,0.093,0.851,11.058,8.759,5.343,0.415,0.24,0.118
2015,0.373,0.146,0.573,0.082,0.092,6.422,15.258,8.929,3.258,0.233,0.125,0.08
2016,0.179,0.09,0.161,0.043,0.15,5.367,17.561,12.275,5.338,1.472,0.117,0.079
2017,0.192,0.068,0.126,0.043,0.277,5.299,8.271,6.483,6.763,0.392,0.117,0.106
2018,0.178,0.144,0.116,0.094,0.074,4.44,13.087,7.277,4.886,0.196,0.127,0.086
2019,0.191,0.104,0.112,0.079,0.076,3.916,14.536,14.116,19.237,1.148,0.291,0.102
2020,0.219,0.068,0.348,0.044,0.13,7.617,6.295,14.222,10.884,0.615,0.124,0.149
2021,0.258,0.069,0.223,0.044,1.161,4.378,7.868,11.659,10.364,2.149,0.15,0.207
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
