Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.431,0.229,0.941,0.21,0.232,3.961,10.234,8.788,6.086,0.444,0.269,0.366
1982,2.562,0.745,0.438,0.164,0.216,4.231,9.326,16.047,4.696,0.519,0.557,0.182
1983,0.481,0.314,0.303,0.231,0.246,3.552,16.27,13.303,9.047,1.421,0.187,0.242
1984,1.729,0.907,0.262,0.212,0.239,3.78,9.521,19.435,2.172,0.357,0.186,0.173
1985,0.984,0.385,0.284,0.256,0.331,4.577,20.791,16.08,4.106,2.538,0.229,0.218
1986,0.899,1.769,0.567,0.21,0.294,4.679,11.625,8.268,3.066,0.634,0.244,0.689
1987,0.911,0.9,0.491,0.149,0.309,2.999,9.952,13.819,5.29,1.099,0.385,0.38
1988,0.495,0.409,0.514,0.262,0.182,6.418,9.241,11.807,3.251,0.607,0.215,0.234
1989,0.497,0.307,1.005,0.149,0.163,6.596,9.254,12.277,3.817,0.366,0.245,0.465
1990,0.337,0.799,0.43,0.216,0.288,10.169,12.846,7.876,9.527,0.788,0.238,0.273
1991,0.456,0.452,0.62,0.291,0.152,5.382,11.846,16.99,1.101,0.379,0.338,0.242
1992,0.543,0.364,0.327,0.215,0.609,1.437,6.718,9.792,9.015,0.824,0.329,0.208
1993,0.442,0.666,0.711,0.211,0.289,3.657,8.896,9.922,10.925,0.852,0.187,0.247
1994,0.933,0.707,0.332,0.236,0.311,12.473,24.837,18.848,4.125,0.858,0.188,0.171
1995,1.41,0.475,1.933,0.249,0.152,3.19,18.372,11.876,5.563,0.88,0.261,0.344
1996,0.508,0.982,0.722,0.212,0.165,2.533,15.528,16.5,3.478,1.045,0.213,0.176
1997,0.475,0.266,0.257,0.222,0.282,3.516,11.688,11.836,4.355,1.083,0.479,0.3
1998,0.583,0.324,1.358,0.22,0.21,5.518,7.713,14.762,8.257,0.82,0.349,0.208
1999,0.512,1.846,0.357,0.21,0.364,3.464,14.711,15.456,13.201,3.058,0.245,0.17
2000,0.459,0.508,0.293,0.182,0.457,4.745,18.206,6.716,3.263,0.466,0.143,0.146
2001,0.452,0.316,0.498,0.378,0.444,9.028,17.397,10.997,1.492,2.745,0.197,0.129
2002,0.533,1.155,0.459,0.182,0.612,4.963,5.188,19.207,6.422,0.861,0.157,0.153
2003,0.36,1.64,0.493,0.143,0.169,4.65,14.258,16.698,14.438,0.722,0.147,0.177
2004,1.541,0.315,0.287,0.225,0.214,8.37,10.403,15.396,4.354,0.901,0.155,0.129
2005,1.912,0.366,0.953,0.237,0.214,6.039,29.772,11.848,9.198,0.727,0.164,0.189
2006,0.53,0.25,1.634,0.249,0.598,3.356,14.19,10.893,4.41,0.466,0.323,0.14
2007,0.472,1.544,0.649,0.202,0.213,3.968,13.673,12.51,7.515,0.393,0.14,0.154
2008,0.358,0.319,0.649,0.205,0.189,10.369,11.345,14.205,5.463,0.969,0.252,0.133
2009,1.028,0.249,0.354,0.15,0.285,3.281,10.623,12.495,9.011,1.55,0.589,0.317
2010,0.476,0.513,0.383,0.158,0.18,3.276,16.656,15.074,10.827,0.983,0.394,0.204
2011,0.447,0.438,0.282,0.267,0.396,7.093,15.18,16.132,8.601,0.352,0.158,0.13
2012,1.359,0.333,0.279,0.162,0.195,3.18,16.821,16.31,5.179,0.745,0.366,0.188
2013,0.659,0.914,1.557,0.505,0.141,13.582,17.434,23.655,3.749,4.278,0.165,0.153
2014,1.473,2.066,1.012,0.198,0.157,3.774,16.261,8.925,6.885,1.429,0.239,0.179
2015,1.07,0.392,1.477,0.308,0.221,4.343,9.694,12.099,3.96,1.046,0.306,0.153
2016,0.459,0.706,0.64,0.125,0.788,3.656,19.666,18.031,5.857,0.943,0.163,0.153
2017,0.363,0.272,0.246,0.113,0.208,5.259,14.626,9.561,5.354,0.676,0.192,0.165
2018,0.445,0.908,0.201,0.156,0.295,5.166,17.628,13.878,4.768,0.333,0.163,0.2
2019,0.597,0.41,0.348,0.444,0.227,3.271,13.724,20.513,14.689,0.592,0.255,0.23
2020,0.942,0.417,1.02,0.183,0.364,6.908,8.606,19.582,5.779,1.109,0.318,0.235
2021,0.492,0.424,0.434,0.159,1.193,5.973,10.514,6.725,9.674,1.204,0.173,0.503
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
