Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.298,0.096,0.35,0.073,0.303,3.057,10.429,4.109,2.253,0.283,0.151,0.116
1982,0.426,0.208,0.188,0.11,0.99,0.578,5.378,7.678,0.653,0.491,0.276,0.182
1983,0.295,0.143,0.085,0.14,0.586,0.946,7.775,5.784,3.838,0.65,0.107,0.096
1984,0.213,0.119,0.077,0.078,0.175,0.744,3.139,6.959,3.067,0.289,0.108,0.095
1985,0.202,0.105,0.252,0.18,0.201,0.696,10.83,6.954,1.455,1.875,0.104,0.164
1986,0.25,0.266,0.104,0.077,0.972,1.834,5.162,3.313,0.935,0.674,0.104,0.094
1987,0.432,0.223,0.163,0.077,1.246,0.583,1.64,4.162,0.828,0.289,0.108,0.22
1988,0.245,0.149,0.191,0.099,0.231,1.828,8.205,7.461,2.182,0.44,0.108,0.104
1989,0.567,0.11,0.111,0.075,0.178,0.561,4.795,8.25,0.894,0.372,0.118,0.095
1990,0.187,0.332,0.122,0.094,0.512,1.18,6.056,6.947,4.41,0.35,0.156,0.116
1991,0.19,0.198,0.089,0.086,0.303,0.737,4.692,4.321,1.554,0.302,0.157,0.101
1992,0.298,0.184,0.135,0.085,0.26,0.287,4.779,6.358,3.227,0.582,0.166,0.095
1993,0.203,0.217,0.105,0.087,0.262,2.709,11.465,4.038,3.716,0.359,0.104,0.095
1994,0.582,0.183,0.085,0.236,0.342,1.927,10.338,7.255,1.894,0.321,0.114,0.095
1995,0.558,0.213,0.141,0.104,0.172,0.719,7.835,15.131,2.99,0.373,0.111,0.094
1996,0.206,0.252,0.173,0.079,0.466,4.883,6.077,9.594,4.647,1.031,0.111,0.094
1997,0.209,0.105,0.151,0.094,0.667,1.315,4.97,7.011,2.72,1.075,0.215,0.289
1998,0.17,0.169,0.198,0.149,0.202,2.564,8.192,5.158,4.168,1.257,0.195,0.095
1999,0.281,0.194,0.084,0.076,0.374,1.972,6.479,4.061,2.641,1.753,0.115,0.094
2000,0.233,0.146,0.088,0.09,0.592,0.987,9.541,4.615,1.338,0.208,0.085,0.09
2001,0.172,0.082,0.103,0.183,0.777,3.292,10.925,3.797,0.568,1.066,0.081,0.102
2002,0.218,0.215,0.088,0.102,0.526,1.357,0.866,3.839,1.476,0.21,0.086,0.213
2003,0.213,0.294,0.114,0.069,0.195,1.848,10.825,4.991,2.491,0.349,0.087,0.187
2004,0.211,0.08,0.07,0.09,0.438,0.653,2.942,11.688,0.902,0.852,0.087,0.127
2005,0.161,0.163,0.167,0.171,0.194,2.128,9.406,1.435,3.812,0.206,0.084,0.088
2006,0.167,0.111,0.255,0.077,0.792,2.068,5.642,3.014,1.71,0.412,0.093,0.095
2007,0.192,0.456,0.266,0.09,0.394,2.19,5.03,5.927,2.982,0.208,0.085,0.094
2008,0.152,0.076,0.179,0.256,0.809,5.01,6.185,6.314,3.155,0.334,0.09,0.13
2009,0.168,0.097,0.181,0.075,0.712,1.311,4.382,3.155,1.75,0.605,0.23,0.113
2010,0.231,0.242,0.083,0.136,0.226,0.599,7.095,10.935,6.104,0.238,0.268,0.166
2011,0.154,0.155,0.074,0.161,0.442,2.361,6.368,6.725,4.828,0.2,0.081,0.12
2012,0.182,0.08,0.07,0.235,0.291,0.229,6.955,14.348,4.771,0.199,0.081,0.088
2013,0.214,0.402,0.095,0.142,0.261,3.29,10.706,9.118,2.304,1.539,0.113,0.095
2014,0.45,0.337,0.2,0.184,0.617,0.38,5.862,6.715,2.727,0.307,0.093,0.089
2015,0.439,0.161,0.45,0.302,0.464,1.379,4.606,5.257,0.882,0.689,0.1,0.091
2016,0.164,0.088,0.136,0.083,0.529,1.406,11.654,9.246,1.293,1.058,0.093,0.088
2017,0.234,0.125,0.152,0.077,1.216,2.904,4.811,6.105,1.241,0.215,0.103,0.125
2018,0.168,0.139,0.072,0.171,0.454,2.019,9.343,7.405,4.448,0.217,0.148,0.159
2019,0.249,0.267,0.117,0.295,0.502,0.918,7.177,7.456,4.803,0.44,0.159,0.211
2020,0.243,0.117,0.29,0.171,0.743,0.932,5.151,9.38,2.317,0.223,0.254,0.087
2021,0.334,0.089,0.16,0.09,0.891,0.639,10.899,6.541,5.587,1.487,0.221,0.219
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
