Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,3.95,1.034,2.48,0.111,0.562,1.214,16.026,4.635,1.564,0.571,0.228,0.22
1982,2.079,1.148,2.706,0.734,1.317,1.208,4.267,6.906,0.99,0.598,0.31,0.641
1983,1.859,1.244,1.502,0.623,1.901,0.939,7.778,9.079,3.461,1.369,0.145,0.289
1984,0.608,1.405,1.277,0.312,0.354,1.624,11.279,11.673,4.566,0.415,0.157,0.479
1985,0.665,0.419,0.599,0.447,0.546,1.11,12.091,7.173,3.073,1.414,0.157,0.591
1986,0.549,0.713,1.415,0.687,0.806,1.602,7.714,7.525,2.637,0.658,0.238,0.313
1987,1.275,1.047,1.266,0.351,1.973,0.888,3.701,4.155,1.097,1.461,0.138,0.431
1988,1.154,0.915,1.598,0.285,0.349,2.432,11.951,6.745,9.871,0.495,0.166,1.16
1989,1.672,0.552,0.941,0.16,0.398,0.737,10.576,4.993,2.991,0.465,0.248,0.462
1990,0.987,2.315,2.215,0.224,0.58,1.333,9.667,9.504,4.318,0.455,0.198,0.977
1991,0.533,1.226,0.813,0.476,0.617,1.295,7.04,5.042,2.441,0.552,0.152,0.559
1992,1.972,1.183,2.258,0.236,0.964,0.828,5.04,8.444,5.454,0.704,0.304,0.543
1993,1.304,0.671,1.246,0.306,0.43,1.973,9.744,1.738,2.305,0.609,0.204,0.246
1994,1.381,0.861,0.678,0.491,1.045,1.308,7.89,7.068,5.652,0.53,0.151,0.497
1995,1.49,0.95,1.036,0.546,0.27,0.667,9.292,12.364,2.585,0.481,0.214,0.35
1996,1.393,1.497,1.367,0.172,0.427,3.82,8.158,12.066,2.769,0.667,0.149,0.228
1997,1.314,0.554,1.208,0.672,0.961,1.564,10.103,9.511,2.039,2.008,0.304,0.288
1998,0.497,0.512,0.552,0.373,0.309,0.305,4.464,1.867,1.809,0.802,0.141,0.185
1999,0.633,0.471,0.417,0.111,0.259,0.932,2.786,3.802,1.551,0.362,0.155,0.183
2000,0.8,0.422,0.37,0.218,0.408,0.488,4.573,1.972,1.016,0.374,0.13,0.247
2001,0.41,0.329,0.462,0.254,0.47,0.869,6.984,1.884,0.97,0.326,0.102,0.275
2002,0.39,0.39,0.458,0.211,0.418,0.598,1.592,3.211,1.576,0.415,0.117,0.288
2003,0.515,1.126,0.519,0.253,0.28,0.875,3.975,2.473,1.22,0.436,0.165,0.25
2004,0.811,0.318,0.322,0.299,0.427,0.602,2.59,2.93,0.917,0.395,0.156,0.313
2005,1.04,0.866,0.88,0.287,0.307,0.914,2.935,2.287,2.097,0.38,0.109,0.215
2006,0.825,0.392,0.741,0.205,0.415,0.773,3.814,3.242,2.808,1.232,0.19,0.338
2007,0.425,1.401,0.945,0.182,0.53,1.585,2.093,3.159,1.536,0.309,0.198,0.25
2008,1.144,0.281,0.317,0.502,0.501,1.534,3.675,5.229,1.229,0.889,0.111,0.482
2009,1.676,0.97,1.402,0.676,0.522,0.662,7.169,5.427,1.968,0.365,0.238,0.369
2010,0.654,0.863,0.475,0.192,0.7,1.176,10.423,7.269,5.918,0.506,0.121,0.581
2011,0.606,2.574,0.569,0.762,0.547,4.271,7.996,10.673,6.939,0.363,0.141,0.4
2012,1.521,0.696,0.545,1.364,0.321,0.534,4.486,9.284,8.16,1.651,0.119,0.814
2013,1.308,2.69,1.246,0.441,0.321,2.693,8.967,10.767,2.217,2.068,0.351,0.278
2014,1.997,1.245,1.536,1.055,0.91,1.79,6.846,4.144,13.773,0.55,0.142,0.312
2015,0.986,2.399,3.498,0.859,0.973,1.582,10.49,6.487,5.898,0.832,0.165,0.242
2016,0.825,0.399,1.169,0.244,1.292,2.761,9.834,10.105,1.971,0.474,0.159,0.208
2017,2.55,0.636,1.093,0.536,0.8,3.392,9.544,5.539,2.382,0.305,0.286,0.449
2018,0.72,0.824,0.661,0.38,0.474,3.783,11.763,5.858,6.289,0.781,0.267,0.256
2019,2.08,2.783,0.929,1.099,0.98,1.058,11.678,7.571,6.473,0.785,0.604,0.985
2020,2.126,0.821,2.427,0.662,1.207,1.36,8.671,7.977,2.873,0.305,0.411,0.501
2021,1.293,0.309,0.862,0.79,1.028,1.396,13.462,4.499,12.219,3.184,0.115,0.236
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
