Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.436,0.1,0.427,0.159,0.264,4.007,4.946,6.112,6.804,1.657,0.397,0.319
1982,0.438,0.184,0.211,0.16,0.289,2.299,3.742,2.373,2.177,0.77,0.786,0.137
1983,0.157,0.104,0.146,0.153,0.117,3.315,5.083,9.816,8.757,1.667,0.211,0.149
1984,0.172,0.212,0.174,0.164,0.136,4.876,5.53,7.383,2.893,2.815,0.244,0.139
1985,0.28,0.139,0.138,0.261,0.152,6.323,4.63,3.322,1.395,2.996,0.216,0.137
1986,0.156,0.132,0.144,0.26,0.207,5.571,3.75,7.615,0.894,0.278,0.464,0.206
1987,0.211,0.148,0.163,0.164,0.217,5.801,1.332,8.059,0.669,2.165,0.924,0.202
1988,0.144,0.108,0.197,0.199,0.222,4.187,8.183,7.528,8.717,2.69,0.324,0.159
1989,0.149,0.1,0.241,0.167,0.421,5.319,3.734,5.89,4.592,0.505,0.44,0.215
1990,0.156,0.11,0.144,0.153,1.968,8.811,3.752,11.525,1.942,2.09,0.357,0.253
1991,0.157,0.12,0.144,0.255,0.284,6.601,5.865,3.367,0.634,0.274,0.325,0.159
1992,0.146,0.143,0.15,0.167,0.166,3.639,2.652,7.619,4.227,1.233,0.368,0.137
1993,0.155,0.142,0.283,0.152,0.168,3.714,6.482,4.961,4.37,4.605,0.325,0.27
1994,0.229,0.123,0.144,0.204,0.333,5.59,4.64,6.008,3.495,1.331,0.605,0.137
1995,0.384,0.134,0.604,0.179,0.201,3.581,5.588,4.913,5.485,1.9,0.227,0.137
1996,0.172,0.114,0.17,0.162,0.134,2.058,6.285,5.838,4.202,1.717,0.295,0.137
1997,0.251,0.102,0.147,0.298,0.144,4.039,3.581,5.257,2.255,1.155,0.904,0.392
1998,0.135,0.102,0.178,0.152,0.196,3.97,4.614,8.672,7.779,2.832,1.037,0.137
1999,0.146,0.382,0.15,0.165,1.021,6.281,3.078,5.576,5.619,3.335,0.322,0.159
2000,0.157,0.101,0.116,0.121,1.715,5.154,5.207,7.741,1.236,0.852,0.202,0.208
2001,0.201,0.08,0.201,0.136,0.141,6.228,2.11,8.225,2.397,3.107,0.297,0.137
2002,0.14,0.115,0.158,0.2,0.189,6.571,1.379,7.8,4.473,1.077,0.204,0.137
2003,0.142,0.104,0.113,0.194,0.144,5.25,5.048,6.842,2.92,0.463,0.206,0.189
2004,0.154,0.08,0.121,0.132,0.851,3.423,4.085,4.095,5.443,1.166,0.603,0.137
2005,0.224,0.094,0.266,0.257,0.171,3.0,9.769,8.125,7.14,2.853,0.242,0.137
2006,0.126,0.08,0.569,0.111,2.012,5.109,5.848,13.502,7.957,0.98,0.852,0.137
2007,0.127,0.082,0.114,0.135,0.139,5.704,8.2,9.364,6.419,0.431,0.513,0.145
2008,0.127,0.082,0.374,0.163,0.095,2.893,4.268,9.126,8.688,0.707,0.452,0.186
2009,0.128,0.081,0.203,0.151,0.414,3.041,5.737,5.683,3.885,1.684,2.109,0.169
2010,0.196,0.11,0.38,0.191,0.222,4.921,7.465,11.805,5.287,2.444,2.462,0.137
2011,0.127,0.104,0.154,0.232,0.172,3.245,8.092,7.784,4.117,1.506,0.161,0.137
2012,0.148,0.082,0.114,0.196,0.227,5.435,5.383,6.347,4.971,2.197,0.378,0.137
2013,0.222,0.118,0.126,0.127,0.12,8.546,7.037,5.105,4.523,2.57,0.39,0.163
2014,0.146,0.118,0.477,0.193,0.136,1.548,6.093,8.007,3.296,0.336,1.064,0.144
2015,0.261,0.113,0.743,0.161,0.185,6.84,2.098,4.775,5.109,0.905,0.803,0.139
2016,0.143,0.163,0.236,0.11,0.185,4.883,9.797,3.85,4.365,1.955,0.173,0.139
2017,0.143,0.099,0.137,0.11,0.093,6.394,2.709,6.767,6.246,2.909,0.192,0.141
2018,0.143,0.17,0.142,0.18,0.112,7.604,5.111,5.835,1.447,0.27,0.432,0.146
2019,0.143,0.112,0.119,0.157,0.083,4.741,7.044,5.373,7.897,3.644,0.519,0.154
2020,0.145,0.099,0.292,0.121,0.326,8.331,7.211,9.081,6.881,4.244,0.208,0.139
2021,0.153,0.114,0.124,0.176,1.091,6.316,4.159,5.494,8.822,2.492,0.269,0.218
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
