Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,3.551,0.961,3.08,0.227,0.737,4.403,13.035,5.033,3.921,0.348,0.276,0.283
1982,3.035,1.941,1.888,0.752,1.952,2.689,12.966,8.301,1.632,0.505,0.232,0.522
1983,3.656,1.227,1.102,0.599,1.297,2.761,13.744,16.801,6.953,1.065,0.194,0.44
1984,0.862,1.238,0.796,0.3,0.32,3.35,17.431,13.729,6.69,0.384,0.171,0.408
1985,0.955,0.317,0.602,0.534,0.598,2.617,12.144,12.485,6.5,1.379,0.183,0.747
1986,0.858,0.965,1.734,0.423,1.373,3.762,8.273,7.856,3.915,0.966,0.307,0.37
1987,1.618,1.038,1.393,0.665,2.248,1.926,5.536,3.941,1.863,1.242,0.156,0.398
1988,0.98,1.167,1.534,0.369,0.49,5.494,11.14,10.63,11.892,0.398,0.174,0.842
1989,3.134,0.471,1.553,0.214,0.38,2.498,10.668,9.878,4.662,0.487,0.256,0.622
1990,1.096,2.639,1.836,0.28,1.148,2.702,13.886,9.809,8.842,0.433,0.263,0.916
1991,0.812,1.001,0.843,0.357,0.541,3.324,8.15,5.171,4.637,0.5,0.203,1.065
1992,1.987,1.294,1.769,0.27,0.567,2.18,8.437,8.51,4.778,0.661,0.478,0.291
1993,1.657,0.974,1.322,0.36,0.606,3.382,15.349,3.695,7.744,1.049,0.173,0.291
1994,1.788,0.863,0.396,0.394,0.855,4.46,12.205,14.276,3.525,0.359,0.332,0.322
1995,2.151,0.917,0.86,0.648,0.256,1.58,9.489,12.481,9.761,0.374,0.192,0.333
1996,1.953,1.93,1.315,0.229,0.468,8.342,11.611,11.094,4.058,0.656,0.166,0.269
1997,1.377,0.463,1.286,0.462,1.397,3.94,16.025,8.603,3.357,1.403,0.388,0.455
1998,0.501,0.313,0.459,0.208,0.248,0.54,3.257,3.161,2.01,0.449,0.146,0.207
1999,0.691,0.572,0.311,0.117,0.212,1.125,3.077,2.634,2.543,0.264,0.162,0.209
2000,0.486,0.277,0.386,0.226,0.397,1.798,3.977,1.872,1.659,0.248,0.126,0.234
2001,0.506,0.358,0.557,0.344,0.359,1.303,4.563,2.535,1.015,0.258,0.122,0.243
2002,0.439,0.609,0.589,0.243,0.553,0.713,1.892,2.942,1.869,0.37,0.119,0.237
2003,0.549,0.489,0.305,0.345,0.231,0.908,3.361,2.534,2.355,0.278,0.132,0.222
2004,0.708,0.223,0.362,0.319,0.256,0.887,2.018,2.637,1.124,0.556,0.144,0.325
2005,0.613,0.548,0.532,0.181,0.287,1.196,3.048,2.124,2.157,0.248,0.123,0.219
2006,0.868,0.378,0.595,0.145,0.343,0.849,3.351,2.217,1.073,0.435,0.133,0.223
2007,0.496,0.914,0.68,0.223,0.311,1.381,2.439,3.647,1.252,0.314,0.122,0.236
2008,0.764,0.267,0.314,0.317,0.373,2.51,3.308,2.514,2.296,0.359,0.155,0.363
2009,1.575,0.827,1.211,0.631,0.776,2.246,7.821,7.904,7.233,0.519,0.149,0.332
2010,1.026,1.542,0.479,0.307,0.493,3.714,15.598,13.423,13.799,0.52,0.202,0.842
2011,0.789,2.23,0.669,0.825,1.771,7.55,10.318,14.083,10.414,0.388,0.13,0.413
2012,1.304,0.344,0.575,1.402,0.36,1.219,9.791,18.362,9.858,0.562,0.155,0.615
2013,2.375,4.416,1.314,0.488,0.344,9.017,14.13,13.996,3.362,2.467,0.182,0.4
2014,2.83,1.677,1.871,0.962,1.033,1.895,8.643,5.985,10.144,1.399,0.154,0.683
2015,1.556,1.936,5.446,1.499,0.661,4.258,14.191,9.997,5.085,0.704,0.174,0.323
2016,1.007,0.733,1.863,0.367,1.739,4.421,11.192,10.558,3.111,0.529,0.129,0.289
2017,3.505,0.646,0.998,0.99,1.05,7.699,8.142,15.286,5.214,0.381,0.158,0.535
2018,1.145,1.222,0.51,0.543,0.669,7.888,13.915,15.892,14.051,0.694,0.256,0.588
2019,1.994,2.763,1.399,0.892,0.877,2.398,10.259,13.22,8.101,0.591,0.558,0.736
2020,3.042,0.857,3.414,1.165,1.893,2.826,10.951,11.663,3.09,0.381,0.384,0.519
2021,1.009,0.64,0.781,0.965,1.82,3.773,12.644,7.093,8.819,1.066,0.136,0.418
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
