Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,1.038,1.178,2.155,2.633,7.834,9.948,9.148,8.564,8.787,3.37,0.696,0.176
1982,0.395,0.627,1.062,4.337,6.082,10.008,7.869,8.368,9.025,4.187,0.712,0.159
1983,0.427,1.057,1.89,4.652,5.889,8.817,10.061,11.538,10.651,4.056,0.925,0.162
1984,0.51,0.451,1.361,4.262,7.588,13.073,7.817,7.93,10.142,3.583,0.635,0.189
1985,0.495,0.844,3.384,3.372,5.685,13.636,7.684,10.748,12.61,2.792,0.519,0.161
1986,0.434,0.593,1.059,5.498,3.899,10.219,9.808,8.3,10.482,10.081,1.898,0.17
1987,0.419,0.68,2.433,3.035,6.074,7.662,7.692,10.661,11.502,3.167,0.892,0.16
1988,0.592,1.231,1.887,3.351,16.183,11.775,9.193,10.47,7.261,7.032,1.445,0.165
1989,0.527,1.279,1.123,3.72,3.689,11.794,11.726,10.419,12.447,8.601,0.691,0.159
1990,0.442,1.445,1.868,4.612,5.579,11.148,8.592,5.635,10.498,4.664,0.491,0.171
1991,0.544,0.544,1.46,3.17,10.337,8.742,5.903,10.365,13.01,10.054,0.678,0.161
1992,0.637,1.112,1.517,3.178,4.77,8.723,9.551,7.897,7.415,4.972,0.509,0.16
1993,0.701,1.395,2.6,3.034,8.048,9.75,6.044,8.262,9.069,4.375,1.266,0.158
1994,0.578,1.077,3.154,3.157,3.099,11.442,8.609,8.899,8.977,5.195,0.713,0.14
1995,0.47,0.93,0.916,3.463,7.312,13.686,9.257,10.076,10.546,4.529,1.737,0.141
1996,0.407,0.844,3.506,2.202,8.778,10.006,8.81,8.248,7.748,4.521,0.438,0.14
1997,0.394,0.809,1.942,2.489,4.326,9.914,8.707,10.291,12.101,2.55,0.52,0.282
1998,0.601,0.698,2.792,3.293,7.321,12.854,10.036,14.763,7.897,4.213,0.831,0.14
1999,0.323,0.345,0.797,0.864,8.757,7.493,9.979,11.942,11.451,6.308,0.515,0.142
2000,0.472,0.655,1.824,3.737,6.436,11.108,9.7,12.943,11.604,4.842,1.123,0.212
2001,0.363,1.348,0.993,2.484,5.907,12.21,7.399,7.513,11.183,7.467,0.77,0.158
2002,0.577,0.471,1.009,2.88,7.69,6.226,8.41,12.461,5.995,2.145,1.656,0.164
2003,0.489,0.646,1.544,3.831,4.732,9.83,6.92,9.476,12.229,7.667,0.733,0.159
2004,0.419,0.524,1.411,8.115,10.51,10.042,10.992,7.847,11.174,8.163,0.384,0.157
2005,0.423,0.814,3.046,3.713,8.734,7.16,5.894,11.623,6.773,3.993,0.439,0.153
2006,0.269,1.338,0.509,3.82,6.371,10.829,8.021,6.895,6.505,2.449,1.18,0.147
2007,0.344,2.948,0.663,6.028,7.795,10.111,7.209,8.407,11.259,6.649,1.962,0.124
2008,1.062,0.709,1.818,2.224,4.619,9.321,9.25,10.426,7.622,5.5,0.388,0.134
2009,0.286,0.59,1.613,1.992,4.244,7.637,7.796,9.977,6.953,4.721,0.531,0.137
2010,0.353,0.406,2.407,7.356,7.029,11.174,8.927,9.038,10.69,6.811,0.677,0.193
2011,0.599,0.429,1.713,2.523,7.143,10.725,12.204,12.28,9.367,1.877,0.341,0.131
2012,0.545,0.372,1.23,4.424,5.32,10.792,6.963,10.368,8.416,5.684,1.372,0.109
2013,0.256,0.484,1.208,3.08,8.643,6.664,10.055,13.975,7.218,3.7,0.351,0.162
2014,0.254,0.7,0.908,1.507,7.488,8.48,8.78,8.248,9.144,2.248,0.37,0.121
2015,0.499,0.537,0.93,3.867,4.765,8.477,9.877,10.498,8.269,5.071,1.227,0.124
2016,0.401,0.685,1.807,6.826,6.561,7.729,11.029,9.347,11.717,4.066,1.159,0.151
2017,0.332,0.97,2.497,4.362,5.908,13.015,12.302,9.069,6.594,7.837,0.495,0.374
2018,0.322,0.437,1.737,2.653,4.576,15.815,10.855,9.416,5.43,2.412,0.773,0.215
2019,0.261,0.698,0.952,2.343,6.282,5.666,8.097,6.452,10.724,5.218,0.702,0.175
2020,1.002,0.603,0.858,3.16,5.572,7.469,6.893,6.331,7.486,5.133,2.3,0.118
2021,0.391,0.365,1.648,2.683,4.301,7.348,7.332,8.334,9.585,3.395,0.374,0.324
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
