Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.216,0.057,0.274,0.021,0.183,2.138,7.938,6.263,2.023,0.151,0.078,0.142
1982,0.425,0.09,0.09,0.028,0.315,0.315,6.711,10.753,0.582,0.232,0.176,0.127
1983,0.208,0.07,0.072,0.026,0.261,1.36,9.519,9.927,5.955,0.356,0.067,0.098
1984,0.344,0.076,0.072,0.021,0.153,1.331,2.227,9.169,1.687,0.111,0.064,0.124
1985,0.191,0.064,0.128,0.029,0.167,0.801,7.453,11.469,1.707,2.985,0.067,0.127
1986,0.247,0.126,0.079,0.021,0.688,2.366,15.935,6.924,0.528,0.251,0.105,0.135
1987,0.393,0.106,0.105,0.021,0.438,1.632,2.389,10.059,0.857,0.144,0.064,0.239
1988,0.262,0.064,0.085,0.024,0.156,2.709,9.621,9.577,2.697,0.541,0.064,0.104
1989,0.323,0.065,0.073,0.021,0.139,1.343,3.869,11.201,0.825,0.128,0.064,0.108
1990,0.175,0.167,0.068,0.022,0.552,3.423,7.628,9.417,4.602,0.142,0.075,0.124
1991,0.206,0.083,0.07,0.024,0.135,0.481,9.828,6.752,0.826,0.111,0.091,0.152
1992,0.264,0.075,0.068,0.021,0.533,0.304,4.052,9.363,2.251,0.858,0.065,0.096
1993,0.197,0.127,0.097,0.021,0.197,2.806,7.072,7.295,5.36,0.162,0.068,0.104
1994,0.611,0.088,0.068,0.027,0.216,5.29,11.779,10.186,4.211,0.154,0.06,0.097
1995,0.477,0.095,0.104,0.022,0.232,0.915,10.615,13.126,2.965,0.213,0.064,0.158
1996,0.228,0.117,0.103,0.022,0.215,2.889,11.095,15.742,2.379,0.311,0.064,0.102
1997,0.239,0.064,0.13,0.029,0.323,1.589,7.395,8.208,2.634,0.375,0.088,0.226
1998,0.18,0.128,0.083,0.055,0.17,2.51,8.231,5.595,4.629,0.626,0.069,0.097
1999,0.213,0.223,0.068,0.021,0.182,1.982,7.488,5.345,5.246,1.086,0.068,0.103
2000,0.183,0.067,0.064,0.023,0.595,1.456,12.497,6.232,1.241,0.147,0.054,0.09
2001,0.152,0.061,0.099,0.023,0.411,4.397,13.136,5.502,0.259,0.428,0.051,0.082
2002,0.156,0.15,0.095,0.023,0.161,1.741,0.902,8.348,1.912,0.102,0.068,0.119
2003,0.2,0.187,0.065,0.02,0.158,2.708,7.572,7.312,3.561,0.133,0.051,0.109
2004,0.193,0.055,0.062,0.018,0.242,0.74,5.871,16.229,0.748,0.609,0.053,0.092
2005,0.169,0.055,0.186,0.064,0.222,1.499,13.627,2.228,6.189,0.098,0.051,0.087
2006,0.152,0.058,0.163,0.017,0.621,3.018,6.343,15.111,3.671,0.335,0.051,0.087
2007,0.154,0.253,0.063,0.018,0.252,2.244,8.233,6.98,4.689,0.099,0.051,0.089
2008,0.146,0.056,0.135,0.03,0.181,5.462,7.503,6.115,3.37,0.095,0.074,0.111
2009,0.208,0.064,0.1,0.018,0.217,1.63,8.001,4.417,1.405,0.854,0.141,0.107
2010,0.188,0.15,0.066,0.019,0.133,0.486,9.27,12.593,3.145,0.132,0.217,0.104
2011,0.144,0.079,0.061,0.018,0.221,3.021,9.933,10.203,6.835,0.099,0.05,0.088
2012,0.21,0.056,0.06,0.027,0.182,0.215,7.828,12.655,4.126,0.097,0.082,0.082
2013,0.166,0.14,0.162,0.024,0.136,4.956,17.456,12.689,2.501,1.699,0.062,0.154
2014,0.357,0.167,0.073,0.024,0.176,0.23,11.431,8.815,3.336,0.132,0.051,0.1
2015,0.348,0.107,0.356,0.027,0.128,1.876,10.266,9.361,0.641,0.156,0.054,0.098
2016,0.153,0.047,0.063,0.016,0.169,3.175,15.847,17.529,1.2,1.091,0.05,0.089
2017,0.162,0.06,0.075,0.017,0.227,3.039,7.926,5.77,2.902,0.118,0.05,0.096
2018,0.151,0.093,0.065,0.028,0.129,2.531,13.451,10.167,4.652,0.137,0.06,0.099
2019,0.169,0.159,0.062,0.064,0.159,2.653,9.4,18.786,9.473,0.709,0.085,0.114
2020,0.247,0.062,0.15,0.025,0.194,3.211,4.655,12.667,3.821,0.147,0.057,0.106
2021,0.216,0.046,0.145,0.018,0.845,1.597,9.801,16.607,5.209,0.997,0.166,0.205
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
