Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.17,0.095,0.281,0.371,0.565,4.272,5.883,4.568,12.128,1.574,0.542,0.25
1982,0.122,0.126,0.18,0.465,0.908,2.641,6.495,1.804,4.959,0.806,1.114,0.161
1983,0.105,0.099,0.169,0.34,0.337,2.827,5.838,9.985,10.435,2.703,0.285,0.225
1984,0.106,0.176,0.298,0.422,0.251,3.474,7.54,3.779,4.472,3.446,0.289,0.17
1985,0.131,0.134,0.236,0.642,0.454,6.461,9.117,2.046,1.761,3.646,0.302,0.161
1986,0.111,0.107,0.166,0.41,0.624,3.609,3.229,5.376,2.295,0.259,0.376,0.164
1987,0.146,0.117,0.201,0.381,0.761,4.264,2.763,6.548,1.804,3.669,1.355,0.186
1988,0.115,0.115,0.226,0.69,0.594,3.523,11.588,8.011,11.791,1.657,0.396,0.19
1989,0.111,0.104,0.239,0.444,0.848,3.398,7.545,4.485,4.934,0.6,0.797,0.199
1990,0.106,0.1,0.188,0.338,2.164,6.452,4.706,8.483,1.548,2.667,0.539,0.167
1991,0.106,0.114,0.17,0.832,1.012,7.083,6.281,3.679,3.52,0.371,0.38,0.167
1992,0.106,0.11,0.163,0.596,0.486,3.118,3.022,7.172,4.028,1.544,0.464,0.161
1993,0.104,0.11,0.307,0.499,1.019,3.189,6.48,4.815,4.296,6.428,0.558,0.35
1994,0.14,0.123,0.179,0.78,0.973,5.704,5.714,4.983,1.473,4.39,0.873,0.161
1995,0.155,0.119,0.374,0.514,0.504,3.48,8.807,3.596,6.723,3.106,0.418,0.161
1996,0.107,0.104,0.166,0.53,0.325,2.07,5.95,8.207,7.981,2.348,0.561,0.161
1997,0.128,0.098,0.166,0.907,0.403,3.774,5.548,2.888,2.465,2.002,1.296,0.208
1998,0.088,0.098,0.171,0.349,0.763,3.73,7.007,7.298,9.499,3.543,0.964,0.203
1999,0.117,0.234,0.188,0.42,2.005,4.829,4.999,5.755,6.404,3.564,0.381,0.186
2000,0.105,0.092,0.119,0.462,1.73,5.859,5.619,10.269,3.103,1.616,0.284,0.164
2001,0.104,0.075,0.132,0.524,0.413,4.88,3.621,7.051,3.883,4.243,0.298,0.18
2002,0.087,0.098,0.207,0.55,1.074,5.034,1.975,6.501,3.372,2.089,0.239,0.172
2003,0.118,0.098,0.191,0.715,0.384,3.233,6.564,5.412,3.628,0.983,0.416,0.162
2004,0.087,0.076,0.128,0.575,1.348,2.907,6.407,1.986,6.345,1.27,0.458,0.173
2005,0.094,0.09,0.22,1.152,0.787,3.03,12.805,5.808,9.455,5.199,0.226,0.172
2006,0.083,0.075,0.383,0.612,2.963,4.307,7.741,7.567,10.797,1.267,2.371,0.161
2007,0.082,0.075,0.125,0.404,0.352,6.293,7.622,7.707,9.882,0.751,0.479,0.282
2008,0.082,0.078,0.601,0.43,0.345,2.455,4.742,6.219,10.034,1.233,1.401,0.264
2009,0.082,0.075,0.182,0.426,0.951,3.771,4.456,7.302,6.938,3.163,2.001,0.193
2010,0.108,0.1,0.225,0.558,0.757,4.656,9.427,9.585,8.326,2.431,1.573,0.317
2011,0.082,0.105,0.13,1.216,0.618,2.977,9.924,6.996,4.432,2.489,0.243,0.161
2012,0.084,0.077,0.135,0.756,0.35,4.825,6.788,5.477,5.455,3.241,0.672,0.161
2013,0.102,0.114,0.124,1.095,0.474,6.258,9.762,4.074,6.743,3.039,0.272,0.161
2014,0.092,0.103,0.467,0.869,0.509,2.283,6.469,6.448,3.684,0.788,1.679,0.226
2015,0.102,0.1,0.209,0.644,0.798,4.319,1.578,4.26,8.194,1.568,0.772,0.159
2016,0.093,0.148,0.203,0.476,0.935,4.736,11.468,2.393,9.715,2.137,0.235,0.312
2017,0.092,0.092,0.188,0.32,0.39,5.977,3.794,6.037,6.037,4.781,0.223,0.159
2018,0.092,0.158,0.164,0.544,0.679,6.277,5.787,6.428,2.125,1.188,0.42,0.171
2019,0.095,0.095,0.162,0.61,0.363,4.064,5.12,4.9,9.949,6.327,0.547,0.202
2020,0.102,0.097,0.405,0.449,0.686,6.788,6.48,3.776,11.597,4.917,0.213,0.159
2021,0.097,0.101,0.115,0.767,1.976,5.359,8.265,5.202,10.114,3.085,0.969,0.196
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
