Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.772,0.235,0.61,0.276,0.453,5.229,16.869,7.444,8.543,0.374,0.091,0.312
1982,1.542,0.664,0.901,0.369,0.559,3.278,6.705,8.271,7.848,0.562,0.107,0.273
1983,1.08,0.254,0.257,0.406,0.735,2.355,5.688,7.878,10.91,1.192,0.072,0.319
1984,1.011,0.411,0.296,0.189,0.38,9.013,10.219,3.964,4.26,0.558,0.074,0.283
1985,0.609,0.267,0.256,0.205,0.33,3.754,13.074,9.46,9.724,3.895,0.068,0.351
1986,0.577,0.676,0.378,0.329,0.615,3.194,5.283,7.609,5.336,0.881,0.089,0.519
1987,0.473,0.366,0.314,0.26,0.519,1.21,6.851,5.362,6.509,0.744,0.073,0.204
1988,0.445,0.333,0.567,0.41,0.28,5.969,16.544,9.72,3.546,1.03,0.073,0.39
1989,0.97,0.315,0.374,0.158,0.397,6.479,10.673,6.987,8.341,1.012,0.081,0.388
1990,0.311,1.155,0.855,0.302,0.785,4.072,17.152,6.384,5.588,1.019,0.08,0.341
1991,0.294,0.542,0.396,0.307,0.312,2.74,3.092,5.431,4.615,0.395,0.078,0.297
1992,0.291,0.548,0.298,0.169,0.448,1.706,3.951,5.283,8.373,1.635,0.071,0.166
1993,0.494,0.472,1.12,0.169,0.976,5.619,4.128,7.82,5.613,0.354,0.071,0.166
1994,0.844,0.571,0.32,0.272,1.085,7.142,11.872,8.371,5.282,0.571,0.07,0.173
1995,0.737,0.514,0.616,0.429,0.223,2.374,4.627,6.122,4.456,0.582,0.071,0.287
1996,1.508,0.944,0.368,0.177,0.278,6.898,6.131,11.925,4.227,1.69,0.07,0.182
1997,0.47,0.257,0.305,0.213,0.894,4.212,6.919,5.93,7.371,1.306,0.114,0.337
1998,0.481,0.395,0.853,0.315,0.498,5.564,11.033,12.961,5.145,2.298,0.077,0.188
1999,0.534,0.929,0.313,0.232,0.741,5.208,7.04,9.8,10.854,2.232,0.071,0.25
2000,0.458,0.349,0.304,0.39,0.852,9.162,10.316,11.734,4.529,0.353,0.061,0.154
2001,0.364,0.347,0.419,0.313,1.161,8.969,7.644,5.727,2.729,2.547,0.172,0.143
2002,0.9,1.116,0.276,0.262,0.924,2.797,4.922,7.044,8.385,0.731,0.062,0.203
2003,0.775,0.804,0.269,0.49,0.362,3.775,7.572,8.254,11.58,0.568,0.06,0.33
2004,1.334,0.235,0.254,0.531,0.58,5.469,4.906,5.903,6.518,0.99,0.065,0.146
2005,0.817,0.447,0.679,0.239,0.431,3.453,8.974,8.223,4.915,0.77,0.06,0.227
2006,0.447,0.231,0.792,1.016,1.179,6.72,15.561,4.65,2.482,1.449,0.094,0.178
2007,0.314,1.98,0.852,0.225,1.113,4.149,7.287,8.448,4.141,0.387,0.06,0.177
2008,0.447,0.316,0.329,0.536,1.04,11.09,13.959,14.405,7.619,0.409,0.06,0.179
2009,0.649,0.305,0.453,0.201,1.234,2.122,7.066,8.464,9.496,2.649,0.097,0.241
2010,0.411,0.944,0.262,0.165,0.915,1.446,9.394,7.252,6.557,0.794,0.088,0.169
2011,0.35,0.434,0.35,0.363,1.256,9.78,11.053,13.842,6.919,0.365,0.06,0.149
2012,1.73,0.471,0.307,0.667,0.252,1.418,12.547,10.319,9.416,0.36,0.134,0.162
2013,0.368,2.425,0.402,0.141,0.278,16.751,10.195,8.452,3.52,2.779,0.058,0.22
2014,1.869,0.848,0.508,0.235,0.559,2.24,10.062,5.766,7.773,2.075,0.06,0.323
2015,1.125,0.642,1.992,0.444,0.306,4.338,6.903,5.369,3.389,0.576,0.071,0.24
2016,0.34,0.33,0.861,0.165,1.025,4.699,11.893,9.583,4.149,1.287,0.059,0.157
2017,0.391,0.225,0.301,0.129,0.443,5.498,15.13,13.896,5.451,0.397,0.059,0.155
2018,0.261,0.418,0.324,0.636,0.643,4.662,14.347,18.286,7.985,0.375,0.06,0.158
2019,1.015,1.14,0.403,0.245,0.224,3.022,14.051,7.061,7.987,0.479,0.064,0.61
2020,1.305,0.562,1.614,0.548,2.279,7.427,11.851,7.861,4.611,0.361,0.178,0.187
2021,0.317,0.298,0.293,0.468,1.104,6.96,9.133,10.33,8.819,4.499,0.065,0.32
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
