Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.619,0.204,0.572,1.258,2.674,4.788,15.865,7.585,5.321,0.251,0.176,0.078
1982,0.317,0.263,0.949,0.446,1.552,6.068,5.951,1.889,5.751,0.429,0.236,0.071
1983,0.514,0.207,0.468,1.119,2.906,2.946,9.78,5.275,3.597,1.97,0.112,0.123
1984,0.741,0.329,0.275,0.341,2.348,6.172,12.489,4.354,7.665,0.496,0.112,0.065
1985,0.318,0.217,0.275,0.331,2.394,3.712,16.583,8.967,11.33,4.322,0.112,0.189
1986,0.254,0.331,0.248,0.865,2.883,4.275,10.019,6.887,5.057,1.547,0.134,0.151
1987,0.238,0.509,0.667,0.606,1.088,3.775,14.836,12.582,11.183,2.181,0.138,0.067
1988,0.293,0.605,0.881,0.776,1.332,3.519,11.415,12.159,4.695,1.221,0.15,0.196
1989,0.434,0.374,0.408,0.172,2.128,3.285,14.311,4.55,7.689,0.547,0.115,0.084
1990,0.23,0.692,0.437,0.451,2.765,5.129,13.781,6.104,6.212,0.751,0.137,0.085
1991,0.542,0.276,0.427,0.497,1.113,4.1,5.095,9.295,8.441,0.27,0.106,0.096
1992,0.259,0.326,0.366,0.762,1.523,1.418,6.417,4.984,0.832,1.656,0.107,0.06
1993,0.348,0.247,0.643,0.812,2.796,4.662,4.438,5.06,6.023,1.089,0.136,0.064
1994,0.567,0.419,0.258,0.255,1.345,2.917,7.563,9.225,5.586,0.4,0.162,0.066
1995,0.487,0.542,0.343,0.218,0.71,3.821,5.036,6.463,5.301,0.285,0.401,0.069
1996,0.846,0.582,0.281,0.301,0.98,9.632,7.773,7.081,2.422,1.859,0.108,0.069
1997,0.422,0.216,0.319,1.217,2.509,4.151,11.289,8.128,4.97,0.902,0.201,0.182
1998,0.39,0.283,0.491,0.418,3.094,3.571,11.689,10.024,4.715,2.302,0.158,0.062
1999,0.307,0.444,0.452,0.238,2.372,7.342,11.29,9.032,2.889,2.912,0.115,0.062
2000,0.25,0.326,0.278,1.397,3.503,10.098,8.304,9.017,5.899,0.353,0.11,0.062
2001,0.337,0.232,0.408,0.57,2.836,5.291,7.988,9.133,6.908,2.433,0.104,0.072
2002,0.39,0.483,0.363,0.746,3.891,4.282,11.893,6.484,3.471,1.681,0.119,0.068
2003,0.374,0.958,0.306,1.287,1.24,5.458,8.286,6.077,5.688,2.414,0.111,0.088
2004,0.612,0.183,0.291,1.181,1.69,9.196,12.909,7.272,4.645,0.949,0.11,0.067
2005,0.955,0.571,0.51,0.473,0.754,2.919,7.67,8.203,4.565,0.993,0.111,0.063
2006,0.202,0.173,0.43,0.941,3.362,8.778,11.853,5.391,5.946,1.275,0.147,0.069
2007,0.201,1.252,0.457,0.616,3.031,4.235,16.292,8.763,9.71,3.101,0.118,0.064
2008,0.917,0.276,0.291,1.134,2.908,12.281,15.461,10.147,6.842,0.5,0.114,0.063
2009,0.361,0.188,0.251,0.208,3.117,3.467,8.715,8.952,4.671,1.765,0.139,0.068
2010,0.204,0.361,0.248,0.258,2.665,4.269,9.379,7.449,4.212,1.8,0.133,0.064
2011,0.241,0.276,0.361,1.0,3.55,5.709,7.101,6.368,9.147,0.714,0.112,0.063
2012,0.452,0.301,0.329,0.819,1.638,3.184,12.037,8.002,5.942,1.578,0.186,0.063
2013,0.381,0.653,0.265,1.079,4.777,5.774,3.795,5.052,6.008,4.984,0.121,0.082
2014,0.288,0.514,0.301,0.208,2.943,3.735,9.26,10.592,8.354,1.797,0.129,0.12
2015,0.479,0.22,0.846,1.128,1.238,4.245,11.17,9.857,2.519,0.666,0.118,0.08
2016,0.288,0.216,0.394,0.27,4.626,4.28,12.93,4.708,12.596,2.382,0.121,0.082
2017,0.263,0.164,0.361,0.714,2.493,3.741,13.434,11.62,3.337,1.018,0.124,0.094
2018,0.235,0.285,0.325,1.168,2.151,4.086,10.539,8.651,2.988,1.547,0.122,0.104
2019,0.421,0.935,0.372,0.933,1.23,3.589,12.291,4.642,11.814,0.626,0.193,0.436
2020,0.659,0.565,1.145,1.931,3.659,9.304,16.171,4.589,9.574,1.7,0.148,0.082
2021,0.218,0.18,0.225,0.42,6.168,14.91,12.811,9.186,5.998,2.99,0.122,0.31
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
