Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,1.058,0.466,2.925,4.335,14.621,6.929,10.403,8.405,8.449,0.916,0.158,0.323
1982,0.266,0.508,1.129,5.807,12.76,13.508,8.345,7.971,7.422,1.948,0.412,0.128
1983,0.356,0.894,2.07,4.208,12.325,13.445,10.749,8.064,17.778,4.226,0.162,0.262
1984,0.527,0.346,1.142,5.594,14.172,13.467,17.218,5.468,15.104,1.968,0.4,0.271
1985,0.268,0.764,3.055,3.492,17.274,14.191,13.376,8.932,12.869,1.166,0.216,0.275
1986,0.333,0.314,0.804,7.083,8.253,10.273,10.398,7.764,7.971,7.22,1.0,0.195
1987,0.378,0.59,4.358,3.538,11.518,11.748,15.888,5.799,13.612,3.416,0.284,0.153
1988,0.448,1.139,2.547,4.932,26.325,12.822,13.798,9.888,12.147,4.769,0.316,0.284
1989,0.403,0.901,1.271,4.159,9.41,15.819,17.57,8.635,11.49,3.608,0.329,0.149
1990,0.332,0.859,2.689,8.186,9.899,14.193,13.856,4.189,14.197,5.03,0.188,0.124
1991,0.486,0.539,1.909,3.929,18.9,10.111,7.757,8.65,8.837,5.821,0.226,0.167
1992,0.483,0.717,0.813,4.626,13.234,12.958,12.807,4.958,10.022,1.626,0.241,0.227
1993,0.778,1.326,2.251,5.038,16.733,18.823,12.483,8.798,10.675,1.79,0.323,0.132
1994,0.516,0.876,2.354,4.019,10.18,15.822,5.641,9.763,3.782,3.627,0.246,0.136
1995,0.449,0.624,0.936,4.74,10.722,16.71,11.692,8.155,15.495,1.416,1.117,0.134
1996,0.336,0.274,2.207,2.547,15.316,10.546,9.743,8.152,3.253,3.762,0.175,0.115
1997,0.403,0.629,1.662,5.79,13.811,15.266,6.542,8.141,10.946,0.829,0.288,0.428
1998,0.242,0.437,3.719,6.686,16.533,13.404,14.33,9.054,10.837,4.35,0.298,0.11
1999,0.251,0.237,0.74,2.927,22.262,12.146,13.742,13.664,9.317,3.88,0.229,0.13
2000,0.426,0.475,1.869,7.707,21.392,16.331,10.4,12.199,9.082,2.795,0.313,0.145
2001,0.196,0.51,1.363,7.585,12.348,11.006,9.891,5.927,15.103,6.121,0.378,0.117
2002,0.287,0.567,2.546,12.465,13.531,14.039,12.906,9.503,8.077,1.724,0.9,0.117
2003,0.256,0.74,2.706,8.198,10.555,17.004,13.02,8.807,8.379,4.106,0.472,0.164
2004,0.312,0.446,1.208,13.001,17.924,15.097,15.719,6.628,8.049,6.113,0.214,0.153
2005,0.477,0.44,3.417,7.89,15.819,8.699,7.678,17.925,5.958,3.078,0.2,0.089
2006,0.17,0.575,0.948,6.513,9.717,11.789,11.129,6.105,9.315,3.089,0.496,0.137
2007,0.19,2.174,0.873,8.128,14.165,12.91,12.599,7.508,12.668,4.017,0.539,0.096
2008,1.049,0.445,3.94,5.749,8.446,10.854,12.294,8.467,7.756,3.231,0.258,0.105
2009,0.198,0.271,1.826,5.878,14.338,10.386,13.459,9.372,5.81,3.99,0.246,0.141
2010,0.165,0.27,2.756,13.086,20.802,21.653,11.604,7.856,11.393,2.428,0.324,0.134
2011,0.341,0.548,1.608,3.085,10.55,13.284,9.011,12.708,11.61,0.794,0.193,0.089
2012,0.394,0.275,1.317,9.622,11.701,25.56,11.947,10.333,10.284,4.799,0.302,0.091
2013,0.177,0.502,1.128,5.202,19.871,14.921,11.182,6.092,6.144,5.845,0.17,0.101
2014,0.192,0.62,0.933,2.349,19.046,15.393,9.257,5.96,14.455,1.57,0.16,0.1
2015,0.292,0.484,1.327,5.774,24.738,15.883,6.506,10.111,5.317,0.914,0.354,0.258
2016,0.451,0.377,2.047,6.483,13.466,11.741,13.223,4.372,7.396,2.253,0.233,0.127
2017,0.177,0.565,1.861,6.797,14.552,13.816,12.216,9.342,10.095,3.215,0.255,0.266
2018,0.186,0.38,2.413,2.905,12.319,10.849,10.108,6.997,14.348,3.083,0.296,0.312
2019,0.179,0.796,1.424,4.542,20.092,12.306,12.716,5.071,8.857,2.896,0.356,0.117
2020,0.705,0.699,0.931,4.977,15.603,14.314,10.194,4.341,8.881,3.528,0.23,0.099
2021,0.276,0.306,1.805,3.543,8.452,15.066,7.448,4.296,7.361,2.33,0.167,0.173
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
