Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.122,0.038,0.081,0.123,0.157,3.037,5.015,3.998,6.706,1.983,0.373,0.193
1982,0.083,0.042,0.055,0.117,0.24,1.749,3.4,2.815,3.437,0.919,0.761,0.121
1983,0.078,0.041,0.053,0.137,0.094,3.846,4.434,8.963,9.894,1.927,0.21,0.125
1984,0.078,0.047,0.054,0.12,0.075,3.937,5.212,4.302,4.98,1.749,0.265,0.124
1985,0.082,0.047,0.054,0.154,0.16,6.216,3.658,2.901,2.908,3.372,0.227,0.144
1986,0.082,0.044,0.054,0.143,0.191,8.026,3.785,4.689,1.514,0.389,0.428,0.167
1987,0.094,0.046,0.096,0.179,0.137,5.078,1.038,5.621,1.951,1.637,0.623,0.304
1988,0.085,0.043,0.073,0.149,0.158,3.456,8.006,4.216,11.34,2.926,0.249,0.158
1989,0.092,0.044,0.076,0.163,0.136,6.543,4.58,4.643,4.433,1.24,0.335,0.145
1990,0.082,0.047,0.057,0.138,1.167,7.8,3.302,8.546,2.428,2.723,0.381,0.146
1991,0.082,0.042,0.056,0.188,0.29,6.837,5.624,1.593,1.622,0.379,0.277,0.151
1992,0.084,0.044,0.058,0.145,0.104,3.447,2.86,5.512,5.875,1.507,0.219,0.144
1993,0.082,0.043,0.064,0.138,0.118,2.95,5.341,3.847,8.65,4.223,0.324,0.162
1994,0.101,0.042,0.054,0.167,0.349,4.729,3.97,5.081,7.159,1.325,0.387,0.144
1995,0.1,0.046,0.06,0.18,0.162,1.901,5.3,3.83,5.676,1.442,0.222,0.144
1996,0.088,0.042,0.055,0.141,0.133,4.56,7.356,4.576,4.159,2.688,0.248,0.144
1997,0.09,0.042,0.055,0.158,0.106,4.564,3.044,3.064,3.114,0.834,0.892,0.221
1998,0.075,0.042,0.057,0.143,0.145,4.085,4.852,5.247,7.522,4.338,1.533,0.144
1999,0.084,0.045,0.058,0.137,0.373,5.886,3.133,2.314,5.063,3.914,0.35,0.151
2000,0.082,0.041,0.051,0.109,0.817,5.303,5.561,5.224,2.717,1.153,0.243,0.186
2001,0.084,0.04,0.051,0.111,0.188,6.734,1.941,3.481,3.889,4.126,0.318,0.131
2002,0.076,0.043,0.057,0.18,0.113,6.012,0.698,6.373,3.116,0.417,0.184,0.131
2003,0.076,0.046,0.051,0.168,0.109,5.46,4.731,3.632,4.754,0.958,0.294,0.138
2004,0.076,0.041,0.05,0.121,0.421,3.651,6.434,4.881,6.189,1.122,0.483,0.131
2005,0.084,0.041,0.057,0.208,0.274,5.287,8.217,4.318,8.936,2.241,0.314,0.132
2006,0.076,0.04,0.111,0.095,0.764,5.903,8.67,9.047,6.833,2.473,0.829,0.126
2007,0.072,0.041,0.049,0.135,0.198,6.9,7.757,8.9,7.134,0.396,0.368,0.112
2008,0.072,0.039,0.05,0.145,0.093,2.101,3.067,5.21,10.515,1.025,0.185,0.185
2009,0.072,0.039,0.064,0.131,0.23,2.058,5.509,3.265,4.089,1.945,2.065,0.115
2010,0.076,0.046,0.056,0.156,0.132,6.942,6.98,9.013,5.398,3.11,2.462,0.114
2011,0.072,0.039,0.051,0.118,0.114,3.901,7.779,7.334,4.444,2.72,0.19,0.114
2012,0.072,0.039,0.049,0.122,0.139,3.389,5.142,4.616,4.14,2.825,0.161,0.114
2013,0.076,0.042,0.053,0.158,0.071,8.13,5.566,3.216,6.319,1.8,0.332,0.129
2014,0.082,0.046,0.055,0.127,0.466,1.543,7.025,6.77,3.249,0.919,0.75,0.185
2015,0.094,0.042,0.139,0.142,0.132,5.456,2.338,2.362,6.598,1.44,0.578,0.12
2016,0.076,0.046,0.079,0.093,0.096,2.619,8.048,3.156,5.521,2.403,0.145,0.12
2017,0.076,0.041,0.051,0.091,0.114,5.115,2.93,5.703,7.846,2.825,0.172,0.24
2018,0.076,0.057,0.052,0.102,0.07,5.145,4.874,3.242,1.861,0.89,0.36,0.171
2019,0.076,0.041,0.05,0.135,0.072,3.521,7.437,4.759,9.554,3.832,0.825,0.124
2020,0.076,0.041,0.065,0.104,0.112,9.224,7.509,7.181,8.704,4.807,0.192,0.18
2021,0.102,0.063,0.053,0.421,1.21,3.644,3.899,4.585,8.667,2.286,0.715,0.408
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
