Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.365,0.034,0.187,0.536,0.777,1.121,2.678,2.303,3.867,8.796,5.153,2.606
1982,0.084,0.043,0.1,0.242,0.304,1.842,2.732,1.443,2.451,6.723,9.829,0.506
1983,0.112,0.069,0.103,0.181,0.967,1.362,4.154,4.469,5.118,13.195,2.61,2.675
1984,0.17,0.144,0.192,0.274,0.133,0.836,3.28,0.433,4.876,3.791,9.408,1.229
1985,0.127,0.104,0.14,0.171,0.657,2.315,3.521,2.487,2.604,7.764,12.123,2.93
1986,0.099,0.056,0.096,0.233,0.588,1.226,1.393,2.524,2.449,12.602,7.05,1.408
1987,0.081,0.043,0.348,0.365,0.384,1.623,1.981,4.155,1.943,8.476,10.228,2.822
1988,0.117,0.044,0.097,0.924,1.231,0.847,3.852,4.403,3.911,2.209,4.739,2.131
1989,0.385,0.043,0.186,0.154,0.574,1.526,4.433,2.851,3.933,1.338,5.613,1.541
1990,0.088,0.055,0.345,1.173,1.706,1.23,2.584,2.865,3.808,9.274,4.907,1.054
1991,0.112,0.045,0.098,0.238,0.538,3.216,1.8,3.192,2.767,10.669,12.165,0.854
1992,0.074,0.044,0.096,0.18,0.467,0.586,2.632,2.568,2.328,4.774,12.787,1.123
1993,0.235,0.044,0.116,0.152,0.896,1.098,2.486,3.391,2.031,13.834,6.98,4.53
1994,0.072,0.09,0.102,0.387,1.158,0.941,4.394,4.255,1.068,17.456,7.034,1.056
1995,0.1,0.045,0.123,0.16,2.437,1.212,3.274,4.68,3.866,7.389,2.497,0.676
1996,0.081,0.045,0.183,0.482,0.784,3.077,2.087,3.247,2.384,14.319,3.974,6.574
1997,0.126,0.042,0.149,0.246,0.369,1.212,2.326,1.909,4.462,2.562,10.393,2.386
1998,0.138,0.047,0.096,0.254,0.374,1.056,3.607,5.333,3.377,14.743,8.368,2.021
1999,0.121,0.043,0.1,0.625,1.038,1.551,2.311,3.246,2.432,15.003,5.724,0.802
2000,0.071,0.124,0.097,0.24,1.735,3.125,2.719,5.497,2.165,6.628,3.349,1.711
2001,0.16,0.046,0.137,0.758,0.555,1.711,1.956,3.687,3.264,11.321,7.87,1.445
2002,0.152,0.093,0.144,0.219,1.753,1.811,1.859,2.661,2.015,19.968,5.56,0.792
2003,0.073,0.043,0.179,0.196,0.403,1.513,3.516,2.601,2.871,9.931,2.093,1.152
2004,0.112,0.043,0.193,0.403,1.506,1.26,2.816,1.456,4.102,7.124,4.837,0.587
2005,0.111,0.046,0.136,0.261,0.938,1.003,3.426,2.445,4.42,21.96,8.834,2.967
2006,0.117,0.07,0.423,0.828,1.639,1.803,1.746,2.108,3.768,11.436,9.474,0.896
2007,0.105,0.045,0.095,0.625,0.886,3.859,3.591,3.826,3.787,13.537,2.588,1.881
2008,0.074,0.11,0.324,0.283,0.59,1.37,3.12,3.796,2.474,9.521,14.203,0.737
2009,0.096,0.043,0.113,0.208,1.367,1.004,1.44,4.532,2.959,1.67,11.835,3.023
2010,0.105,0.044,0.173,0.374,1.317,2.784,4.547,5.455,5.211,14.391,9.996,4.345
2011,0.143,0.093,0.095,1.384,0.6,1.53,3.568,3.851,1.664,11.409,8.831,1.204
2012,0.243,0.054,0.095,0.323,0.332,1.222,3.226,2.895,3.813,10.19,5.994,3.318
2013,0.081,0.106,0.089,0.348,1.276,3.038,4.386,4.056,4.127,10.232,5.941,0.661
2014,0.082,0.047,0.079,0.199,0.526,1.133,2.734,3.178,2.231,7.692,4.568,2.403
2015,0.085,0.04,0.11,0.481,0.84,2.262,1.822,2.912,2.821,3.071,22.001,2.327
2016,0.101,0.071,0.105,0.126,2.204,3.235,2.042,2.702,2.234,2.149,1.032,3.369
2017,0.137,0.05,0.164,0.207,0.751,3.453,3.064,4.819,2.402,6.221,6.037,0.781
2018,0.12,0.08,0.383,0.208,0.615,2.276,2.802,4.409,2.281,3.014,3.755,2.497
2019,0.191,0.049,0.078,0.38,0.642,0.964,3.246,3.848,3.943,11.249,4.132,2.242
2020,0.323,0.043,0.097,1.306,0.532,2.405,3.968,4.187,5.016,12.421,16.513,3.421
2021,1.036,0.101,0.081,0.465,0.843,1.087,3.635,4.497,2.74,4.435,26.054,1.504
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
