Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,3.926,1.147,3.809,0.275,1.355,5.716,16.844,9.261,3.853,0.437,0.321,0.442
1982,3.546,1.975,3.118,1.007,3.384,3.989,16.835,13.735,1.989,0.672,0.252,0.785
1983,4.45,1.222,1.044,0.708,2.431,4.702,19.968,18.75,7.857,1.427,0.236,0.672
1984,1.159,1.924,1.021,0.402,0.642,5.57,19.464,16.935,7.056,0.497,0.194,0.652
1985,1.375,0.444,0.651,0.8,1.128,3.679,15.995,15.109,6.635,1.954,0.213,1.124
1986,1.105,1.356,2.003,0.701,2.039,5.029,13.62,11.073,4.209,1.305,0.379,0.55
1987,1.964,1.629,1.542,0.537,3.699,2.779,8.408,7.567,2.252,1.517,0.186,0.557
1988,1.218,1.508,1.96,0.66,1.088,6.676,15.546,17.363,11.945,0.522,0.228,1.08
1989,4.137,0.664,2.159,0.263,0.92,3.519,14.736,13.35,5.565,0.731,0.293,0.865
1990,1.251,2.913,1.925,0.447,1.865,3.856,18.997,15.186,9.5,0.594,0.316,1.22
1991,1.059,1.44,1.241,0.444,1.111,4.768,11.023,11.426,5.389,0.654,0.245,1.53
1992,2.289,1.601,1.903,0.31,1.092,3.172,12.103,13.542,5.081,0.82,0.533,0.397
1993,2.17,1.164,1.496,0.404,1.11,5.099,20.009,8.887,9.069,1.387,0.216,0.364
1994,1.956,1.256,0.421,0.539,1.52,6.537,15.541,16.438,3.262,0.411,0.435,0.41
1995,2.799,1.563,0.812,0.765,0.46,2.509,12.683,15.94,10.243,0.432,0.195,0.394
1996,2.465,2.547,1.55,0.275,1.018,9.991,16.836,15.261,5.343,0.827,0.174,0.382
1997,1.75,0.672,1.458,0.612,1.877,6.227,20.634,14.17,4.019,1.716,0.435,0.725
1998,0.549,0.365,0.609,0.317,0.406,0.807,3.9,3.934,2.001,0.458,0.17,0.298
1999,0.785,0.62,0.293,0.182,0.371,1.347,4.846,3.605,2.491,0.318,0.174,0.299
2000,0.593,0.368,0.474,0.298,0.639,1.635,5.417,2.704,1.598,0.315,0.141,0.31
2001,0.535,0.449,0.677,0.411,0.542,1.443,6.358,3.074,1.121,0.318,0.131,0.308
2002,0.561,0.829,0.604,0.365,0.598,1.072,2.706,3.945,1.649,0.433,0.135,0.309
2003,0.642,0.639,0.392,0.412,0.375,1.061,4.327,3.041,2.578,0.34,0.147,0.309
2004,0.764,0.343,0.278,0.428,0.39,1.372,3.614,3.766,1.432,0.694,0.158,0.368
2005,0.708,0.692,0.654,0.243,0.476,1.251,4.4,3.226,2.293,0.318,0.13,0.305
2006,0.974,0.466,0.664,0.257,0.54,1.215,4.508,3.471,1.3,0.545,0.132,0.32
2007,0.552,0.976,0.698,0.316,0.497,1.653,4.474,4.752,1.361,0.341,0.13,0.318
2008,0.857,0.329,0.367,0.402,0.537,2.315,4.561,3.886,1.412,0.467,0.177,0.531
2009,1.551,1.224,1.313,0.821,1.537,3.126,10.727,11.461,9.476,0.926,0.143,0.514
2010,1.258,2.006,0.487,0.42,0.988,4.952,19.723,18.477,16.612,0.706,0.246,1.185
2011,1.096,2.897,0.786,1.374,2.724,9.136,17.918,22.211,8.994,0.547,0.126,0.548
2012,1.499,0.586,0.82,2.041,0.549,1.875,16.828,26.646,11.405,0.507,0.161,0.813
2013,2.835,5.682,1.498,0.525,0.655,14.691,19.466,18.086,3.622,2.726,0.204,0.552
2014,2.97,2.508,2.328,1.205,1.474,2.429,12.549,10.958,5.897,1.807,0.147,0.949
2015,1.792,1.937,6.537,2.132,0.972,5.915,17.551,12.473,4.166,0.869,0.173,0.487
2016,1.125,0.857,2.113,0.494,2.632,5.984,15.448,12.245,3.39,0.683,0.131,0.448
2017,3.435,1.037,0.882,1.339,2.078,9.21,11.262,17.299,5.339,0.442,0.151,0.751
2018,1.235,1.576,0.631,0.874,1.114,8.604,19.631,21.182,12.31,0.889,0.287,0.737
2019,2.13,3.021,1.839,1.207,1.235,2.992,13.502,16.024,7.351,0.731,0.624,1.077
2020,3.363,1.141,3.648,1.705,2.656,3.94,13.837,14.031,2.957,0.441,0.408,0.75
2021,1.132,0.872,0.661,1.325,3.307,5.059,17.458,10.892,9.367,0.908,0.147,0.559
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
