Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.081,0.047,0.049,0.264,0.179,4.228,6.225,3.907,9.213,1.25,0.399,0.184
1982,0.049,0.047,0.047,0.198,0.314,3.794,3.815,3.504,4.188,0.537,1.199,0.135
1983,0.049,0.045,0.047,0.217,0.132,3.226,4.935,7.231,8.823,1.409,0.291,0.177
1984,0.049,0.057,0.05,0.269,0.122,4.557,5.258,3.413,5.943,3.746,0.339,0.147
1985,0.049,0.063,0.047,0.288,0.401,6.33,4.639,4.219,1.287,3.596,0.426,0.14
1986,0.049,0.045,0.047,0.203,0.593,5.607,3.098,4.344,2.161,0.207,0.882,0.195
1987,0.072,0.054,0.048,0.311,0.435,4.158,2.98,8.362,1.938,3.931,0.565,0.654
1988,0.049,0.046,0.055,0.27,0.232,3.762,8.992,4.931,11.761,1.312,0.297,0.182
1989,0.049,0.045,0.074,0.514,0.354,5.54,8.259,3.586,5.356,0.609,0.418,0.14
1990,0.049,0.047,0.049,0.193,1.67,6.938,3.959,8.795,0.906,4.667,0.778,0.165
1991,0.049,0.045,0.05,0.509,0.511,9.53,6.89,3.075,1.582,0.261,0.357,0.137
1992,0.049,0.045,0.047,0.222,0.137,3.562,4.875,7.163,5.573,1.476,0.397,0.14
1993,0.049,0.045,0.051,0.204,0.287,3.349,6.174,3.999,4.419,7.176,0.516,0.281
1994,0.054,0.045,0.047,0.332,1.16,6.863,4.957,2.848,2.687,1.975,0.673,0.14
1995,0.056,0.046,0.049,0.621,0.614,2.366,6.322,3.256,6.62,3.287,0.302,0.14
1996,0.049,0.044,0.047,0.203,0.31,4.951,8.365,4.547,6.099,3.725,0.361,0.138
1997,0.059,0.044,0.048,0.424,0.144,5.565,3.408,4.823,2.258,0.583,1.97,0.336
1998,0.044,0.044,0.047,0.188,0.482,6.223,6.043,6.76,6.932,5.958,1.677,0.14
1999,0.049,0.053,0.048,0.177,1.039,5.183,2.893,2.218,7.276,4.65,0.348,0.14
2000,0.049,0.043,0.046,0.208,1.285,6.052,5.299,7.27,3.276,2.354,0.309,0.257
2001,0.055,0.042,0.044,0.206,0.314,4.626,2.335,4.238,5.129,4.789,0.445,0.14
2002,0.049,0.042,0.048,0.354,0.779,6.014,0.815,5.668,1.29,1.349,0.254,0.16
2003,0.049,0.052,0.044,0.199,0.177,4.342,5.009,3.879,3.564,1.345,0.499,0.141
2004,0.049,0.042,0.044,0.175,2.382,5.002,4.366,5.655,5.573,0.832,0.813,0.142
2005,0.055,0.042,0.059,0.782,0.466,3.926,8.994,5.713,8.981,2.481,0.257,0.143
2006,0.049,0.042,0.083,0.165,1.577,5.69,8.191,11.029,6.089,2.741,0.982,0.142
2007,0.049,0.046,0.045,0.287,0.368,8.759,8.629,7.517,7.054,0.686,0.658,0.256
2008,0.049,0.042,0.08,0.294,0.29,3.028,3.728,8.456,9.399,1.165,0.444,0.68
2009,0.049,0.042,0.068,0.167,0.416,4.142,7.661,4.635,7.49,3.747,3.252,0.164
2010,0.053,0.042,0.062,0.34,0.452,6.651,8.956,10.732,6.243,5.04,3.562,0.14
2011,0.049,0.042,0.045,0.556,0.299,5.177,5.765,6.205,3.852,4.832,0.204,0.14
2012,0.049,0.042,0.044,0.348,0.262,2.378,4.063,3.82,4.39,4.634,0.487,0.14
2013,0.049,0.046,0.047,0.167,0.156,8.555,7.273,2.438,6.131,3.089,0.614,0.182
2014,0.049,0.046,0.054,0.275,0.862,1.519,8.678,7.516,2.794,2.293,0.936,0.289
2015,0.049,0.046,0.114,0.228,1.253,3.849,1.632,2.178,6.902,2.132,1.257,0.139
2016,0.049,0.048,0.104,0.157,0.389,3.789,9.648,2.316,7.779,1.559,0.345,0.139
2017,0.049,0.046,0.041,0.144,0.402,5.509,2.923,5.591,9.414,4.395,0.279,0.367
2018,0.049,0.064,0.063,0.297,0.388,5.005,3.854,3.5,1.938,2.003,0.63,0.144
2019,0.049,0.046,0.039,0.26,0.107,4.588,9.244,2.997,9.107,6.371,1.575,0.159
2020,0.049,0.046,0.091,0.317,0.594,7.746,7.385,4.797,8.219,6.783,0.227,0.298
2021,0.147,0.051,0.052,0.72,2.624,4.011,7.321,3.699,4.995,3.073,1.557,1.081
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
