Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.034,0.031,0.055,0.034,0.052,1.787,8.394,6.756,4.066,0.35,0.697,0.035
1982,0.031,0.03,0.033,0.035,0.231,0.333,6.16,1.658,0.334,0.149,0.571,0.036
1983,0.031,0.033,0.033,0.039,0.042,4.333,8.255,8.483,2.515,0.446,0.123,0.035
1984,0.031,0.03,0.033,0.033,0.066,1.528,9.645,4.87,5.55,0.109,0.123,0.035
1985,0.031,0.03,0.034,0.036,0.053,0.228,6.231,4.352,0.195,0.295,0.115,0.038
1986,0.031,0.032,0.033,0.033,0.247,5.003,2.389,6.174,0.215,0.118,0.204,0.038
1987,0.031,0.03,0.049,0.035,0.044,1.299,0.883,3.2,0.158,0.118,0.126,0.038
1988,0.034,0.03,0.033,0.034,0.041,1.088,16.794,4.408,4.434,0.164,0.125,0.035
1989,0.034,0.03,0.033,0.033,0.04,3.953,9.722,2.693,0.981,0.109,0.125,0.035
1990,0.031,0.034,0.033,0.033,0.591,0.796,3.428,10.343,2.003,0.147,0.153,0.035
1991,0.031,0.03,0.033,0.033,0.04,0.805,7.895,0.344,0.277,0.109,0.12,0.035
1992,0.031,0.03,0.033,0.033,0.042,1.518,10.761,4.261,2.619,0.198,0.263,0.035
1993,0.037,0.03,0.033,0.035,0.061,0.924,9.712,0.326,2.628,0.43,0.204,0.035
1994,0.039,0.03,0.033,0.035,0.04,2.306,12.72,4.979,6.327,0.116,0.125,0.035
1995,0.031,0.03,0.034,0.033,0.04,0.85,9.651,1.23,1.51,0.181,0.143,0.036
1996,0.033,0.031,0.033,0.035,0.04,4.678,12.029,2.765,0.657,0.265,0.122,0.035
1997,0.035,0.03,0.041,0.034,0.044,6.034,5.234,3.483,4.443,0.129,0.129,0.039
1998,0.031,0.03,0.033,0.033,0.04,4.343,10.738,5.204,3.021,1.471,0.208,0.036
1999,0.034,0.059,0.035,0.035,0.119,4.636,4.303,0.662,1.224,1.951,0.123,0.036
2000,0.031,0.03,0.033,0.031,0.077,1.104,11.293,3.489,0.544,0.175,0.101,0.035
2001,0.031,0.03,0.033,0.045,0.532,4.4,5.818,4.647,0.495,0.32,0.093,0.035
2002,0.031,0.029,0.037,0.031,0.041,5.165,0.243,3.32,0.702,0.103,0.114,0.036
2003,0.031,0.031,0.033,0.031,0.041,2.933,12.467,6.246,0.784,0.139,0.106,0.035
2004,0.031,0.029,0.033,0.031,0.057,3.608,4.672,9.516,2.108,0.237,0.114,0.035
2005,0.031,0.029,0.033,0.031,0.128,4.467,5.564,3.163,8.467,0.154,0.105,0.035
2006,0.031,0.033,0.04,0.031,0.245,3.68,11.321,8.858,4.581,0.125,0.107,0.035
2007,0.031,0.033,0.033,0.031,0.066,6.544,9.552,17.401,4.95,0.141,0.372,0.035
2008,0.031,0.035,0.04,0.032,0.041,2.757,6.478,5.205,7.477,0.225,0.199,0.04
2009,0.031,0.03,0.033,0.031,0.041,1.866,13.964,6.03,0.254,0.132,0.132,0.035
2010,0.031,0.03,0.033,0.031,0.041,3.757,13.747,17.266,6.965,0.233,0.798,0.035
2011,0.031,0.03,0.033,0.031,0.041,0.53,8.861,11.329,6.162,0.104,0.157,0.035
2012,0.031,0.029,0.033,0.032,0.041,0.892,3.307,1.803,8.733,0.103,0.105,0.035
2013,0.031,0.032,0.034,0.034,0.121,4.515,7.829,3.206,6.498,0.348,0.121,0.035
2014,0.031,0.031,0.035,0.032,0.038,0.588,11.132,5.215,4.054,0.156,0.24,0.035
2015,0.031,0.033,0.039,0.031,0.048,5.516,13.799,0.474,3.158,0.111,0.125,0.035
2016,0.031,0.046,0.036,0.031,0.049,1.642,5.987,6.76,0.95,1.069,0.121,0.035
2017,0.031,0.031,0.034,0.031,0.036,3.613,17.872,6.065,1.986,0.113,0.121,0.041
2018,0.031,0.055,0.035,0.032,0.036,0.941,7.731,4.184,0.443,0.111,0.145,0.035
2019,0.031,0.032,0.035,0.032,0.039,2.463,6.36,11.171,10.156,0.786,0.515,0.035
2020,0.031,0.031,0.041,0.031,0.037,5.197,7.774,18.461,4.787,0.583,0.122,0.038
2021,0.031,0.031,0.035,0.041,0.143,3.14,6.265,0.952,14.272,0.29,0.673,0.048
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
