Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,1.305,1.07,1.156,0.889,2.245,2.867,15.294,6.566,7.594,0.536,0.276,0.156
1982,0.63,0.945,1.508,1.076,0.628,7.084,6.447,8.304,5.018,0.911,0.284,0.094
1983,0.54,1.056,0.824,1.093,1.26,4.053,11.486,6.471,9.044,3.48,0.272,0.143
1984,0.98,0.525,0.38,0.465,1.28,12.349,13.696,15.699,4.814,2.715,0.237,0.079
1985,0.87,0.747,0.51,0.407,0.676,5.935,16.347,11.529,9.195,6.723,0.244,0.107
1986,0.565,1.036,0.397,0.776,1.144,7.336,12.31,8.169,7.931,1.431,0.374,0.135
1987,0.429,0.685,0.982,0.646,0.535,4.843,16.536,17.713,14.735,1.164,0.375,0.103
1988,0.436,1.461,2.661,0.606,1.111,9.716,9.16,13.239,8.16,1.221,0.239,0.097
1989,0.532,0.548,0.513,0.316,1.026,8.531,11.645,11.996,6.551,1.584,0.401,0.12
1990,0.399,1.27,0.946,0.561,1.65,11.373,18.218,6.336,8.583,2.77,0.26,0.083
1991,0.938,0.8,1.19,0.513,1.336,6.445,7.14,10.592,11.555,1.121,0.28,0.15
1992,0.639,0.911,0.432,0.727,0.815,4.895,8.611,6.061,4.514,1.047,0.247,0.082
1993,0.612,0.435,0.925,0.615,0.86,7.039,6.202,9.514,13.746,3.059,0.291,0.09
1994,0.814,1.16,0.619,0.649,1.24,9.154,12.733,11.148,6.04,3.56,0.248,0.083
1995,0.852,0.998,0.734,0.374,0.758,4.422,9.972,7.771,11.026,2.444,0.313,0.082
1996,0.859,1.25,0.394,0.374,0.704,8.417,8.891,13.103,5.7,1.177,0.243,0.081
1997,0.778,0.485,0.457,0.67,1.491,3.583,15.201,15.66,6.952,1.895,0.296,0.193
1998,0.689,0.829,1.787,0.685,1.881,4.704,11.384,9.549,7.512,6.148,0.29,0.085
1999,0.401,0.556,0.395,0.293,1.578,7.616,11.82,12.758,5.131,4.465,0.243,0.086
2000,0.482,0.887,0.375,0.553,1.28,7.956,9.016,7.187,7.136,0.9,0.238,0.06
2001,0.409,0.5,1.502,0.579,1.119,8.254,10.807,10.057,4.441,4.539,0.133,0.074
2002,1.02,0.489,0.86,0.425,0.804,6.295,8.544,10.617,9.107,2.346,0.161,0.071
2003,0.579,1.05,1.381,0.907,0.884,6.004,9.46,8.47,8.998,8.18,0.246,0.115
2004,0.637,0.441,0.498,1.522,1.347,8.499,8.416,14.955,5.952,2.764,0.139,0.066
2005,1.143,1.515,0.823,0.499,0.509,4.724,11.402,6.817,4.386,1.465,0.183,0.078
2006,0.38,0.43,1.113,0.862,3.002,11.959,15.522,9.776,9.82,1.705,0.213,0.061
2007,0.373,2.461,0.829,0.866,1.182,5.107,17.309,12.312,11.715,1.285,0.232,0.078
2008,1.215,0.574,0.753,0.637,1.161,13.112,14.069,11.216,5.506,1.674,0.144,0.065
2009,0.509,0.42,0.736,0.304,2.803,3.421,9.134,10.9,9.469,2.377,0.401,0.085
2010,0.378,0.765,0.531,0.513,1.185,4.043,7.162,6.63,8.493,3.136,0.256,0.081
2011,0.557,0.418,0.526,2.175,1.821,8.911,6.838,13.563,12.193,1.828,0.149,0.061
2012,1.699,0.669,0.817,1.121,0.694,5.662,11.604,11.397,8.789,1.139,0.464,0.096
2013,0.311,0.811,0.482,1.115,2.435,8.207,8.466,9.729,10.154,11.057,0.158,0.069
2014,0.326,1.099,0.834,0.475,0.914,5.926,10.323,12.157,6.582,3.678,0.158,0.071
2015,0.577,0.402,0.709,1.256,1.372,6.145,19.503,8.722,3.698,1.213,0.156,0.093
2016,0.492,0.664,0.798,0.294,1.715,5.148,12.378,13.898,15.18,1.828,0.156,0.069
2017,0.477,0.611,0.364,0.395,1.514,6.723,26.051,10.938,9.202,4.175,0.179,0.075
2018,0.315,0.655,0.328,1.645,2.415,5.102,12.1,10.957,7.243,1.159,0.207,0.181
2019,0.387,1.338,1.26,1.087,1.133,5.874,9.559,10.171,8.047,2.507,0.172,0.255
2020,1.355,0.67,3.459,1.909,1.691,9.297,15.709,10.033,9.407,3.551,0.243,0.073
2021,0.366,0.389,0.665,0.697,6.374,11.976,15.628,11.035,10.256,3.816,0.742,0.4
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
