Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,1.087,0.879,1.046,0.753,3.131,3.589,11.364,8.831,7.448,0.332,0.151,0.1
1982,0.594,0.909,1.659,1.071,0.756,8.655,5.996,14.84,4.626,0.394,0.234,0.046
1983,0.329,1.182,0.663,1.123,1.474,4.001,9.706,12.316,11.964,2.282,0.157,0.113
1984,0.719,0.659,0.372,0.56,1.386,13.03,11.656,17.611,4.569,3.302,0.198,0.044
1985,0.665,1.028,0.482,0.438,1.157,5.686,13.364,14.605,10.707,5.193,0.178,0.057
1986,0.795,0.802,0.562,1.107,1.661,8.742,14.268,8.374,5.201,1.118,1.029,0.064
1987,0.385,0.484,0.647,0.487,1.404,4.002,12.066,12.739,5.558,1.339,1.215,0.066
1988,0.364,1.92,1.165,0.701,1.614,9.332,10.49,10.866,8.859,1.555,0.187,0.058
1989,0.339,0.4,0.538,0.323,2.385,11.379,14.367,13.529,6.788,1.008,0.205,0.057
1990,0.323,1.161,1.044,1.285,2.584,9.443,13.4,8.838,8.464,4.326,0.592,0.066
1991,0.961,0.476,0.684,0.558,0.922,6.471,10.797,15.483,8.229,2.222,0.58,0.075
1992,0.596,0.904,0.377,0.879,1.957,4.855,9.752,6.615,3.654,0.852,0.164,0.056
1993,0.361,0.368,0.433,0.771,1.132,6.204,10.78,10.808,9.536,1.829,0.279,0.097
1994,0.492,1.046,0.706,0.696,1.478,8.951,17.336,14.396,5.739,2.011,0.201,0.061
1995,0.788,0.717,0.626,0.339,1.829,3.813,10.886,7.59,7.891,1.928,0.988,0.056
1996,0.513,0.676,0.41,0.551,0.858,8.126,9.14,12.059,3.401,1.35,0.195,0.071
1997,0.838,0.457,0.698,1.322,1.369,5.668,10.878,15.141,5.603,0.625,0.281,0.123
1998,0.662,0.921,1.689,1.65,1.934,4.774,9.926,7.792,8.659,3.982,0.552,0.057
1999,0.328,0.439,0.393,0.309,2.883,7.647,11.566,13.79,8.339,3.021,0.271,0.057
2000,0.401,0.781,0.353,0.589,1.526,7.583,8.242,6.965,5.314,0.695,0.151,0.038
2001,0.302,0.479,1.205,0.508,1.948,6.693,16.74,12.345,4.217,3.672,0.301,0.058
2002,1.064,0.613,0.735,0.479,1.517,6.087,7.385,10.299,7.735,1.408,0.286,0.043
2003,0.435,0.739,0.864,0.92,1.037,7.586,10.825,10.047,8.96,7.52,0.272,0.135
2004,0.52,0.392,0.591,1.655,1.619,6.46,10.455,14.664,6.644,2.831,0.118,0.04
2005,1.005,0.856,0.621,0.832,0.873,6.811,12.501,7.896,6.867,3.263,0.151,0.047
2006,0.312,0.363,0.938,1.354,3.391,9.232,15.843,12.804,9.749,2.242,0.412,0.037
2007,0.351,2.069,0.61,0.88,1.145,6.739,15.318,15.04,13.124,2.586,0.682,0.053
2008,0.878,0.713,0.578,0.711,1.53,14.03,13.107,11.906,8.909,1.779,0.107,0.038
2009,0.352,0.355,0.436,0.311,2.172,3.978,14.281,11.237,6.194,2.397,0.46,0.045
2010,0.355,0.588,0.409,0.332,1.406,5.708,7.963,8.535,8.51,2.906,0.201,0.119
2011,0.439,0.613,0.423,1.488,2.768,9.813,9.242,12.715,16.533,1.183,0.099,0.038
2012,1.558,0.5,0.413,1.167,0.659,5.488,12.927,12.023,7.979,2.541,0.957,0.062
2013,0.328,0.654,0.418,1.136,2.228,8.243,11.319,11.701,12.218,7.895,0.138,0.043
2014,0.277,0.951,1.093,0.434,1.713,7.183,12.057,12.84,6.269,1.913,0.136,0.041
2015,0.305,0.449,0.605,1.617,1.366,6.135,16.514,10.54,4.486,0.831,0.171,0.071
2016,0.297,0.911,1.085,0.453,1.534,5.71,9.073,14.913,10.665,1.857,0.209,0.055
2017,0.283,0.591,0.708,0.381,1.81,6.083,17.741,11.775,9.099,4.264,0.477,0.049
2018,0.274,0.876,0.388,2.024,3.074,5.834,14.018,14.371,11.537,2.611,0.171,0.117
2019,0.304,1.764,1.162,1.431,3.056,7.548,8.018,12.253,9.505,3.084,0.35,0.084
2020,0.928,1.135,2.474,2.143,2.722,8.367,11.311,16.935,6.609,3.794,0.244,0.042
2021,0.343,0.469,0.786,0.802,5.11,6.185,12.057,9.277,11.052,3.773,0.583,0.467
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
