Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.289,0.094,0.547,0.831,1.626,4.315,6.823,7.014,6.631,2.695,0.479,0.315
1982,0.151,0.24,0.386,1.281,0.759,3.782,5.561,6.796,7.173,6.863,1.397,0.083
1983,0.182,0.387,0.275,0.216,1.179,5.369,8.108,6.077,5.544,7.215,0.269,0.116
1984,0.27,0.505,0.253,0.368,1.251,3.918,10.087,4.292,5.125,4.767,0.56,0.382
1985,0.406,0.235,0.251,0.311,0.845,5.474,6.745,8.041,9.687,13.041,0.431,0.101
1986,0.281,0.475,0.24,0.575,1.627,4.698,4.835,10.306,6.011,7.119,6.0,0.113
1987,0.22,0.229,0.291,0.717,1.352,2.434,5.063,5.338,3.547,8.754,4.61,0.135
1988,0.182,0.588,0.216,0.611,2.152,4.393,10.107,5.433,10.434,1.927,0.682,0.089
1989,0.15,0.229,0.633,0.233,2.041,6.337,9.638,6.596,5.546,0.949,0.339,0.096
1990,0.151,0.326,1.45,0.491,4.411,4.888,6.77,10.232,6.339,10.187,2.126,0.164
1991,0.23,0.23,0.353,0.334,1.416,5.694,8.622,4.973,5.349,6.199,3.588,0.101
1992,0.2,0.241,0.211,0.307,1.957,4.207,11.972,7.531,7.211,5.574,6.491,0.085
1993,0.181,0.229,0.269,0.875,1.93,3.467,5.965,6.468,8.837,6.431,0.315,0.123
1994,0.15,0.253,0.191,0.897,1.34,3.322,7.884,9.123,8.97,6.44,0.424,0.109
1995,0.192,0.233,0.513,0.346,2.188,2.697,7.497,4.881,8.594,17.488,4.595,0.084
1996,0.152,0.235,0.217,0.814,0.904,6.911,4.014,5.779,3.039,6.586,0.886,0.385
1997,0.199,0.543,0.889,0.791,1.047,2.752,7.809,8.181,9.036,1.755,0.533,0.465
1998,0.179,0.364,0.34,0.763,1.094,4.71,6.742,5.601,8.465,13.685,3.21,0.094
1999,0.145,0.229,0.193,0.148,2.823,6.544,5.802,6.171,7.549,10.881,0.793,0.081
2000,0.15,0.319,0.176,0.537,1.507,6.089,6.03,6.601,3.789,5.793,0.424,0.083
2001,0.156,0.252,0.536,0.497,1.985,5.227,7.083,8.434,6.38,6.536,3.651,0.139
2002,0.222,0.272,0.213,1.093,1.368,3.877,6.836,8.418,5.107,5.996,1.409,0.24
2003,0.348,0.418,0.761,0.43,1.067,3.342,8.594,6.542,8.067,20.64,0.24,0.233
2004,0.171,0.255,0.23,1.417,1.506,5.321,9.059,6.335,6.505,7.18,0.351,0.083
2005,0.255,0.438,0.41,1.036,1.171,3.367,7.097,4.458,19.903,17.623,1.581,0.103
2006,0.16,0.23,0.491,1.129,2.377,5.211,8.8,12.356,9.777,4.391,2.825,0.086
2007,0.14,0.351,0.227,0.41,1.671,9.07,4.983,7.086,11.933,5.782,0.257,0.119
2008,0.242,0.43,1.69,0.255,1.45,6.674,7.422,7.334,10.224,2.882,0.786,0.083
2009,0.137,0.23,0.588,0.361,1.775,2.832,10.59,5.432,6.061,5.581,2.415,0.214
2010,0.174,0.358,0.577,0.315,4.028,5.998,7.443,7.763,7.339,12.54,6.5,1.445
2011,0.148,0.27,0.183,1.075,2.383,3.496,7.373,6.967,5.821,0.765,0.24,0.084
2012,0.278,0.232,0.2,1.028,1.072,4.422,9.493,7.149,9.05,4.278,4.56,0.084
2013,0.158,0.305,0.184,0.85,1.416,6.394,6.547,5.232,7.359,21.787,1.474,0.223
2014,0.148,0.288,0.335,0.377,3.671,4.48,10.169,7.385,8.866,7.403,0.871,0.094
2015,0.146,0.485,0.441,0.717,0.768,8.621,6.459,4.696,9.819,3.351,2.445,0.099
2016,0.141,0.341,0.535,0.475,2.399,5.413,9.363,8.0,7.204,4.284,1.175,0.075
2017,0.141,0.285,0.617,0.199,1.906,6.974,10.727,7.707,6.034,7.476,1.746,0.258
2018,0.141,0.463,0.259,1.06,3.113,5.142,8.568,11.832,6.719,5.07,0.353,0.452
2019,0.143,0.288,0.561,0.485,2.378,4.566,4.976,9.511,11.33,12.136,0.498,0.1
2020,0.261,0.874,0.849,1.698,2.128,5.424,5.284,7.835,4.528,12.615,1.49,0.073
2021,0.141,0.294,0.228,1.351,2.706,4.811,6.042,4.762,15.295,7.202,6.006,0.61
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
