Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.066,0.057,0.06,0.081,0.127,6.117,18.909,11.114,14.061,1.17,0.373,0.062
1982,0.051,0.059,0.043,0.068,0.186,1.812,17.851,5.585,1.531,0.323,0.529,0.059
1983,0.051,0.06,0.043,0.08,0.09,8.092,23.422,16.976,10.476,1.488,0.175,0.06
1984,0.05,0.061,0.043,0.068,0.079,9.517,20.865,8.909,4.668,0.946,0.21,0.061
1985,0.05,0.058,0.045,0.078,0.238,1.801,16.129,8.473,0.369,2.905,0.178,0.067
1986,0.057,0.069,0.045,0.078,0.131,15.169,7.772,8.751,0.428,0.216,0.231,0.07
1987,0.058,0.069,0.054,0.078,0.107,5.573,6.4,10.003,0.533,0.631,0.213,0.079
1988,0.057,0.058,0.044,0.08,0.105,7.535,22.995,7.706,13.711,1.391,0.212,0.062
1989,0.064,0.069,0.045,0.071,0.094,8.468,13.873,8.131,3.796,0.435,0.197,0.062
1990,0.05,0.06,0.045,0.071,0.637,4.029,7.577,20.882,5.403,0.981,0.324,0.062
1991,0.057,0.058,0.044,0.073,0.106,5.772,19.578,3.523,0.399,0.216,0.185,0.062
1992,0.051,0.059,0.043,0.071,0.093,7.552,14.178,7.289,7.42,0.901,0.207,0.062
1993,0.05,0.058,0.043,0.07,0.098,7.297,23.949,4.983,11.226,2.03,0.275,0.062
1994,0.064,0.058,0.045,0.08,0.109,12.171,23.109,13.792,11.317,1.023,0.203,0.062
1995,0.066,0.058,0.044,0.071,0.088,2.307,19.338,2.799,5.971,0.888,0.191,0.063
1996,0.059,0.058,0.043,0.07,0.084,9.741,26.072,7.573,3.551,2.172,0.194,0.062
1997,0.059,0.058,0.054,0.071,0.134,12.169,8.604,10.829,1.362,0.29,0.332,0.077
1998,0.05,0.058,0.043,0.079,0.092,7.964,19.015,12.873,9.374,4.148,0.521,0.062
1999,0.058,0.07,0.045,0.079,0.115,12.92,11.832,2.793,4.87,4.495,0.216,0.062
2000,0.05,0.054,0.039,0.066,0.619,6.834,23.004,8.381,1.005,0.579,0.144,0.071
2001,0.048,0.052,0.04,0.067,0.132,13.446,12.041,10.19,2.453,2.237,0.145,0.057
2002,0.047,0.052,0.074,0.066,0.074,14.418,2.538,13.867,3.895,0.191,0.15,0.061
2003,0.047,0.086,0.039,0.066,0.07,13.657,19.132,11.775,5.403,0.353,0.14,0.058
2004,0.047,0.052,0.04,0.066,0.13,12.164,20.028,21.456,4.397,0.518,0.186,0.057
2005,0.049,0.052,0.039,0.067,0.069,18.795,18.454,6.978,14.979,0.405,0.221,0.061
2006,0.047,0.052,0.071,0.064,0.514,11.207,24.989,18.762,8.133,1.944,0.249,0.057
2007,0.05,0.077,0.039,0.066,0.078,11.567,22.436,20.482,10.137,0.223,0.362,0.055
2008,0.047,0.057,0.039,0.064,0.069,4.841,15.684,12.515,14.456,0.603,0.17,0.073
2009,0.047,0.053,0.039,0.068,0.075,1.683,29.136,7.246,4.633,2.077,0.868,0.059
2010,0.057,0.077,0.039,0.07,0.071,7.013,21.37,20.679,11.137,1.345,1.028,0.056
2011,0.047,0.053,0.039,0.064,0.068,3.948,26.335,20.75,6.217,0.897,0.198,0.055
2012,0.047,0.053,0.039,0.064,0.081,4.398,14.7,11.156,11.965,1.459,0.272,0.055
2013,0.049,0.053,0.045,0.098,0.054,20.631,26.17,9.027,10.883,1.553,0.154,0.056
2014,0.051,0.056,0.042,0.067,0.081,0.66,32.404,10.337,4.29,0.493,0.408,0.063
2015,0.054,0.053,0.046,0.069,0.054,17.575,12.142,2.035,9.091,0.452,0.162,0.055
2016,0.049,0.078,0.063,0.067,0.059,4.53,23.71,6.138,6.753,3.137,0.143,0.055
2017,0.049,0.054,0.042,0.067,0.072,12.12,18.6,12.185,7.295,1.923,0.146,0.122
2018,0.049,0.091,0.041,0.067,0.056,7.931,26.522,7.099,2.16,0.273,0.183,0.061
2019,0.049,0.054,0.041,0.066,0.057,6.524,28.8,10.645,19.059,1.376,0.814,0.058
2020,0.049,0.055,0.06,0.066,0.058,13.877,22.825,26.003,9.914,1.316,0.176,0.194
2021,0.051,0.064,0.041,0.08,0.27,7.279,14.734,5.749,18.134,1.436,0.361,0.28
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
