Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.558,0.322,0.235,1.6,2.284,1.287,0.424,0.744,3.017,3.396,4.909,1.156
1982,0.111,0.214,0.162,1.482,2.043,1.247,0.272,0.564,1.343,1.757,5.753,1.516
1983,0.122,0.199,0.105,0.976,0.771,1.299,0.233,0.799,1.595,1.808,2.483,4.182
1984,1.246,3.267,1.055,3.442,0.687,2.327,0.336,0.136,1.128,2.097,6.698,1.548
1985,0.845,1.319,0.414,1.105,1.831,2.078,0.21,0.554,1.898,2.554,10.522,1.731
1986,0.25,0.779,0.584,1.101,1.607,0.951,0.267,0.623,0.774,2.723,3.356,1.198
1987,0.261,0.238,0.17,0.608,1.015,1.994,0.174,0.647,2.761,7.288,1.778,2.093
1988,0.133,0.294,0.91,3.168,0.573,2.027,0.457,0.633,4.105,0.603,5.552,0.881
1989,0.592,0.304,0.278,1.349,1.309,1.414,0.487,0.438,1.782,1.987,5.649,1.076
1990,1.006,0.501,0.271,0.394,2.007,1.339,0.391,0.452,0.633,7.687,5.131,1.614
1991,0.304,0.411,0.577,0.987,0.731,3.062,0.418,0.49,0.517,3.847,1.492,0.732
1992,0.186,0.246,0.091,0.827,1.956,1.854,0.401,0.563,2.136,2.665,10.688,2.071
1993,0.336,0.355,0.172,0.706,1.073,1.38,0.399,0.489,1.379,4.664,9.403,3.488
1994,0.277,1.024,0.324,1.173,1.33,1.387,0.361,0.475,1.414,4.207,7.225,0.792
1995,0.282,0.668,0.113,2.57,2.347,1.401,0.427,0.344,1.31,3.641,4.326,0.407
1996,0.277,0.617,0.199,2.32,0.425,2.444,0.324,0.595,2.454,4.895,4.745,2.787
1997,0.148,0.261,0.341,1.443,1.37,1.706,0.353,0.459,1.254,5.46,12.015,2.283
1998,0.557,0.265,0.132,0.609,2.231,1.289,0.426,0.755,1.866,1.679,8.089,5.019
1999,0.468,1.138,0.244,1.394,1.144,0.823,0.282,0.328,1.116,3.826,5.775,0.855
2000,0.619,1.965,0.257,1.104,0.595,1.405,0.326,1.383,2.759,1.774,6.673,1.649
2001,0.635,0.729,0.117,3.277,1.077,1.757,0.34,0.628,1.386,2.531,4.779,1.221
2002,0.314,0.607,0.281,1.353,1.383,0.958,0.178,0.406,0.615,6.163,9.557,1.123
2003,0.244,0.927,0.778,2.546,1.552,0.852,0.28,0.621,0.814,3.369,9.082,0.387
2004,0.102,0.45,0.336,1.389,3.178,0.985,0.342,0.378,3.017,5.165,7.302,1.001
2005,0.361,0.354,0.658,4.054,1.29,1.491,0.388,0.484,1.404,2.684,11.217,2.082
2006,0.721,0.54,1.84,1.023,0.535,1.21,0.344,0.322,2.542,8.151,14.427,1.481
2007,0.261,0.225,0.164,2.347,1.062,3.094,0.463,0.792,1.756,3.907,2.955,2.585
2008,0.117,1.677,2.933,2.199,0.339,1.002,0.3,0.672,0.469,5.484,8.992,2.43
2009,0.293,0.16,1.028,2.177,1.085,0.71,0.419,0.67,1.155,1.999,13.935,1.569
2010,0.294,0.306,0.194,1.3,1.396,2.118,0.508,0.663,4.085,3.042,11.15,4.232
2011,0.503,0.976,0.104,3.373,0.388,1.194,0.396,0.508,1.286,4.516,9.461,1.503
2012,0.202,0.543,0.687,2.761,0.376,1.507,0.25,0.459,1.268,7.31,8.119,2.673
2013,0.464,1.542,0.896,0.515,1.216,2.548,0.351,0.846,2.201,2.051,4.893,1.672
2014,0.55,0.268,0.208,1.114,1.747,0.524,0.179,1.204,1.617,5.36,7.761,2.711
2015,0.091,0.537,0.567,3.627,3.333,1.173,0.142,0.395,3.177,3.895,9.644,4.524
2016,0.127,0.979,0.177,0.453,3.222,2.211,0.247,0.253,0.394,0.616,4.939,0.647
2017,0.627,0.442,0.695,0.328,1.535,1.782,0.259,0.94,3.163,2.751,8.398,1.364
2018,0.211,0.329,0.684,1.302,2.441,1.245,0.411,1.374,1.86,5.506,7.405,1.031
2019,0.141,0.475,0.19,1.343,0.717,1.578,0.286,0.926,4.217,11.471,6.346,3.377
2020,0.165,0.264,0.149,0.98,2.121,2.002,0.527,0.909,3.278,1.036,5.08,3.603
2021,1.784,0.301,0.664,1.697,3.447,1.615,0.408,1.117,1.938,6.114,13.261,0.855
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
