Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.049,0.02,0.09,0.066,0.088,2.93,15.226,7.992,5.637,0.368,0.295,0.066
1982,0.055,0.022,0.053,0.067,0.231,0.333,7.848,4.225,0.696,0.254,0.384,0.065
1983,0.059,0.022,0.052,0.095,0.076,6.129,14.269,10.504,8.291,1.092,0.124,0.064
1984,0.042,0.022,0.052,0.06,0.043,1.444,7.521,11.065,2.67,0.274,0.126,0.065
1985,0.042,0.022,0.058,0.064,0.078,0.577,8.028,6.472,0.904,1.415,0.122,0.063
1986,0.042,0.022,0.052,0.059,0.122,6.456,7.146,8.466,0.281,0.135,0.125,0.063
1987,0.042,0.026,0.065,0.068,0.094,1.706,1.142,8.838,0.253,0.27,0.131,0.081
1988,0.042,0.022,0.052,0.113,0.066,2.523,16.27,7.54,9.304,0.686,0.127,0.064
1989,0.047,0.022,0.052,0.06,0.073,5.296,10.606,8.536,3.77,0.113,0.122,0.064
1990,0.042,0.026,0.052,0.06,0.726,2.058,4.993,16.883,7.966,0.307,0.143,0.074
1991,0.042,0.022,0.052,0.06,0.066,1.442,16.069,1.144,0.455,0.115,0.123,0.064
1992,0.042,0.022,0.052,0.06,0.153,2.442,8.025,7.723,5.771,0.453,0.182,0.064
1993,0.042,0.022,0.053,0.06,0.068,1.992,19.655,3.256,5.775,0.466,0.204,0.064
1994,0.046,0.022,0.052,0.059,0.074,4.499,17.62,9.774,9.124,0.212,0.122,0.064
1995,0.042,0.022,0.053,0.067,0.079,1.544,16.157,1.197,2.699,0.205,0.14,0.083
1996,0.042,0.022,0.052,0.06,0.074,4.826,19.713,7.004,6.166,0.707,0.128,0.064
1997,0.046,0.022,0.058,0.102,0.26,12.072,9.61,10.624,1.768,0.15,0.159,0.07
1998,0.042,0.023,0.052,0.06,0.074,2.497,13.453,7.268,10.179,1.16,0.266,0.065
1999,0.042,0.036,0.052,0.059,0.132,4.93,11.714,2.251,2.573,2.709,0.115,0.065
2000,0.042,0.021,0.051,0.054,0.084,2.506,17.892,5.214,0.594,0.14,0.112,0.066
2001,0.042,0.021,0.051,0.085,0.101,6.617,7.401,6.26,0.349,0.926,0.111,0.062
2002,0.042,0.02,0.074,0.054,0.052,6.223,1.089,8.453,3.171,0.105,0.115,0.063
2003,0.042,0.023,0.051,0.06,0.09,5.029,17.125,8.227,5.76,0.147,0.113,0.062
2004,0.042,0.02,0.051,0.054,0.094,3.406,15.861,19.747,3.707,0.485,0.131,0.062
2005,0.042,0.02,0.05,0.067,0.059,7.23,15.369,3.964,16.798,0.137,0.148,0.062
2006,0.042,0.02,0.087,0.055,0.348,4.868,18.067,19.468,7.202,0.4,0.141,0.062
2007,0.042,0.025,0.051,0.054,0.07,4.788,18.671,13.183,8.989,0.123,0.149,0.062
2008,0.042,0.02,0.051,0.086,0.054,1.489,10.511,9.385,10.536,0.162,0.107,0.063
2009,0.041,0.02,0.053,0.061,0.064,0.749,19.689,5.692,1.445,0.766,0.164,0.064
2010,0.045,0.023,0.051,0.068,0.056,1.818,16.82,15.418,9.889,0.227,0.559,0.07
2011,0.042,0.02,0.051,0.054,0.051,1.193,18.065,14.427,4.942,0.108,0.141,0.062
2012,0.042,0.02,0.051,0.07,0.059,0.855,11.383,7.475,13.437,0.279,0.118,0.062
2013,0.042,0.021,0.053,0.113,0.051,5.957,21.053,8.872,7.754,1.211,0.123,0.063
2014,0.058,0.021,0.052,0.114,0.121,0.162,14.425,6.991,8.255,0.188,0.172,0.063
2015,0.046,0.021,0.078,0.076,0.059,5.43,15.025,1.025,5.478,0.12,0.123,0.062
2016,0.042,0.023,0.064,0.055,0.063,3.09,20.772,11.24,4.509,2.763,0.123,0.062
2017,0.042,0.021,0.053,0.055,0.11,4.61,22.661,7.848,4.708,0.298,0.123,0.13
2018,0.042,0.032,0.052,0.055,0.048,2.119,17.552,5.967,2.75,0.127,0.124,0.062
2019,0.042,0.02,0.052,0.07,0.049,3.508,11.423,16.604,17.26,0.898,0.292,0.062
2020,0.042,0.021,0.105,0.064,0.089,5.186,7.964,15.73,8.001,0.325,0.122,0.094
2021,0.042,0.021,0.054,0.055,0.209,3.815,9.887,4.378,19.306,0.381,0.173,0.109
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
