Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1981,0.227,0.049,0.244,0.964,1.211,3.171,5.396,4.937,6.258,1.709,0.505,0.207
1982,0.074,0.092,0.16,1.067,0.576,3.496,5.484,4.033,4.802,5.528,1.443,0.056
1983,0.098,0.179,0.15,0.132,1.023,4.118,6.86,5.225,4.58,4.987,0.382,0.089
1984,0.196,0.335,0.209,0.3,1.13,2.666,6.858,2.997,4.201,3.332,0.534,0.111
1985,0.345,0.089,0.179,0.22,0.518,4.875,4.208,5.635,6.788,10.454,0.522,0.075
1986,0.218,0.228,0.143,0.592,1.083,3.417,3.095,9.236,4.748,5.546,4.8,0.078
1987,0.147,0.087,0.208,0.591,0.998,1.779,3.227,3.687,3.047,5.756,4.188,0.094
1988,0.117,0.367,0.149,0.825,1.638,3.083,8.292,4.133,9.38,1.474,0.529,0.062
1989,0.074,0.087,0.559,0.189,1.28,3.881,9.457,4.62,5.307,0.563,0.215,0.071
1990,0.077,0.14,1.027,0.423,3.826,3.768,4.626,8.089,4.921,6.972,2.261,0.104
1991,0.165,0.089,0.159,0.204,0.965,6.538,5.723,3.618,4.526,5.06,3.082,0.073
1992,0.128,0.089,0.133,0.232,1.746,3.263,7.271,5.198,5.191,3.608,4.443,0.057
1993,0.192,0.088,0.172,0.663,1.84,2.219,3.434,4.703,7.442,4.757,0.92,0.14
1994,0.074,0.105,0.176,0.747,1.17,2.171,6.521,5.776,6.027,5.589,0.415,0.069
1995,0.11,0.087,0.313,0.435,1.848,2.092,5.002,4.081,6.677,12.991,3.703,0.058
1996,0.076,0.094,0.129,0.899,0.743,6.331,3.368,4.26,3.425,6.227,1.477,0.31
1997,0.127,0.28,0.703,0.611,0.924,1.758,6.274,5.012,6.198,1.249,0.303,0.449
1998,0.112,0.199,0.148,0.618,0.901,3.459,5.69,5.103,7.538,10.06,2.201,0.081
1999,0.089,0.087,0.116,0.125,2.033,4.82,3.324,4.715,5.967,6.58,0.403,0.054
2000,0.074,0.138,0.095,0.45,1.197,5.355,4.518,5.647,4.199,3.338,0.388,0.057
2001,0.127,0.13,0.301,0.676,1.748,3.538,4.079,6.294,5.079,5.501,3.34,0.095
2002,0.168,0.101,0.107,1.38,1.322,3.145,3.823,6.118,2.935,4.764,1.174,0.138
2003,0.367,0.178,0.49,0.303,0.794,2.294,7.178,4.609,6.345,13.393,0.139,0.122
2004,0.113,0.099,0.169,1.316,1.136,4.33,7.853,3.418,5.582,5.047,0.262,0.057
2005,0.223,0.201,0.251,1.043,1.024,2.634,5.191,3.027,17.28,12.639,1.164,0.066
2006,0.098,0.086,0.286,1.431,2.163,3.915,5.833,9.205,7.065,4.946,2.807,0.057
2007,0.074,0.153,0.13,0.386,1.37,7.937,3.746,5.224,9.222,4.906,0.175,0.071
2008,0.194,0.371,1.438,0.258,0.973,5.001,5.435,5.663,7.755,1.585,1.423,0.056
2009,0.074,0.086,0.414,0.383,1.392,2.656,6.607,3.515,5.021,2.625,2.406,0.121
2010,0.106,0.148,0.414,0.387,3.669,4.438,6.819,6.025,6.973,9.676,7.55,1.196
2011,0.096,0.127,0.098,1.189,2.116,2.525,5.584,4.716,4.197,0.991,0.202,0.058
2012,0.232,0.087,0.127,0.974,0.905,3.207,5.569,5.052,7.276,3.731,3.858,0.058
2013,0.092,0.145,0.088,1.018,1.024,4.478,4.564,3.574,4.435,13.889,2.123,0.155
2014,0.078,0.101,0.136,0.293,3.128,3.008,6.413,5.979,7.072,4.43,0.873,0.058
2015,0.081,0.204,0.301,0.738,0.505,8.562,4.391,3.077,7.497,2.715,2.622,0.065
2016,0.076,0.165,0.357,0.299,2.458,4.524,6.088,4.141,6.032,2.659,0.744,0.095
2017,0.078,0.1,0.369,0.208,1.954,5.452,7.24,5.694,4.198,5.089,1.094,0.101
2018,0.076,0.197,0.137,1.102,2.332,4.289,6.271,9.512,4.829,3.417,0.364,0.371
2019,0.084,0.101,0.492,0.613,1.243,3.017,3.431,6.81,8.428,9.314,0.444,0.057
2020,0.178,0.42,0.451,1.32,1.443,3.903,5.368,5.17,4.374,8.925,2.189,0.047
2021,0.075,0.104,0.107,1.145,2.001,3.407,4.918,3.6,12.0,4.765,5.094,0.311
2022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2023,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
