Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.055,0.169,0.084,0.012,0.072,2.866,7.519,4.354,1.998,0.169,0.019,0.893
1981,0.672,0.004,0.421,0.0,0.353,5.067,6.471,2.25,0.888,0.014,0.104,0.085
1982,0.888,0.403,0.479,0.729,1.061,0.342,4.861,4.622,0.875,0.194,0.375,0.572
1983,0.36,0.093,0.039,2.861,0.772,2.323,12.524,9.192,6.548,1.123,0.0,0.125
1984,0.246,0.595,0.053,0.098,0.003,0.546,4.395,5.881,5.907,0.0,0.0,0.063
1985,0.552,0.0,0.013,0.05,0.104,0.402,7.588,6.782,3.311,5.983,0.0,0.336
1986,0.328,1.777,0.18,0.033,0.319,2.58,7.609,4.063,0.448,0.142,0.004,0.079
1987,0.83,0.157,0.053,0.005,0.407,0.268,0.59,3.322,1.012,0.739,0.0,0.597
1988,0.089,0.058,0.452,0.112,0.201,2.657,11.371,8.108,3.283,0.212,0.001,0.659
1989,0.403,0.006,0.149,0.005,0.01,0.487,5.168,6.257,6.538,0.0,0.018,0.157
1990,0.0,2.481,0.017,0.164,0.191,1.877,6.7,6.314,5.925,0.147,0.055,0.232
1991,0.207,0.536,0.514,0.278,0.157,0.572,4.82,12.73,2.498,0.0,0.236,0.951
1992,0.879,0.371,0.028,0.014,0.196,0.185,4.782,8.922,3.015,5.505,0.427,0.0
1993,0.068,0.251,0.151,0.086,0.268,2.487,6.139,3.445,5.222,0.021,0.008,0.005
1994,0.976,0.461,0.01,0.184,0.288,2.948,8.219,6.584,1.223,0.008,0.001,0.0
1995,1.205,0.184,0.175,0.151,0.0,1.033,6.188,13.191,5.309,0.008,0.0,0.2
1996,0.118,1.922,0.443,0.116,0.268,7.048,6.409,11.355,4.421,0.744,0.0,0.0
1997,0.34,0.03,0.301,0.718,0.824,2.49,7.403,7.637,2.946,2.063,0.368,2.166
1998,0.008,0.304,1.172,0.533,0.198,2.755,8.078,8.891,4.112,1.378,0.062,0.0
1999,0.529,0.192,0.003,0.033,0.219,0.669,6.388,4.617,5.495,0.873,0.0,0.01
2000,0.067,0.111,0.075,0.113,1.205,1.118,8.554,4.359,0.525,0.015,0.0,0.012
2001,0.07,0.103,0.127,0.546,1.071,3.734,8.381,3.229,0.7,0.443,0.13,0.0
2002,0.767,1.499,0.015,0.046,0.394,1.475,1.432,7.259,2.184,0.077,0.028,0.919
2003,0.443,1.443,0.085,0.113,0.242,3.069,9.069,9.216,8.935,0.001,0.003,0.435
2004,1.554,0.0,0.0,0.342,0.067,1.125,2.256,7.387,1.29,1.703,0.044,0.009
2005,0.515,0.21,0.454,0.098,0.124,7.578,16.433,2.088,4.099,0.018,0.003,0.004
2006,0.0,0.0,1.398,0.057,0.554,3.886,6.754,2.415,1.236,0.183,0.008,0.059
2007,0.084,1.9,1.076,0.174,0.345,2.137,4.496,6.316,2.467,0.001,0.0,0.03
2008,0.026,0.107,0.039,0.165,1.478,9.411,8.652,9.429,3.177,0.085,0.107,0.0
2009,0.006,0.03,0.122,0.109,0.579,0.94,4.818,6.89,4.04,4.256,1.146,0.466
2010,0.169,0.583,0.0,0.066,0.129,0.142,7.902,8.832,6.942,0.144,2.147,0.192
2011,0.019,0.536,0.075,0.109,0.075,3.316,10.601,8.029,4.182,0.0,0.0,0.548
2012,0.509,0.16,0.005,0.364,0.026,0.015,8.247,12.378,3.981,0.001,0.0,0.026
2013,0.529,2.755,0.044,0.299,0.167,4.715,11.788,12.663,2.606,2.271,0.179,0.787
2014,2.915,1.602,0.326,0.17,0.142,0.317,4.55,3.144,3.286,0.389,0.0,0.53
2015,0.789,0.847,1.815,1.524,0.144,1.421,7.158,4.367,0.767,0.736,0.028,0.193
2016,0.079,0.151,0.322,0.0,0.574,2.469,13.003,7.763,0.839,0.577,0.0,0.0
2017,0.761,0.055,0.657,0.079,0.191,1.743,3.875,4.918,3.044,0.008,0.0,0.054
2018,0.108,0.425,0.01,0.46,0.348,1.681,8.927,8.95,4.296,0.106,0.01,0.039
2019,0.774,1.66,0.256,0.618,0.263,1.349,6.507,9.082,4.527,0.103,1.424,0.667
2020,0.744,0.667,1.321,0.418,0.757,0.793,2.907,5.814,1.19,0.0,0.39,0.026
2021,2.12,0.072,0.283,0.113,1.813,0.276,8.902,5.765,4.9,1.684,0.16,0.265
2022,2.12,0.072,0.0,0.054,0.309,1.172,6.249,4.017,4.756,4.066,0.033,0.0
2023,1.34,0.001,1.335,0.219,1.66,3.278,8.013,5.191,3.968,0.077,0.178,1.029
