Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.184,0.009,0.057,0.018,0.044,11.126,7.655,9.8,1.787,0.004,0.041,0.658
1981,0.342,0.003,0.43,0.018,0.201,2.292,10.954,5.912,8.755,0.418,0.062,0.355
1982,1.425,0.089,0.035,0.085,0.291,3.752,5.495,9.653,2.729,1.378,1.593,0.008
1983,0.237,0.162,0.053,0.008,0.044,4.689,7.49,13.289,8.593,1.03,0.008,1.074
1984,1.051,0.649,0.0,0.003,0.0,2.119,4.91,12.728,1.483,0.917,0.008,0.753
1985,0.839,0.003,0.621,0.25,0.22,3.069,6.777,12.496,1.138,4.876,0.0,0.308
1986,0.14,3.618,0.227,0.001,0.152,6.857,20.27,11.458,0.438,0.328,0.65,1.003
1987,0.81,0.203,0.206,0.003,0.157,1.875,2.438,8.152,2.081,2.372,1.481,0.058
1988,0.0,0.061,0.003,0.158,0.16,3.159,15.898,8.611,8.039,4.174,0.031,0.0
1989,0.0,0.0,1.156,0.0,0.067,7.985,7.336,20.87,3.038,0.219,0.01,0.657
1990,0.091,0.368,0.215,0.033,4.246,8.672,10.094,18.434,5.685,3.812,0.009,0.56
1991,0.247,0.1,0.686,0.184,0.041,7.073,13.122,5.997,0.142,0.003,1.303,0.018
1992,0.0,0.006,0.026,0.153,0.142,2.732,4.138,13.735,2.117,1.393,1.473,0.0
1993,0.0,0.612,0.725,0.1,0.221,3.592,12.972,13.011,6.373,1.514,0.196,0.502
1994,0.873,0.498,0.003,0.304,0.018,7.483,23.239,10.719,3.484,1.747,0.274,0.0
1995,0.93,0.22,1.06,0.138,0.173,5.84,11.868,5.389,5.93,1.584,0.348,0.094
1996,0.121,0.561,0.215,0.147,0.059,2.294,10.82,6.342,3.62,3.685,0.054,0.0
1997,0.37,0.0,0.013,0.103,0.057,2.164,18.689,9.962,3.754,3.708,2.85,2.026
1998,0.754,0.209,1.378,0.033,0.191,4.522,7.848,4.393,10.902,2.24,1.11,0.0
1999,0.006,1.372,0.0,0.0,0.6,6.666,10.215,6.932,8.43,1.632,0.005,0.0
2000,0.0,0.575,0.0,0.013,1.97,9.071,8.471,10.356,1.563,0.033,0.0,0.381
2001,0.147,0.0,0.739,0.778,0.178,7.457,4.692,10.011,0.814,4.831,0.054,0.0
2002,0.075,0.651,0.216,0.053,0.263,11.144,1.872,13.449,5.974,1.584,0.203,0.005
2003,0.003,0.654,0.304,0.242,0.0,4.555,11.837,8.25,5.49,0.556,0.08,0.242
2004,0.976,0.005,0.006,0.019,0.116,6.36,6.764,11.618,2.861,1.031,0.595,0.0
2005,1.582,0.197,0.615,0.033,0.046,4.908,16.271,3.309,5.593,5.613,0.0,0.156
2006,0.0,0.0,3.188,0.27,0.857,2.845,12.115,15.184,5.431,0.335,0.312,0.013
2007,0.0,0.008,0.203,0.175,0.1,9.169,9.293,7.848,8.935,0.014,0.433,0.005
2008,0.003,0.0,0.757,0.054,0.018,4.843,9.074,9.159,5.091,0.695,0.416,0.0
2009,0.009,0.022,0.059,0.035,0.363,1.98,17.888,5.281,4.774,2.281,1.916,0.823
2010,0.185,0.218,0.033,0.012,0.057,3.909,12.633,9.625,10.575,1.808,1.354,0.048
2011,0.0,0.475,0.026,0.239,0.13,2.959,10.194,9.172,6.054,0.067,0.0,0.015
2012,0.341,0.005,0.0,0.023,0.263,2.014,17.237,15.692,14.783,0.904,0.506,0.017
2013,0.032,0.702,0.158,0.278,0.013,15.004,15.375,13.984,6.414,3.471,0.048,0.01
2014,0.081,1.294,1.387,0.108,0.021,0.595,13.668,8.294,4.318,0.559,0.878,0.359
2015,1.607,1.349,1.267,1.947,0.149,7.395,2.758,14.505,4.254,0.335,0.018,0.036
2016,0.037,0.346,0.363,0.041,0.296,6.625,18.908,9.306,8.26,1.887,0.0,0.0
2017,0.045,0.006,0.021,0.012,0.402,4.583,5.945,4.792,6.939,2.536,0.05,0.0
2018,0.0,1.183,0.031,0.179,0.042,5.083,12.566,9.422,7.287,0.028,0.031,0.064
2019,0.058,0.013,0.05,0.16,0.003,5.16,13.696,14.768,12.447,3.371,0.532,0.824
2020,1.721,0.366,1.096,0.071,0.113,7.841,7.704,13.32,8.284,2.861,0.021,0.041
2021,0.69,0.138,0.173,0.111,0.391,4.995,7.815,7.212,8.58,2.686,0.109,0.572
2022,0.69,0.138,0.004,0.0,0.018,3.933,22.394,11.574,9.821,3.95,0.0,0.171
2023,0.088,0.0,0.704,1.845,0.341,3.591,14.94,4.552,7.987,0.031,2.831,0.089
