Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.03,0.0,0.084,0.442,1.174,3.25,1.55,1.372,5.088,0.884,3.408,0.201
1981,1.016,0.0,0.532,0.232,1.133,1.748,2.534,2.971,6.852,4.152,0.664,0.156
1982,0.023,0.0,0.008,0.18,1.589,1.499,1.445,0.762,3.229,1.984,2.069,0.003
1983,0.003,0.033,0.001,0.003,0.6,2.85,2.323,3.875,4.032,3.129,0.272,1.096
1984,0.117,0.721,0.209,0.582,0.287,1.11,3.767,0.281,3.43,3.316,2.275,0.569
1985,0.233,0.008,0.306,0.142,0.89,2.33,1.967,1.142,2.039,2.16,1.043,0.225
1986,0.971,0.142,0.018,0.183,0.497,2.032,1.936,2.279,3.837,1.661,2.257,0.166
1987,0.102,0.013,0.108,0.005,0.273,2.24,0.646,3.674,2.142,5.017,4.616,1.617
1988,0.004,0.032,0.005,1.132,1.349,1.378,4.738,5.369,5.773,0.635,0.399,1.573
1989,0.017,0.0,1.065,0.086,0.178,3.077,9.146,1.594,5.552,0.283,0.73,0.246
1990,0.014,0.003,0.382,0.314,3.685,2.24,1.875,6.244,1.82,2.478,2.447,0.33
1991,0.086,0.085,0.006,0.816,1.777,6.576,4.988,2.467,5.379,2.966,1.941,0.104
1992,0.021,0.01,0.0,0.166,2.065,2.093,2.178,3.353,1.174,3.216,3.484,0.01
1993,0.0,0.006,0.116,0.268,1.511,1.172,2.585,2.531,2.825,9.429,1.891,4.204
1994,0.185,0.151,0.01,0.792,1.352,1.045,1.712,1.779,0.621,7.641,1.623,0.031
1995,0.37,0.003,0.044,0.026,3.26,1.486,3.136,3.914,3.85,5.34,0.301,0.026
1996,0.028,0.013,0.0,0.922,0.458,8.446,2.876,5.5,7.488,8.696,0.766,0.969
1997,0.453,0.004,0.084,0.384,0.394,1.439,1.553,1.221,4.609,1.517,1.468,1.11
1998,0.136,0.059,0.021,0.234,0.422,2.003,4.158,4.864,4.545,9.398,1.723,0.055
1999,0.031,0.006,0.003,0.173,1.408,1.496,1.717,3.597,4.231,3.427,0.536,0.21
2000,0.023,0.672,0.005,0.082,1.761,3.396,3.875,6.368,3.947,4.148,0.296,0.124
2001,0.1,0.0,0.003,1.208,0.252,0.819,1.676,2.016,7.125,7.443,1.414,0.434
2002,0.309,0.023,0.008,0.055,1.524,3.34,0.857,3.002,1.885,3.144,0.716,0.008
2003,0.028,0.04,0.255,0.386,0.1,1.071,2.572,4.122,1.643,3.644,0.147,0.211
2004,0.122,0.036,0.377,0.568,4.514,1.517,3.927,1.21,3.932,2.865,1.105,0.015
2005,0.238,0.18,0.066,0.435,1.259,1.929,5.495,2.59,4.56,9.414,1.694,0.247
2006,0.001,0.0,1.356,1.233,1.872,3.991,1.324,1.478,2.755,1.784,2.238,0.157
2007,0.006,0.03,0.001,0.445,0.829,6.787,2.987,5.245,10.596,2.772,0.492,1.102
2008,0.003,0.612,4.534,0.1,0.814,1.179,2.024,6.128,2.796,3.252,4.236,0.061
2009,0.019,0.0,0.032,0.059,2.817,2.32,1.669,3.144,11.312,3.401,3.95,0.254
2010,0.493,0.041,0.0,0.197,1.21,4.004,6.739,5.943,3.188,3.015,2.728,1.797
2011,0.046,0.111,0.004,0.515,1.439,1.21,4.993,4.583,1.367,3.479,1.128,0.103
2012,0.161,0.0,0.051,0.389,1.308,1.259,2.57,3.051,3.147,3.221,1.734,0.678
2013,0.0,0.565,0.026,0.077,1.118,2.176,6.556,3.147,6.934,5.544,0.703,0.031
2014,0.026,0.086,0.185,0.054,2.485,2.099,2.989,3.695,2.956,2.603,1.226,1.853
2015,0.142,0.115,0.294,1.728,1.815,3.103,1.035,3.34,4.197,3.165,6.54,0.17
2016,0.43,0.0,0.003,0.003,1.236,6.144,3.703,1.318,4.707,0.379,0.283,1.15
2017,0.256,0.0,0.055,0.073,0.827,3.162,1.669,4.339,9.88,7.648,0.35,0.006
2018,0.0,0.019,0.627,0.055,1.423,3.662,1.681,2.982,2.625,1.578,0.693,0.26
2019,0.497,0.094,0.004,0.229,0.409,3.51,2.462,5.3,6.476,6.679,0.708,1.304
2020,0.496,0.037,0.041,0.443,0.518,4.086,7.12,3.162,8.938,6.777,4.026,0.26
2021,0.23,0.005,0.0,0.458,2.039,2.82,9.561,2.621,3.005,3.262,5.625,0.291
2022,0.23,0.005,0.046,0.108,3.335,2.332,4.926,5.523,4.676,3.905,2.017,1.454
2023,0.072,0.0,0.944,0.357,0.95,0.829,8.206,0.466,3.111,0.239,2.675,0.444
