Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.021,0.001,0.093,0.012,0.008,7.078,3.311,6.831,1.651,0.16,0.189,0.818
1981,0.344,0.028,0.022,0.077,0.088,2.06,3.226,4.509,4.728,0.63,0.006,0.27
1982,0.129,0.001,0.003,0.032,0.131,2.745,2.783,3.008,1.584,1.101,1.362,0.0
1983,0.023,0.0,0.0,0.015,0.023,2.317,4.676,6.257,6.607,3.399,0.005,0.066
1984,0.044,0.039,0.004,0.003,0.0,1.875,2.562,1.862,3.252,1.38,0.027,0.008
1985,0.003,0.0,0.057,0.203,0.064,1.473,3.453,1.805,1.04,2.238,0.291,0.039
1986,0.003,0.028,0.0,0.0,0.046,4.861,5.508,4.269,0.976,0.019,0.675,1.184
1987,0.057,0.031,0.01,0.0,0.26,2.384,3.098,3.88,0.379,2.381,1.174,0.277
1988,0.0,0.0,0.001,0.109,0.075,1.748,4.843,6.159,8.137,0.924,0.171,0.0
1989,0.0,0.0,1.593,0.012,0.332,6.677,6.612,6.52,4.962,0.626,0.015,0.075
1990,0.097,0.005,0.003,0.0,3.35,1.908,3.118,16.044,2.263,2.971,0.538,0.113
1991,0.008,0.0,0.005,0.323,0.126,16.389,11.603,1.72,0.551,0.005,0.384,0.0
1992,0.0,0.0,0.0,0.044,0.015,10.531,3.456,5.66,6.005,1.344,0.31,0.0
1993,0.0,0.001,0.082,0.001,0.129,7.928,8.353,3.461,3.973,3.662,0.478,1.774
1994,0.093,0.001,0.0,0.557,0.196,10.016,4.349,4.166,1.676,1.074,0.592,0.0
1995,1.421,0.009,0.456,0.122,0.239,1.537,5.958,2.279,5.173,2.647,0.345,0.015
1996,0.017,0.022,0.035,0.167,0.072,2.886,6.09,3.443,2.214,2.684,0.192,0.001
1997,0.265,0.0,0.023,0.366,0.072,3.432,5.111,2.317,3.188,1.447,2.15,1.594
1998,0.01,0.005,0.021,0.046,0.121,2.817,5.544,6.339,5.721,1.455,0.595,0.0
1999,0.0,0.636,0.0,0.0,0.463,3.893,4.944,1.833,5.085,2.495,0.0,0.0
2000,0.001,0.075,0.0,0.015,1.249,7.084,4.931,6.332,1.02,0.366,0.0,0.491
2001,0.0,0.0,0.04,0.041,0.049,3.77,1.954,5.982,2.935,2.919,0.032,0.001
2002,0.113,0.492,0.013,0.156,0.028,7.086,1.342,7.001,2.377,1.607,0.42,0.0
2003,0.031,0.051,0.0,0.198,0.003,6.229,5.119,3.247,3.129,0.47,0.026,0.036
2004,0.067,0.0,0.0,0.0,0.476,2.529,7.135,6.046,5.799,1.481,1.079,0.0
2005,0.154,0.027,0.279,0.095,0.098,3.008,6.672,3.541,7.591,1.336,0.0,0.0
2006,0.0,0.0,0.393,0.0,0.564,5.523,6.311,8.726,3.88,1.478,0.919,0.0
2007,0.0,0.001,0.006,0.062,0.077,8.152,5.062,4.692,7.279,0.391,0.178,0.01
2008,0.0,0.023,0.491,0.082,0.012,2.261,2.462,5.588,11.76,1.112,0.848,0.212
2009,0.009,0.0,0.236,0.006,0.227,2.026,8.641,3.767,6.203,4.019,3.291,0.032
2010,0.51,0.004,0.157,0.021,0.026,8.085,8.085,4.431,4.089,2.601,2.044,0.017
2011,0.0,0.081,0.001,0.066,0.058,2.418,6.432,6.007,2.747,1.107,0.0,0.0
2012,0.0,0.0,0.0,0.107,0.162,3.831,4.009,2.729,3.337,2.48,0.046,0.008
2013,0.001,0.032,0.003,0.008,0.01,10.045,13.117,3.731,7.359,1.015,0.042,0.239
2014,0.062,0.176,2.173,0.018,0.082,0.366,6.056,6.28,3.09,0.96,0.684,0.937
2015,0.14,0.479,0.695,0.239,0.16,3.829,0.93,2.431,7.081,0.26,0.6,0.0
2016,0.013,0.113,0.124,0.039,0.142,3.631,6.533,6.242,4.985,1.625,0.003,0.0
2017,0.0,0.0,0.008,0.0,0.068,4.586,2.809,7.282,4.364,3.515,0.081,0.129
2018,0.0,0.014,0.124,0.055,0.072,5.201,5.472,5.665,0.435,0.068,0.322,0.0
2019,0.0,0.001,0.003,0.126,0.0,3.535,9.115,5.053,8.356,6.355,0.678,0.183
2020,0.023,0.044,0.42,0.001,0.306,6.563,6.556,5.781,7.115,3.283,0.07,0.033
2021,0.085,0.0,0.073,0.072,0.546,4.223,4.251,5.364,9.27,1.427,0.63,1.169
2022,0.085,0.0,0.009,0.003,0.015,4.42,10.483,3.747,8.868,3.287,0.0,0.095
2023,0.044,0.0,0.31,0.488,0.072,2.673,8.067,1.298,8.147,0.026,1.357,0.064
