Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.317,0.382,0.865,0.57,0.18,9.756,9.275,6.818,8.276,4.493,0.152,0.148
1981,0.592,1.71,3.938,3.718,2.372,7.467,9.087,7.197,8.227,0.33,0.012,3.933
1982,0.107,1.195,1.761,0.642,0.211,8.294,4.48,10.192,5.034,0.818,0.301,0.018
1983,0.891,2.034,0.433,0.358,1.769,4.57,8.77,14.345,8.799,4.372,1.275,0.564
1984,0.256,0.082,0.036,0.841,2.499,16.042,11.695,7.938,3.404,3.456,0.006,0.018
1985,0.484,2.747,0.106,0.548,1.021,6.476,7.897,15.253,7.632,9.115,0.164,0.001
1986,0.63,0.402,0.134,0.511,0.945,14.178,7.884,5.778,13.248,5.689,6.127,0.072
1987,0.015,0.041,0.5,1.687,0.433,1.251,11.896,7.452,3.6,2.175,2.01,0.164
1988,0.017,1.17,0.498,0.913,1.19,15.488,10.125,10.099,11.703,1.246,1.796,0.023
1989,0.112,0.035,0.036,0.238,7.596,10.264,14.852,11.355,8.165,3.278,0.014,0.107
1990,0.003,2.71,8.233,0.969,5.799,8.549,13.809,7.12,8.242,5.322,6.714,0.937
1991,0.973,0.25,0.4,0.883,0.585,5.618,12.226,10.225,5.227,6.749,1.869,0.434
1992,0.145,1.321,0.044,0.215,2.76,6.399,10.204,5.479,5.539,2.874,0.237,0.003
1993,0.066,0.067,1.267,1.441,4.153,12.81,7.449,11.729,7.781,5.346,0.5,0.0
1994,0.264,1.215,0.153,2.67,3.201,12.336,10.575,10.529,5.348,4.552,0.456,0.0
1995,0.358,1.457,0.218,0.57,11.412,2.665,11.139,11.492,6.092,12.205,8.368,0.012
1996,0.279,0.136,0.041,0.363,0.201,6.579,8.572,10.253,4.192,3.199,0.5,0.148
1997,0.225,0.333,2.222,3.644,0.062,14.032,7.354,14.432,6.471,0.466,0.09,1.285
1998,1.573,1.988,2.196,0.569,3.17,6.721,9.499,8.495,8.961,4.795,3.203,0.012
1999,0.019,0.0,0.023,0.062,9.476,7.529,8.804,9.102,9.638,14.121,0.205,0.012
2000,0.039,1.294,0.03,0.379,5.786,6.88,5.683,8.817,7.215,4.408,0.286,0.0
2001,0.021,0.306,0.697,0.742,1.728,12.548,11.538,13.446,8.855,5.388,6.477,0.0
2002,1.249,0.005,0.201,1.213,4.385,8.193,4.655,9.517,10.797,2.673,2.956,0.008
2003,0.015,0.269,1.012,0.809,0.147,9.839,13.346,9.782,6.365,14.002,0.42,2.372
2004,0.102,0.191,0.182,0.502,0.34,6.566,7.454,11.01,7.115,6.993,0.003,0.018
2005,0.34,0.01,1.339,0.809,0.497,3.329,11.0,5.948,11.317,11.263,0.301,0.523
2006,0.015,0.0,0.278,0.317,1.656,7.05,11.621,16.577,11.675,0.878,1.831,0.0
2007,0.077,1.802,0.238,0.445,1.766,6.249,11.036,17.762,13.534,2.441,1.257,0.022
2008,1.855,1.392,0.25,0.749,0.433,14.458,9.223,8.997,12.007,6.054,0.118,0.012
2009,0.014,0.165,0.184,0.256,7.619,2.814,10.869,8.49,12.182,5.603,1.321,0.0
2010,0.117,0.104,0.111,0.247,1.378,6.623,6.409,6.09,6.339,7.66,1.196,1.555
2011,0.005,0.417,0.21,1.084,0.986,16.454,6.291,14.945,14.505,1.765,0.051,0.111
2012,1.617,0.015,0.08,0.326,0.631,5.232,11.137,9.908,6.96,2.814,2.106,0.42
2013,0.152,0.106,0.063,1.511,5.933,7.14,9.344,5.917,11.543,18.758,0.008,0.001
2014,0.013,0.809,0.448,0.221,2.755,6.937,10.256,13.583,7.256,4.82,0.037,0.639
2015,2.359,0.241,0.749,2.369,0.281,9.666,18.269,8.284,5.606,4.112,0.147,1.383
2016,0.25,0.632,0.165,0.154,4.514,6.028,11.028,11.27,16.621,3.064,2.433,0.0
2017,0.028,0.037,1.878,0.148,0.303,8.649,14.072,8.24,5.523,8.683,5.262,3.135
2018,0.042,0.003,0.145,1.459,0.801,5.781,12.918,10.364,12.195,5.687,0.268,0.655
2019,0.045,0.722,2.189,0.729,3.092,5.51,5.346,10.888,11.979,6.896,4.335,0.518
2020,1.711,1.782,0.946,3.09,7.014,6.921,6.453,13.132,6.517,7.748,0.112,0.003
2021,0.922,0.678,0.062,0.193,10.39,6.89,6.208,7.248,14.821,4.243,1.546,3.404
2022,0.922,0.678,0.037,0.116,1.295,2.647,7.975,12.47,7.864,4.689,0.004,0.04
2023,0.103,0.2,1.99,0.982,0.426,3.453,9.277,8.5,11.827,4.789,0.704,0.574
