Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.0,0.001,0.265,0.775,3.767,3.607,2.341,1.303,4.326,2.853,2.523,0.745
1981,0.35,0.001,1.057,0.167,3.255,2.181,2.868,2.817,7.462,4.885,2.608,0.626
1982,0.01,0.0,0.008,0.308,2.814,2.23,2.366,0.94,3.327,2.231,4.424,0.124
1983,0.0,0.067,0.097,0.095,2.269,3.105,3.587,6.296,4.601,2.003,0.596,2.128
1984,0.442,1.027,1.401,0.519,0.406,2.055,4.998,0.43,4.171,3.046,3.391,0.963
1985,0.332,0.037,0.386,0.317,2.305,2.557,2.145,1.275,1.859,1.294,4.044,0.444
1986,1.513,0.359,0.013,0.255,1.447,1.813,0.863,1.174,5.559,3.22,2.95,0.606
1987,0.045,0.003,0.072,0.075,0.332,2.675,0.551,3.553,3.644,5.423,2.549,2.292
1988,0.004,0.183,0.048,1.887,3.172,1.72,5.402,5.515,6.332,0.958,1.679,0.972
1989,0.018,0.0,0.218,0.157,0.93,2.923,7.807,1.331,6.347,2.346,1.611,0.64
1990,0.129,0.004,1.446,0.313,3.203,1.311,1.653,4.032,2.22,3.776,1.384,0.47
1991,0.171,0.098,0.035,1.156,3.214,6.695,3.803,1.99,2.526,7.658,4.793,0.16
1992,0.093,0.006,0.0,0.375,3.62,2.598,2.07,3.141,1.936,3.013,2.662,0.109
1993,0.0,0.107,0.192,0.348,3.847,2.521,2.956,2.526,3.118,5.364,1.972,3.022
1994,0.336,0.326,0.008,1.567,2.74,1.877,1.885,1.566,1.184,5.416,2.451,0.251
1995,0.564,0.015,0.109,0.157,2.124,2.634,3.582,4.138,2.511,3.551,0.682,0.041
1996,0.039,0.018,0.001,1.774,1.342,9.118,2.889,4.166,5.819,3.743,0.838,3.293
1997,0.78,0.017,0.614,1.421,0.641,3.537,4.022,1.658,4.022,1.401,2.874,0.868
1998,0.051,0.108,0.095,0.742,1.599,2.374,4.177,4.692,4.982,4.8,1.838,0.417
1999,0.026,0.229,0.021,0.422,5.109,0.801,2.619,1.898,6.43,4.03,0.968,0.197
2000,0.03,1.63,0.026,0.69,3.159,2.41,2.652,5.907,3.79,3.221,0.752,0.294
2001,0.149,0.003,0.229,2.444,0.36,1.452,1.815,1.715,5.449,8.623,1.361,0.615
2002,0.315,0.203,0.021,0.173,2.585,3.53,1.056,2.498,2.765,5.42,1.226,0.188
2003,0.01,0.019,1.223,0.152,0.1,1.751,1.782,3.481,0.981,3.647,0.564,0.304
2004,0.131,0.214,0.783,1.39,5.585,1.571,3.656,1.027,3.978,3.198,1.813,0.012
2005,0.175,0.397,0.158,1.45,3.314,2.516,5.235,2.269,3.595,12.504,3.636,0.878
2006,0.036,0.0,2.265,0.766,1.687,3.883,1.161,1.19,3.278,2.686,3.064,0.309
2007,0.003,0.045,0.003,1.123,3.345,6.177,3.878,5.217,3.777,3.829,1.334,1.621
2008,0.033,1.106,4.47,0.206,3.532,1.823,3.319,4.156,3.298,4.722,3.232,0.086
2009,0.066,0.0,0.305,0.178,3.098,3.862,3.177,2.84,7.761,2.02,4.122,0.928
2010,0.218,0.045,0.005,0.408,1.867,3.638,5.485,5.652,3.607,3.237,3.992,0.834
2011,0.021,0.206,0.0,1.681,3.17,1.923,4.053,4.375,1.349,4.326,2.073,0.515
2012,0.359,0.001,0.103,1.092,1.772,1.527,2.073,4.964,4.29,3.959,0.984,1.614
2013,0.0,0.702,0.134,0.422,2.699,2.024,3.291,3.358,6.394,3.044,0.884,0.184
2014,0.005,0.089,0.461,0.144,2.683,2.418,2.39,3.566,2.879,4.282,2.638,0.942
2015,0.138,0.176,0.327,5.629,3.252,3.167,1.517,3.669,5.809,2.297,10.297,1.112
2016,0.376,0.001,0.031,0.031,3.19,6.082,5.938,0.917,1.566,0.731,0.147,2.603
2017,0.474,0.0,0.25,0.236,2.27,3.615,1.54,4.769,7.006,5.827,1.118,0.14
2018,0.004,1.241,3.26,0.225,4.271,4.465,2.31,2.101,3.143,1.929,1.669,0.248
2019,0.676,0.463,0.005,0.53,1.509,4.2,4.213,3.238,6.715,6.906,1.396,1.092
2020,0.175,0.006,0.358,0.775,0.572,3.973,6.769,2.673,6.6,2.508,3.718,1.833
2021,0.224,0.001,0.0,1.097,2.799,3.672,5.402,4.231,2.459,5.904,12.327,0.454
2022,0.224,0.001,0.104,0.345,3.463,4.157,4.256,5.564,3.579,3.049,2.213,3.557
2023,0.022,0.0,1.219,0.9,2.48,2.886,5.441,0.77,2.482,0.798,3.813,0.53
