Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.045,0.004,0.106,0.306,1.612,2.317,2.356,2.297,2.245,3.492,4.55,2.205
1981,0.456,0.01,0.353,0.152,0.996,2.261,3.378,3.963,8.708,5.082,2.335,1.417
1982,0.366,0.023,0.023,0.236,0.749,2.189,2.297,0.669,2.956,1.705,3.045,0.167
1983,0.088,0.121,0.08,0.093,0.937,1.774,3.098,4.869,5.003,2.562,0.926,5.03
1984,1.28,4.135,1.163,0.265,0.251,1.555,5.845,0.25,4.952,3.365,9.637,2.593
1985,0.685,0.028,0.057,0.193,0.96,2.503,3.618,1.912,3.582,3.22,14.122,1.02
1986,4.359,0.879,0.095,0.126,0.53,1.949,1.488,1.408,4.975,4.959,4.626,2.231
1987,0.498,0.075,0.711,0.085,0.16,4.429,0.569,6.007,2.438,4.004,4.395,5.082
1988,0.086,0.081,0.353,0.955,1.584,1.241,5.261,7.841,8.719,2.8,3.31,1.797
1989,0.135,0.001,0.518,0.033,0.17,2.722,9.674,1.568,7.212,2.719,5.495,1.648
1990,0.25,0.83,0.792,0.484,5.549,2.312,2.41,4.169,4.846,4.289,3.7,1.217
1991,0.463,0.112,0.12,0.733,0.427,5.575,2.382,1.846,4.367,7.31,8.264,0.503
1992,0.299,0.036,0.0,0.332,1.396,0.971,2.719,1.911,2.302,3.615,5.685,0.339
1993,0.003,0.126,0.229,0.354,1.269,2.565,2.758,3.067,3.654,6.795,4.783,5.563
1994,0.483,0.322,0.031,0.564,1.051,1.558,1.55,2.356,1.313,7.152,5.618,1.19
1995,2.966,0.103,0.449,0.116,4.207,2.601,4.455,6.311,3.806,4.949,1.488,0.285
1996,0.12,0.179,0.004,1.308,0.281,11.162,3.085,4.47,6.857,5.074,2.323,6.4
1997,0.861,0.015,0.345,0.793,0.886,2.337,2.886,2.353,4.03,2.783,6.374,4.282
1998,0.507,0.286,0.113,0.229,0.695,2.31,5.482,7.181,5.369,5.042,3.919,1.004
1999,0.142,0.194,0.01,0.178,1.988,0.878,1.941,3.152,2.351,3.953,2.988,0.725
2000,0.097,2.351,0.021,0.306,2.992,1.941,3.394,4.027,4.259,3.744,2.274,0.928
2001,0.152,0.018,0.196,2.127,0.358,0.958,2.817,1.813,7.297,21.479,2.406,2.525
2002,0.762,0.144,0.072,0.134,1.584,2.297,1.02,1.118,1.694,6.121,3.541,0.324
2003,0.08,0.218,0.281,0.229,0.075,1.828,3.18,5.428,3.386,5.698,1.022,1.81
2004,0.408,0.157,0.318,0.415,6.633,1.844,3.507,0.718,5.709,6.166,2.863,0.072
2005,0.149,0.577,0.521,2.196,1.581,2.343,3.607,2.539,4.143,12.671,7.259,2.969
2006,0.138,0.006,1.128,0.725,1.542,4.954,1.056,1.898,4.607,5.201,5.055,0.935
2007,0.072,0.402,0.012,1.107,1.833,7.194,4.97,5.536,3.476,5.643,1.653,3.701
2008,0.721,0.618,3.593,0.424,1.188,1.174,3.942,4.71,3.286,5.431,11.69,0.332
2009,0.256,0.001,0.736,0.144,1.638,3.412,1.331,3.257,5.335,2.29,6.409,2.943
2010,0.91,0.017,0.07,0.138,2.044,5.711,6.005,8.502,4.115,3.36,6.871,3.757
2011,0.247,0.801,0.01,1.85,1.726,1.676,5.961,5.147,2.374,4.449,4.285,1.908
2012,0.408,0.004,0.09,1.042,0.881,1.761,2.693,3.718,3.17,5.692,2.05,3.443
2013,0.009,1.029,0.171,0.384,0.829,2.575,2.92,5.603,7.398,5.788,2.234,0.753
2014,0.095,0.357,0.102,0.036,1.784,3.538,2.338,4.019,3.986,5.652,4.564,2.7
2015,0.434,0.115,0.497,1.81,1.815,3.404,2.467,3.7,4.483,5.065,14.546,2.196
2016,0.278,0.027,0.033,0.051,4.882,6.311,5.794,1.159,2.22,0.471,0.494,6.655
2017,0.738,0.003,0.695,0.14,1.02,4.071,2.305,6.831,7.362,7.3,5.45,0.408
2018,0.012,0.117,0.857,0.104,0.434,3.77,2.037,2.166,3.978,2.364,5.011,0.476
2019,0.276,0.136,0.144,0.355,0.291,2.493,5.204,4.549,5.415,7.241,2.988,2.791
2020,0.521,0.122,0.126,0.445,0.178,4.146,7.586,2.135,5.521,3.175,7.227,5.165
2021,0.751,0.061,0.005,0.52,1.826,2.299,5.84,4.303,3.981,6.957,14.02,1.002
2022,0.751,0.061,0.095,0.198,2.838,4.077,3.391,5.94,3.888,4.861,5.992,5.227
2023,0.229,0.009,1.154,1.268,2.977,2.257,4.336,2.735,5.752,0.651,5.472,6.898
