Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.046,0.238,1.303,0.063,0.196,3.538,8.273,2.41,1.581,0.104,0.024,0.286
1981,1.199,0.202,0.729,0.0,0.651,2.523,6.007,1.694,0.471,0.015,1.607,0.0
1982,1.936,1.181,1.2,1.098,2.935,0.461,4.697,4.743,0.309,0.662,0.006,0.955
1983,1.519,0.209,0.115,3.172,2.799,1.944,10.907,6.535,2.379,0.793,0.0,0.482
1984,0.121,0.744,0.061,0.267,0.019,0.394,4.854,5.66,2.848,0.008,0.015,0.035
1985,0.106,0.0,0.077,0.211,0.063,0.52,6.576,4.607,0.525,2.008,0.015,0.794
1986,0.099,2.507,0.278,0.173,1.99,2.302,4.934,2.925,0.819,1.103,0.009,0.05
1987,0.573,0.615,0.188,0.021,1.545,0.463,0.543,3.005,0.178,0.243,0.0,0.104
1988,0.026,0.946,0.801,0.197,0.142,2.31,6.96,3.574,3.569,0.004,0.006,0.093
1989,0.884,0.079,0.264,0.028,0.072,0.76,2.889,4.388,3.09,0.015,0.605,0.25
1990,0.0,4.155,0.135,0.136,0.515,1.697,4.578,4.962,2.997,0.16,0.183,0.578
1991,0.005,0.797,1.015,0.811,0.306,0.639,2.737,5.304,0.523,0.0,0.018,0.671
1992,1.248,0.556,0.041,0.075,0.193,0.265,4.609,5.333,2.495,0.173,0.703,0.026
1993,0.198,0.474,0.203,0.351,0.422,1.774,6.643,0.883,4.576,0.0,0.006,0.0
1994,0.935,0.689,0.026,0.297,0.332,2.312,7.601,4.478,1.383,0.006,0.0,0.0
1995,2.132,0.673,0.492,0.179,0.021,0.827,5.402,9.607,5.832,0.121,0.003,0.039
1996,0.42,1.557,0.632,0.203,0.461,4.815,3.35,8.039,3.247,0.85,0.0,0.003
1997,0.439,0.198,0.59,1.251,0.912,3.116,6.728,8.894,1.939,1.8,0.651,1.463
1998,0.026,1.272,0.93,0.247,0.762,3.438,6.046,2.194,3.929,4.256,0.1,0.001
1999,1.074,0.153,0.1,0.0,0.695,0.968,7.179,2.081,2.003,0.257,0.009,0.126
2000,0.745,1.087,0.178,0.124,0.996,2.093,6.386,2.691,0.536,0.013,0.039,0.085
2001,0.232,0.512,0.328,0.711,1.071,3.685,5.389,3.309,0.711,0.281,0.031,0.005
2002,0.408,0.757,0.077,0.149,0.541,1.349,0.394,3.286,1.251,0.149,0.088,0.502
2003,1.061,1.823,0.098,0.198,0.672,1.71,8.502,7.107,2.843,0.0,0.008,0.147
2004,1.17,0.003,0.0,0.95,0.157,1.115,1.205,7.959,0.281,2.803,0.028,0.071
2005,0.6,1.195,1.609,0.183,0.42,2.299,7.22,1.419,5.137,0.003,0.023,0.005
2006,0.027,0.057,1.235,0.072,0.852,1.115,7.774,1.28,1.504,0.438,0.013,0.09
2007,0.248,3.439,1.249,0.124,0.427,2.034,5.029,4.54,2.657,0.0,0.082,0.189
2008,0.021,0.045,0.131,0.973,2.229,7.315,3.577,9.36,2.971,0.183,0.04,0.0
2009,0.113,0.484,0.237,0.1,0.543,0.677,3.79,5.031,3.116,0.042,0.147,0.05
2010,0.386,0.355,0.023,0.162,0.345,0.68,7.125,7.243,7.532,0.049,0.645,0.68
2011,0.03,1.259,0.257,0.184,0.689,2.84,4.864,8.057,4.805,0.03,0.0,0.044
2012,0.736,0.077,0.018,0.287,0.075,0.129,3.551,9.741,2.706,0.467,0.04,0.331
2013,2.168,3.828,0.417,0.402,0.015,1.058,5.827,5.212,2.662,0.34,0.103,0.207
2014,1.246,0.939,1.612,0.863,0.294,0.523,2.866,4.148,2.23,0.165,0.0,0.233
2015,0.608,0.94,3.713,1.074,0.324,2.529,6.646,4.63,1.468,0.162,0.154,0.013
2016,0.036,0.364,1.249,0.026,1.13,2.397,9.398,6.571,0.234,0.443,0.0,0.001
2017,1.236,0.062,0.572,0.142,0.555,3.077,4.321,6.535,0.803,0.013,0.035,0.354
2018,0.38,0.242,0.138,0.633,0.497,2.384,6.273,4.04,4.465,0.246,0.129,0.245
2019,0.99,1.412,0.717,1.136,0.474,0.348,4.465,4.895,2.106,0.306,1.118,0.386
2020,1.765,0.806,3.571,0.5,1.362,0.754,4.403,4.079,1.725,0.0,0.59,0.041
2021,2.807,0.717,0.295,0.136,2.261,0.451,5.451,2.353,5.237,1.457,0.0,0.313
2022,2.807,0.717,0.022,0.005,0.427,3.619,7.923,2.42,3.595,1.965,0.434,0.0
2023,0.619,0.088,2.133,0.337,2.742,2.547,9.138,0.579,2.372,0.407,0.252,0.028
