Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.001,0.0,0.023,1.121,1.939,5.243,4.346,3.597,6.036,1.334,3.938,0.103
1981,0.229,0.0,0.189,1.159,2.019,2.995,4.303,3.422,6.01,3.378,0.861,0.113
1982,0.005,0.0,0.0,0.398,2.23,3.177,3.767,4.171,2.758,3.194,2.141,0.059
1983,0.0,0.01,0.0,0.005,1.689,3.95,4.056,6.028,3.888,3.376,0.574,1.224
1984,0.115,0.144,0.39,0.582,0.304,2.423,5.621,1.365,4.501,3.551,0.605,0.471
1985,0.182,0.005,0.461,0.924,2.603,2.897,4.377,2.929,1.81,1.634,0.606,0.152
1986,0.632,0.067,0.008,0.903,1.295,2.93,1.941,3.049,3.79,2.449,2.445,0.391
1987,0.024,0.005,0.018,0.031,1.223,3.363,1.838,3.407,3.687,3.781,2.767,1.452
1988,0.0,0.008,0.003,1.705,1.712,2.055,4.027,4.787,5.539,0.398,0.084,1.16
1989,0.008,0.0,0.751,0.218,0.572,5.227,7.897,3.162,6.056,0.435,0.424,0.328
1990,0.061,0.0,0.017,0.933,3.152,2.387,3.502,12.803,0.839,2.957,1.576,0.251
1991,0.009,0.001,0.136,1.9,3.86,7.228,8.152,3.857,2.987,2.863,1.088,0.044
1992,0.006,0.013,0.0,0.763,1.864,3.695,2.598,3.718,2.41,2.969,3.694,0.004
1993,0.0,0.0,0.115,1.008,1.697,3.345,3.525,3.602,4.874,6.996,1.322,1.129
1994,0.265,0.342,0.093,2.308,2.057,4.377,4.089,3.005,1.259,6.09,0.663,0.033
1995,1.393,0.0,0.286,0.384,1.55,1.643,3.747,3.134,3.098,4.879,0.59,0.003
1996,0.0,0.032,0.012,1.38,2.014,5.096,3.904,5.024,5.665,5.738,0.43,0.763
1997,0.68,0.0,0.182,0.319,1.743,2.642,4.092,3.108,0.883,2.832,3.107,1.115
1998,0.015,0.015,0.018,0.404,1.455,3.479,5.521,6.8,6.888,5.186,1.342,0.091
1999,0.006,0.044,0.051,0.206,2.956,2.114,3.986,2.099,5.822,4.21,0.452,0.062
2000,0.004,0.42,0.0,0.36,1.836,4.537,4.776,5.266,4.277,4.964,0.203,0.175
2001,0.054,0.0,0.0,1.092,0.479,1.836,2.212,3.193,5.049,5.206,0.686,0.184
2002,0.337,0.237,0.0,0.675,2.135,4.385,1.313,5.201,2.294,5.114,0.651,0.01
2003,0.0,0.026,0.342,1.009,0.01,2.639,2.817,3.0,1.656,4.644,0.203,0.106
2004,0.148,0.051,0.182,0.922,4.728,2.495,4.511,2.317,3.741,2.151,0.95,0.003
2005,1.605,0.099,0.469,2.868,1.074,2.753,6.793,3.409,4.89,8.278,0.597,0.127
2006,0.003,0.0,0.9,1.103,3.394,5.83,2.498,2.23,5.33,1.957,2.897,0.057
2007,0.0,0.013,0.003,1.066,1.857,5.374,4.516,5.472,7.212,4.066,0.819,0.834
2008,0.0,1.102,6.739,0.341,1.362,2.408,2.598,6.708,4.802,4.764,2.67,0.075
2009,0.006,0.0,0.259,0.397,2.536,3.401,5.16,6.571,12.087,4.372,4.457,0.48
2010,0.878,0.003,0.008,0.738,0.7,5.186,7.331,6.836,5.379,3.015,5.218,0.116
2011,0.032,0.148,0.017,2.041,1.239,3.224,5.721,8.17,1.748,4.272,0.945,0.09
2012,0.036,0.008,0.0,1.294,1.025,3.059,3.906,3.721,4.019,2.364,1.882,0.216
2013,0.0,0.3,0.033,0.502,1.522,4.012,7.887,3.51,7.601,3.788,0.245,0.005
2014,0.003,0.067,0.212,2.003,2.807,1.779,6.041,5.964,3.414,4.014,1.817,0.8
2015,0.086,0.0,0.59,2.204,2.539,3.494,2.166,4.107,3.546,4.308,3.013,0.031
2016,0.294,0.003,0.072,0.01,1.607,7.769,8.168,2.405,4.465,0.389,0.53,0.734
2017,0.01,0.0,0.027,0.203,1.125,5.261,2.554,4.385,8.314,7.071,0.488,0.07
2018,0.0,0.178,1.066,0.568,3.122,6.527,4.071,4.977,2.634,2.222,0.893,0.1
2019,0.037,0.088,0.022,0.394,0.93,5.603,3.96,5.988,5.809,10.114,1.085,0.856
2020,0.176,0.009,0.099,0.682,1.372,4.733,8.847,5.103,8.611,4.607,1.042,0.229
2021,0.09,0.0,0.0,0.837,3.103,4.066,12.942,3.206,2.977,6.059,4.385,0.452
2022,0.09,0.0,0.053,0.214,3.726,2.458,6.473,7.094,5.055,5.77,1.033,1.41
2023,0.003,0.0,0.088,0.839,1.849,1.107,8.327,1.022,2.606,0.469,3.754,0.236
