Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.572,0.96,0.511,0.391,4.522,8.152,8.989,8.827,7.058,2.235,0.0,0.008
1981,0.917,0.291,0.999,3.548,5.49,2.735,10.029,6.128,5.325,0.012,0.003,1.792
1982,0.257,0.547,1.513,0.753,1.223,7.197,4.243,7.823,4.488,1.987,0.874,0.028
1983,0.106,0.252,0.421,0.662,2.637,4.354,7.817,8.667,6.63,2.315,0.003,0.98
1984,1.305,0.283,0.021,0.815,2.526,19.572,12.112,10.511,3.425,1.159,0.0,0.0
1985,0.279,0.084,0.021,0.165,1.683,7.632,8.549,7.557,4.511,4.591,0.067,0.0
1986,0.224,0.088,0.08,2.782,1.421,10.704,10.91,5.964,6.813,2.749,1.648,0.706
1987,0.205,0.263,0.402,2.191,1.339,2.943,9.28,8.508,4.14,0.645,1.333,0.366
1988,0.071,1.04,0.339,0.706,2.48,9.37,8.94,7.46,4.995,1.349,0.645,0.003
1989,0.018,0.774,0.3,0.01,4.457,9.731,14.255,7.951,7.3,1.838,0.135,1.081
1990,0.003,1.754,1.195,0.913,5.667,9.872,11.427,6.957,7.511,4.301,0.55,0.198
1991,0.736,0.323,0.709,0.461,1.452,5.284,8.116,6.87,10.748,1.8,0.0,1.463
1992,0.324,0.274,0.036,0.402,3.157,5.317,12.331,6.818,4.372,0.796,0.157,0.028
1993,0.847,0.129,1.75,1.564,3.504,7.866,6.648,9.18,11.258,2.163,0.706,0.0
1994,0.832,1.457,0.117,1.67,2.016,8.69,10.13,8.338,5.675,1.981,0.014,0.0
1995,0.627,1.573,0.349,0.136,2.611,5.603,8.278,7.645,10.248,1.918,2.745,0.754
1996,0.749,0.612,0.042,0.919,0.621,12.033,7.017,9.955,5.631,4.424,0.0,0.0
1997,1.115,1.063,0.166,2.338,1.589,10.533,14.476,10.694,8.423,0.742,0.438,1.715
1998,0.842,1.089,2.953,1.069,2.243,5.866,8.786,7.653,7.403,2.861,0.646,0.0
1999,0.0,0.003,0.0,0.185,4.743,9.2,11.417,7.501,8.268,2.956,0.26,0.008
2000,0.035,2.068,0.028,2.361,3.298,7.39,9.736,5.801,8.242,1.566,0.021,0.0
2001,0.214,0.196,1.042,0.592,5.459,13.145,6.113,6.831,6.458,2.651,0.048,0.0
2002,0.915,0.224,0.209,2.393,4.439,12.62,6.878,8.229,8.219,1.854,0.489,0.296
2003,0.16,1.603,1.094,0.827,2.212,8.989,10.094,6.569,6.028,7.901,0.16,0.252
2004,0.534,0.015,0.149,1.832,1.604,10.549,7.642,7.864,7.243,4.251,0.041,0.062
2005,1.204,0.546,0.967,0.711,1.017,4.751,8.58,4.689,3.945,5.552,0.033,0.261
2006,0.005,0.001,0.51,0.485,3.615,5.68,9.012,9.62,5.819,0.765,0.649,0.003
2007,0.117,2.227,1.017,0.828,1.558,9.084,15.746,10.627,11.585,1.735,0.245,0.0
2008,0.797,0.188,0.039,0.485,4.175,13.217,11.976,10.042,5.487,1.352,0.013,0.005
2009,0.469,0.103,0.309,0.003,6.767,2.557,7.375,9.785,10.199,2.75,0.716,0.319
2010,0.003,0.178,0.404,0.523,3.453,5.729,5.415,5.626,6.105,2.104,0.798,1.199
2011,0.094,0.227,0.649,1.754,3.378,14.556,8.211,14.396,7.887,1.729,0.057,0.018
2012,0.729,0.422,0.121,0.668,0.834,3.898,10.034,8.716,9.97,1.116,2.111,0.196
2013,0.044,0.386,0.099,1.115,4.72,6.473,6.242,7.704,6.744,5.464,0.009,0.017
2014,0.335,1.9,0.363,0.018,2.783,8.289,9.556,9.11,5.526,1.838,0.0,0.063
2015,0.577,0.551,1.666,2.132,2.791,6.525,18.851,9.198,5.446,1.213,0.067,0.257
2016,0.332,1.325,0.402,0.062,2.786,3.909,8.569,8.703,8.734,2.24,0.01,0.014
2017,0.458,0.017,0.518,1.173,2.733,5.07,13.992,9.27,7.812,6.52,0.276,0.559
2018,0.0,0.102,0.362,2.482,3.831,6.656,9.937,7.856,4.54,0.794,0.018,0.869
2019,0.077,1.351,0.348,1.99,3.662,4.068,8.062,9.159,8.358,6.357,0.206,0.677
2020,1.371,0.829,2.236,3.889,5.219,8.302,10.488,9.115,7.545,2.029,0.057,0.139
2021,1.863,2.517,0.427,0.628,6.244,9.481,9.72,8.0,9.471,3.175,0.147,0.779
2022,1.863,2.517,0.004,0.433,2.652,3.431,4.411,7.418,7.635,2.579,0.01,0.033
2023,0.017,0.0,1.671,0.736,1.448,4.183,5.33,8.95,11.214,2.168,0.055,1.593
