Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.106,0.632,1.687,0.041,0.211,3.005,9.404,6.458,3.445,0.281,0.014,0.324
1981,0.919,0.333,0.724,0.018,0.662,5.927,12.203,2.217,2.032,0.0,0.762,0.028
1982,1.854,1.222,2.092,0.682,2.016,0.922,6.479,7.027,0.899,0.151,0.001,0.497
1983,2.083,0.556,0.193,1.754,2.735,2.003,14.847,9.743,4.939,0.106,0.0,0.485
1984,0.268,1.62,0.048,0.218,0.111,1.388,7.833,9.651,3.252,0.0,0.0,0.198
1985,0.313,0.009,0.046,0.193,0.202,1.36,12.2,7.78,6.082,4.231,0.0,1.396
1986,0.21,1.935,0.533,0.242,1.251,3.167,6.687,5.075,1.233,0.87,0.192,0.597
1987,0.752,1.511,0.142,0.136,1.285,0.404,1.205,3.834,1.3,0.476,0.0,0.21
1988,0.084,0.975,1.312,0.42,0.36,2.559,12.524,7.174,3.471,0.0,0.0,0.162
1989,0.744,0.171,0.456,0.099,0.234,1.336,5.006,7.071,3.839,0.041,0.547,0.807
1990,0.001,4.117,0.175,0.304,0.857,1.993,10.843,7.279,5.742,0.26,0.313,0.704
1991,0.006,1.748,1.542,0.574,0.281,1.262,3.309,7.738,3.396,0.0,0.057,1.127
1992,0.863,0.579,0.106,0.014,0.355,0.608,4.424,8.665,2.992,0.559,0.605,0.0
1993,0.478,0.704,0.416,0.532,0.479,4.225,8.332,4.39,5.796,0.0,0.008,0.003
1994,1.287,1.287,0.049,0.5,0.407,1.305,10.016,8.549,0.793,0.005,0.0,0.003
1995,2.1,1.237,0.466,0.165,0.057,1.743,6.309,9.646,4.607,0.067,0.018,0.035
1996,0.64,3.965,0.328,0.175,0.34,9.18,5.518,14.103,4.264,0.082,0.0,0.0
1997,0.851,0.221,0.292,1.617,1.154,3.177,10.125,6.298,1.55,2.485,1.89,1.303
1998,0.018,1.375,2.001,1.136,1.166,3.587,10.879,10.418,4.336,2.974,0.108,0.0
1999,1.085,0.049,0.0,0.005,0.533,1.54,7.936,5.031,7.32,1.187,0.0,0.004
2000,0.892,1.698,0.351,0.247,0.976,6.087,9.669,6.02,0.78,0.0,0.033,0.001
2001,0.157,0.296,0.475,0.919,1.972,4.22,6.391,3.293,0.754,0.214,0.229,0.004
2002,1.081,1.802,0.18,0.758,0.783,0.96,1.607,8.67,9.952,0.085,0.003,0.924
2003,1.339,2.155,0.247,0.309,0.16,1.802,10.434,7.575,9.216,0.0,0.013,0.252
2004,1.143,0.015,0.008,1.589,0.183,1.154,3.257,6.041,1.921,1.67,0.476,0.061
2005,1.329,2.093,1.137,0.147,0.345,5.768,10.341,2.258,6.383,0.075,0.036,0.015
2006,0.051,0.051,1.224,0.075,0.659,4.746,11.062,3.389,1.635,0.33,0.013,0.196
2007,0.042,3.98,2.048,0.241,0.389,2.894,7.578,6.818,2.572,0.062,0.023,0.22
2008,0.017,0.237,0.3,0.348,1.772,9.87,6.618,9.641,3.934,0.283,0.027,0.0
2009,0.051,0.421,0.291,0.654,0.703,0.348,3.785,4.164,5.387,1.227,0.391,0.005
2010,0.322,0.754,0.051,0.042,1.058,0.389,10.624,9.133,12.262,0.373,0.408,0.353
2011,0.022,1.347,0.458,0.354,0.595,8.296,8.976,12.576,4.643,0.04,0.0,0.224
2012,0.559,0.039,0.239,0.579,0.003,0.085,7.9,12.439,3.01,0.075,0.032,0.469
2013,0.547,4.143,0.349,0.242,0.057,3.255,14.59,8.968,3.726,0.556,0.091,0.573
2014,2.337,1.281,0.668,0.224,0.445,0.716,6.988,5.655,4.037,0.677,0.0,0.545
2015,0.966,1.788,2.889,1.694,0.512,2.176,10.189,5.554,1.473,0.44,0.175,0.021
2016,0.031,0.404,1.378,0.033,1.792,2.359,12.926,7.408,1.133,0.695,0.0,0.027
2017,1.903,0.142,0.948,0.188,0.276,3.103,7.171,8.778,5.904,0.0,0.017,0.107
2018,0.238,0.225,0.179,0.493,0.363,2.155,6.8,7.588,5.455,0.127,0.113,0.044
2019,0.842,1.857,0.628,1.038,0.301,0.474,9.98,8.13,4.64,0.219,1.13,1.029
2020,2.68,2.007,2.468,0.85,1.012,0.994,6.638,8.59,1.069,0.0,0.367,0.041
2021,1.689,1.748,0.285,0.224,3.26,1.081,14.515,4.869,5.505,3.232,0.008,0.418
2022,1.689,1.748,0.006,0.076,1.056,0.785,5.534,3.45,5.734,5.416,0.009,0.0
2023,0.462,0.003,1.981,0.597,1.787,3.421,10.238,4.995,4.001,0.067,0.102,0.093
