Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.01,0.533,0.223,0.089,2.328,10.398,18.475,12.2,6.736,0.964,0.012,0.372
1981,1.481,0.156,0.371,1.107,2.668,4.601,15.244,8.152,11.554,0.027,0.572,0.012
1982,0.534,0.203,1.849,0.233,1.712,6.396,9.02,9.705,5.945,0.236,0.524,0.064
1983,0.623,0.033,0.176,0.989,3.147,5.08,13.709,12.409,10.73,2.101,0.0,0.977
1984,0.601,0.754,0.045,0.351,1.779,15.756,12.3,7.784,8.443,0.265,0.0,0.07
1985,0.514,0.009,0.0,0.17,1.027,4.326,19.008,6.991,10.382,4.513,0.076,1.327
1986,0.032,0.676,0.051,0.254,1.313,4.944,16.358,8.121,9.87,1.653,0.033,1.325
1987,0.116,0.319,0.125,0.51,1.187,3.152,20.249,10.452,9.674,3.774,0.0,0.404
1988,0.084,0.47,0.364,0.525,0.906,5.397,13.418,12.787,4.359,0.416,0.012,1.343
1989,0.391,0.176,0.209,0.006,1.542,5.042,15.921,9.017,11.124,0.688,0.048,0.144
1990,0.004,1.68,0.476,0.875,6.409,5.897,18.269,12.259,10.472,1.184,0.0,0.335
1991,0.312,0.569,0.407,0.333,0.96,10.277,8.307,10.907,6.442,0.075,0.064,2.432
1992,0.264,0.25,0.036,0.126,2.536,5.026,10.423,8.484,3.103,0.986,0.024,0.048
1993,0.496,0.566,2.024,1.049,2.992,5.745,10.39,10.761,13.925,0.335,0.041,0.0
1994,1.688,1.94,0.136,0.5,1.002,6.36,6.903,9.535,9.883,0.106,0.05,0.003
1995,0.653,1.582,0.649,0.028,0.886,11.729,11.021,9.241,10.936,0.412,2.802,0.274
1996,1.813,2.42,0.088,0.386,0.371,8.585,13.699,15.28,12.643,4.458,0.0,0.0
1997,0.399,0.097,0.1,1.004,1.166,14.313,13.616,9.934,7.13,0.734,0.203,3.005
1998,0.299,0.827,2.178,1.004,1.192,6.576,13.858,20.396,8.536,2.959,0.36,0.004
1999,0.196,0.005,0.005,0.299,4.061,11.044,16.809,15.841,5.158,2.163,0.012,0.145
2000,0.104,0.933,1.184,0.649,3.497,21.501,11.482,7.436,5.994,0.051,0.003,0.033
2001,0.046,0.451,0.291,0.412,3.919,16.073,10.882,8.616,11.33,11.354,0.07,0.0
2002,0.787,0.703,0.312,0.743,2.526,6.172,13.279,8.479,7.957,1.053,0.278,0.587
2003,0.363,1.513,0.615,0.942,0.487,13.459,15.596,23.669,11.863,0.202,0.0,0.129
2004,1.496,0.008,0.004,0.787,2.006,8.495,14.592,7.042,5.106,1.889,0.01,0.003
2005,1.708,0.421,0.148,0.399,0.523,3.103,16.724,13.351,3.94,2.297,0.003,0.021
2006,0.0,0.035,0.469,1.139,3.425,8.235,10.101,12.393,4.74,0.672,0.07,0.585
2007,0.006,5.303,0.98,1.132,2.518,9.138,22.95,9.754,12.424,1.578,0.046,0.026
2008,0.144,0.176,0.039,0.514,3.562,14.801,14.456,13.966,6.332,1.097,0.037,0.014
2009,0.006,0.04,0.148,0.027,3.149,4.846,12.298,12.231,6.334,1.6,0.008,0.104
2010,0.237,0.605,0.085,0.068,1.017,3.247,14.033,15.313,8.541,1.584,0.035,0.157
2011,0.061,0.706,0.107,0.474,3.989,6.388,11.283,12.594,9.713,0.408,0.348,0.116
2012,0.727,0.301,0.373,0.303,0.17,3.17,14.35,11.185,7.969,0.367,0.0,0.015
2013,0.44,2.184,0.049,2.325,1.596,17.252,10.542,9.429,3.69,10.67,0.032,0.073
2014,0.917,2.261,0.373,0.067,1.033,5.997,9.517,10.596,8.917,3.857,0.001,0.568
2015,1.253,0.166,1.898,2.727,0.497,5.261,15.764,9.574,3.121,1.854,0.008,0.023
2016,0.185,0.127,0.803,0.015,2.778,5.24,17.772,8.778,10.459,2.941,0.003,0.093
2017,0.3,0.035,1.045,0.509,3.58,6.283,14.474,17.782,5.412,0.497,0.009,0.001
2018,0.09,0.086,0.12,0.809,1.224,4.439,16.276,16.536,4.919,0.214,0.0,0.014
2019,0.609,1.577,0.331,1.058,0.206,3.986,20.378,9.741,15.434,0.976,0.089,1.218
2020,2.209,1.563,1.465,2.276,1.81,12.88,20.138,6.517,14.314,0.257,0.0,0.0
2021,0.776,1.501,0.107,0.299,12.926,21.665,10.369,12.584,9.174,4.879,0.008,1.424
2022,0.776,1.501,0.012,0.13,2.132,12.215,9.308,8.129,10.866,4.254,0.041,0.028
2023,0.004,0.003,1.224,0.274,1.59,5.397,11.198,7.326,7.055,2.328,0.058,0.05
