Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.003,0.022,0.215,0.659,0.121,5.111,6.808,7.096,3.211,0.106,0.218,0.169
1981,1.559,0.0,0.736,0.136,0.255,2.436,3.855,4.663,6.19,1.348,0.2,0.013
1982,0.068,0.004,0.005,0.331,0.494,2.704,3.033,2.786,4.748,2.987,0.502,0.005
1983,0.0,0.077,0.004,0.046,0.242,3.432,7.864,15.452,7.377,5.073,0.09,0.489
1984,0.265,0.42,0.023,0.209,0.031,4.246,7.691,2.709,3.262,2.41,0.351,0.08
1985,1.074,0.003,0.564,0.179,0.246,4.187,4.841,1.984,0.86,2.776,0.008,0.127
1986,1.084,0.881,0.01,0.314,0.43,3.821,4.025,5.969,1.244,0.791,0.416,0.485
1987,0.667,0.008,0.171,0.033,0.59,3.7,4.581,5.709,0.507,3.532,4.855,0.187
1988,0.0,0.046,0.003,0.695,0.337,4.349,6.684,6.744,7.614,0.35,0.075,1.138
1989,0.001,0.0,0.747,0.032,0.193,14.149,9.743,6.525,4.14,0.518,0.062,0.654
1990,0.013,0.013,0.026,0.314,5.611,7.732,3.623,12.475,3.489,3.905,0.626,0.076
1991,0.042,0.131,0.207,0.879,0.255,6.303,7.086,2.634,1.285,0.548,2.019,0.005
1992,0.0,0.0,0.013,0.344,0.376,6.535,2.413,7.72,2.717,0.953,0.901,0.0
1993,0.0,0.153,0.241,0.397,0.342,3.311,9.236,3.916,3.582,2.874,0.091,0.3
1994,0.165,0.097,0.026,0.794,0.152,5.526,6.957,6.141,2.333,6.674,1.012,0.0
1995,2.478,0.021,0.684,0.532,0.546,2.74,6.78,4.138,5.431,10.423,0.288,0.003
1996,0.023,0.075,0.015,0.778,0.116,2.76,6.641,7.241,5.346,2.505,0.166,0.058
1997,0.802,0.0,0.393,0.608,0.324,2.275,5.667,2.348,3.45,0.729,1.938,1.118
1998,0.147,0.098,0.095,0.386,0.43,4.014,9.437,6.527,5.727,3.492,0.373,0.0
1999,0.0,0.014,0.003,0.003,1.478,3.942,5.575,5.078,4.612,1.671,0.005,0.005
2000,0.004,0.514,0.0,0.093,1.47,9.455,3.654,10.341,0.667,0.615,0.044,0.051
2001,0.173,0.0,0.08,0.971,0.136,4.009,2.222,7.936,4.843,2.526,0.084,0.0
2002,0.586,0.08,0.028,0.202,0.296,7.709,2.111,9.069,4.411,1.445,0.026,0.0
2003,0.041,0.088,0.966,0.358,0.0,4.552,7.758,8.902,2.626,4.116,0.021,0.118
2004,0.642,0.585,0.109,0.448,1.748,2.029,7.56,3.698,4.671,2.572,0.299,0.0
2005,2.159,0.019,0.825,0.371,0.113,2.14,10.253,3.77,11.773,3.772,0.0,0.075
2006,0.0,0.0,1.934,1.26,1.779,3.821,6.141,8.332,6.512,1.202,1.934,0.0
2007,0.0,0.001,0.004,0.239,0.427,8.16,3.353,5.436,6.435,0.8,0.131,0.006
2008,0.0,0.48,2.768,0.554,0.084,2.732,5.142,9.378,7.843,1.408,1.217,0.196
2009,0.0,0.0,0.095,0.107,0.603,2.312,6.697,4.439,6.301,2.874,1.259,0.061
2010,0.533,0.094,0.044,0.18,0.124,3.002,12.681,10.923,6.746,4.153,1.544,0.164
2011,0.003,0.108,0.014,0.29,0.228,1.918,10.034,7.854,2.5,1.11,0.026,0.064
2012,0.076,0.001,0.049,0.564,0.144,3.031,6.479,5.415,4.72,4.142,0.982,0.188
2013,0.051,0.578,0.055,0.399,0.098,6.692,14.371,4.766,5.243,4.419,0.555,0.077
2014,0.014,0.493,0.877,0.348,1.092,1.03,6.151,11.229,3.229,1.239,0.856,0.094
2015,0.385,0.089,0.803,3.322,0.574,6.18,0.968,3.896,4.318,0.651,0.008,0.021
2016,0.015,0.072,0.371,0.265,0.662,7.588,10.542,3.286,12.058,1.635,0.0,0.051
2017,0.003,0.0,0.373,0.057,0.426,8.446,4.882,7.066,3.538,3.337,0.018,0.0
2018,0.0,0.037,0.154,0.52,0.386,4.537,7.246,9.692,1.828,0.426,0.054,0.672
2019,0.23,0.01,0.023,0.113,0.051,3.834,6.484,6.403,6.463,4.818,0.816,0.422
2020,0.125,0.278,0.494,0.117,0.42,5.917,6.872,7.681,6.672,5.552,0.252,0.0
2021,0.525,0.003,0.035,0.456,0.669,3.801,6.767,5.031,10.712,1.123,0.964,0.03
2022,0.525,0.003,0.03,0.219,0.569,4.225,16.528,6.234,5.889,3.153,0.026,0.502
2023,0.026,0.0,1.657,2.353,0.476,1.878,14.402,1.094,7.676,0.221,0.771,0.202
