Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.014,0.032,0.018,0.003,0.075,20.391,4.352,9.342,1.13,0.006,0.009,1.011
1981,0.03,0.001,0.124,0.054,0.054,3.886,7.171,8.732,3.43,0.9,0.051,0.279
1982,0.802,0.108,0.049,0.063,0.227,1.627,7.938,13.588,0.899,0.596,2.634,0.0
1983,0.015,0.0,0.0,0.051,0.301,2.822,5.863,10.385,6.739,1.383,0.001,0.058
1984,1.743,0.044,0.006,0.008,0.0,2.253,6.337,15.486,1.138,0.01,0.0,0.0
1985,0.033,0.0,0.039,0.012,0.129,1.13,8.809,11.613,1.609,3.367,0.0,0.033
1986,0.022,1.311,0.005,0.012,0.17,10.39,13.15,8.611,0.386,0.07,0.0,0.057
1987,1.354,0.131,0.046,0.013,0.16,1.941,2.292,15.493,0.43,1.867,0.071,0.664
1988,0.008,0.014,0.0,0.205,0.216,3.018,12.56,14.046,4.269,3.597,0.015,0.0
1989,0.005,0.0,0.475,0.003,0.082,4.988,7.91,16.57,1.491,0.0,0.004,0.097
1990,0.039,0.162,0.009,0.0,1.566,5.691,6.489,12.854,6.975,0.389,0.171,0.16
1991,0.008,0.006,0.082,0.097,0.044,3.131,12.803,13.063,0.585,0.0,0.162,0.0
1992,0.0,0.0,0.005,0.024,0.525,2.263,6.113,8.492,3.051,1.033,0.014,0.0
1993,0.0,0.04,0.184,0.059,0.324,5.585,12.854,9.012,6.131,0.379,0.013,0.045
1994,0.214,0.388,0.0,0.081,0.224,13.531,10.22,10.076,9.888,0.238,0.197,0.0
1995,1.056,0.006,0.158,0.071,0.051,3.68,8.626,9.259,4.766,0.891,0.0,0.435
1996,0.243,0.018,0.112,0.085,0.188,2.068,23.416,8.25,5.737,2.066,0.187,0.003
1997,0.174,0.0,0.005,0.121,0.098,8.902,17.396,18.9,2.397,0.991,1.969,3.687
1998,0.27,0.01,0.111,0.134,0.051,4.856,6.303,5.564,7.254,2.176,0.505,0.0
1999,0.0,1.625,0.0,0.0,0.265,7.627,9.949,6.87,6.466,2.4,0.0,0.0
2000,0.0,0.0,0.0,0.1,2.315,3.141,6.471,4.995,1.367,0.008,0.0,0.433
2001,0.0,0.003,0.112,0.026,0.538,8.662,6.388,6.149,0.461,1.662,0.0,0.0
2002,0.0,1.275,0.031,0.04,0.342,7.748,1.542,12.316,3.139,0.206,0.296,0.0
2003,0.057,0.197,0.003,0.01,0.008,9.643,12.179,6.654,7.187,0.04,0.0,0.046
2004,0.299,0.0,0.0,0.035,0.106,6.414,10.766,11.276,0.981,0.815,0.232,0.0
2005,0.326,0.397,0.124,0.041,0.028,3.641,12.303,4.267,6.275,0.07,0.0,0.0
2006,0.0,0.0,2.248,0.003,0.525,1.576,16.423,23.584,5.608,0.466,0.044,0.008
2007,0.008,0.125,0.0,0.148,0.335,4.089,25.368,11.556,5.94,0.0,0.051,0.009
2008,0.0,0.009,0.127,0.041,0.188,3.958,15.977,6.916,4.462,0.515,0.125,0.009
2009,0.122,0.0,0.049,0.014,0.332,0.963,15.148,9.396,3.479,3.548,3.795,0.452
2010,0.035,0.046,0.028,0.0,0.116,3.038,10.516,12.723,4.372,0.577,1.062,0.035
2011,0.0,0.008,0.0,0.053,0.041,4.97,14.159,11.525,4.686,0.014,0.0,0.051
2012,0.027,0.0,0.0,0.013,0.255,0.901,18.642,16.595,6.558,0.05,0.0,0.0
2013,0.139,0.753,0.287,0.188,0.026,13.395,19.024,14.904,3.996,1.931,0.001,0.024
2014,0.785,0.802,0.456,0.008,0.015,0.319,18.944,7.133,4.305,0.209,0.48,0.901
2015,0.809,0.418,1.769,0.391,0.059,6.077,14.798,8.739,1.439,0.144,0.049,0.0
2016,0.093,0.008,0.234,0.003,0.265,4.287,18.277,13.423,4.225,1.694,0.0,0.0
2017,0.014,0.041,0.0,0.0,0.153,3.383,14.196,6.224,5.701,0.52,0.004,0.037
2018,0.0,0.086,0.055,0.039,0.046,4.084,8.827,9.656,4.037,0.018,0.0,0.0
2019,0.017,0.04,0.024,0.286,0.157,2.343,13.897,13.691,24.48,1.88,0.496,0.225
2020,0.183,0.042,0.145,0.048,0.033,4.988,3.847,21.181,5.472,0.268,0.006,0.626
2021,0.16,0.003,0.138,0.028,0.505,2.657,10.096,7.359,9.604,3.077,0.013,0.205
2022,0.16,0.003,0.081,0.005,0.005,1.596,16.173,11.785,5.655,1.882,0.0,0.059
2023,0.113,0.0,0.731,0.482,0.227,5.54,15.944,3.811,14.044,0.013,1.931,0.202
