Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.12,0.05,0.263,0.183,0.103,17.775,15.141,12.911,2.482,0.228,0.035,0.887
1981,0.418,0.008,1.514,0.111,0.518,6.046,9.087,7.326,5.199,0.17,0.05,0.505
1982,2.902,0.839,0.248,0.17,0.839,2.753,12.8,12.55,5.129,0.359,0.752,0.013
1983,0.111,0.438,0.004,0.268,0.154,6.898,10.174,11.093,7.624,2.678,0.0,0.565
1984,3.543,2.014,0.005,0.121,0.0,4.316,5.379,17.455,1.473,0.013,0.001,0.77
1985,4.556,0.055,0.196,0.305,0.176,4.552,7.926,9.661,4.135,2.559,0.0,0.113
1986,0.189,4.22,0.554,0.039,0.203,6.97,10.81,7.959,1.787,0.655,0.106,1.799
1987,2.204,1.452,0.197,0.008,0.314,1.282,6.092,8.183,2.31,1.969,1.775,0.263
1988,0.416,0.754,0.238,0.344,0.036,5.508,13.629,7.055,4.707,1.156,0.138,0.059
1989,0.0,0.0,0.994,0.003,0.088,7.053,7.176,12.125,2.518,0.082,0.079,1.052
1990,0.138,1.302,0.115,0.166,2.047,14.288,8.585,10.858,8.605,1.742,0.001,0.619
1991,0.34,0.469,0.789,0.255,0.005,3.801,11.906,18.377,0.585,0.245,0.588,0.028
1992,0.01,0.001,0.227,0.355,0.422,1.264,7.709,10.107,4.465,0.353,0.296,0.0
1993,0.001,1.196,1.3,0.295,0.224,5.513,10.475,12.535,15.334,1.571,0.006,0.086
1994,0.854,0.336,0.001,0.518,0.049,6.412,14.461,20.005,6.633,2.302,0.097,0.0
1995,1.03,1.04,3.081,0.474,0.18,3.044,12.082,8.121,4.867,0.729,0.111,0.926
1996,2.111,1.421,0.345,0.373,0.059,3.26,11.783,11.343,4.035,3.434,0.051,0.0
1997,0.497,0.0,0.031,0.389,0.283,2.378,33.363,13.84,5.433,3.327,2.025,2.374
1998,0.451,0.402,0.796,0.219,0.34,4.014,13.616,8.229,9.041,1.908,1.643,0.0
1999,0.086,2.316,0.0,0.003,0.317,6.749,11.803,7.998,16.943,3.564,0.042,0.017
2000,0.006,0.224,0.143,0.044,1.985,7.287,15.952,6.236,1.813,0.015,0.0,0.317
2001,0.276,0.018,0.966,1.084,1.058,9.622,13.418,8.33,0.561,3.996,0.066,0.0
2002,0.187,1.717,0.051,0.077,0.201,6.592,3.6,15.383,5.621,1.375,0.16,0.116
2003,0.021,2.647,0.314,0.121,0.005,4.769,11.039,13.719,11.464,1.069,0.023,0.42
2004,1.936,0.015,0.028,0.158,0.191,4.91,9.682,11.595,2.946,1.401,0.502,0.003
2005,2.046,0.37,0.456,0.082,0.064,6.144,20.46,4.583,7.887,1.432,0.0,0.187
2006,0.0,0.001,2.92,0.463,0.618,2.034,17.067,14.371,5.356,0.42,0.332,0.0
2007,0.009,0.267,0.463,0.254,0.149,7.449,10.145,11.098,10.709,0.026,0.541,0.198
2008,0.035,0.054,0.632,0.085,0.088,8.747,8.381,7.189,5.049,1.148,0.637,0.004
2009,0.614,0.0,0.193,0.067,0.129,3.033,14.09,7.751,6.942,2.72,2.343,0.767
2010,0.224,1.387,0.041,0.023,0.044,4.213,14.234,10.058,5.515,1.609,1.138,0.211
2011,0.0,0.125,0.113,0.605,0.104,13.766,15.547,11.464,9.625,0.049,0.0,0.255
2012,1.99,0.127,0.003,0.161,0.129,1.658,14.852,12.692,4.825,0.888,0.444,0.379
2013,0.09,1.331,0.814,0.559,0.0,12.573,22.397,12.658,2.789,4.025,0.008,0.006
2014,0.568,3.116,0.824,0.286,0.129,0.785,9.903,8.206,4.068,0.924,0.301,0.861
2015,0.664,0.942,2.526,1.401,0.417,7.163,8.34,9.35,3.955,1.89,0.064,0.152
2016,1.272,0.452,0.863,0.126,0.489,5.199,19.472,10.817,7.668,1.434,0.0,0.0
2017,0.267,0.233,0.017,0.021,0.488,6.79,12.326,6.551,6.126,1.735,0.108,0.001
2018,0.0,1.071,0.104,0.524,0.09,5.884,14.108,8.25,3.253,0.027,0.013,0.299
2019,0.778,0.308,0.578,0.196,0.103,3.569,11.597,13.182,13.729,2.086,0.112,1.038
2020,1.497,1.075,1.616,0.243,0.224,7.241,8.232,15.795,6.996,1.069,0.031,0.224
2021,1.099,0.145,0.173,0.126,1.414,4.728,9.937,9.355,11.657,1.442,0.033,0.489
2022,1.099,0.145,0.039,0.005,0.08,5.805,14.77,19.734,8.227,3.472,0.0,0.167
2023,0.018,0.0,1.241,1.851,0.899,5.034,11.345,10.248,7.46,0.196,1.175,0.578
