Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.685,0.839,0.588,0.364,0.409,5.075,10.462,5.013,1.535,1.455,1.035,1.379
1981,3.211,1.445,4.784,0.157,1.04,1.141,11.626,4.287,1.728,0.068,1.941,0.001
1982,1.345,2.951,3.875,2.926,3.62,1.187,3.033,6.981,0.551,0.963,1.048,1.277
1983,2.959,2.104,1.457,6.409,2.495,0.863,8.093,8.371,2.946,0.484,0.054,0.3
1984,0.413,3.677,1.312,0.842,0.285,2.719,7.673,7.287,5.037,0.021,0.654,1.322
1985,0.716,0.406,0.294,1.483,0.259,2.343,9.633,6.45,0.927,1.088,0.273,3.951
1986,0.091,2.532,1.244,1.732,1.46,3.965,4.31,6.733,1.28,1.096,1.367,2.23
1987,0.326,3.829,2.227,0.767,7.714,0.96,2.044,3.046,0.708,1.188,0.0,0.072
1988,0.536,1.271,5.839,0.778,0.422,2.248,12.918,4.254,22.497,0.057,0.041,1.769
1989,1.137,0.641,1.912,0.221,0.476,0.86,5.989,4.831,0.559,0.023,0.511,1.022
1990,0.626,3.653,4.484,0.756,0.646,1.741,7.57,7.985,3.571,0.135,0.515,3.373
1991,0.18,4.103,4.359,2.61,0.564,3.541,3.201,7.606,1.416,0.188,0.093,1.102
1992,3.398,1.613,1.658,0.726,1.452,0.899,5.788,4.813,4.104,0.621,0.518,0.412
1993,0.775,1.202,2.509,1.183,0.703,3.262,10.403,2.055,2.279,0.023,0.465,0.005
1994,1.424,2.079,0.261,1.846,0.955,3.62,11.108,7.277,2.84,0.229,0.003,1.869
1995,1.559,3.879,2.241,0.621,0.118,5.196,7.485,9.092,3.476,0.162,0.417,0.214
1996,1.217,5.689,1.657,0.631,0.605,5.827,7.22,9.002,2.271,1.018,0.0,0.061
1997,0.937,0.815,1.495,3.141,2.155,3.32,11.358,6.751,1.591,2.202,1.215,1.316
1998,0.391,3.708,2.253,2.335,0.798,1.342,10.951,3.669,3.159,1.447,0.008,0.028
1999,3.09,0.637,0.273,0.085,1.094,1.396,6.141,5.348,2.047,0.041,0.201,0.0
2000,2.884,2.518,0.724,0.245,0.803,1.931,5.361,5.145,1.581,0.041,0.09,0.404
2001,0.263,0.512,1.029,2.317,1.112,7.109,9.782,3.61,1.066,0.045,0.021,0.359
2002,0.632,1.172,1.282,0.792,0.865,1.746,2.539,5.294,2.534,0.337,0.157,0.281
2003,1.275,5.476,2.261,0.291,0.216,1.79,6.96,6.587,2.75,0.0,1.179,1.46
2004,2.095,0.971,0.0,2.474,0.281,1.622,2.05,5.5,0.821,1.448,0.677,1.15
2005,1.613,4.532,3.448,0.252,1.063,2.384,5.078,3.301,2.104,0.07,0.093,0.004
2006,1.19,0.493,1.717,0.129,0.497,1.519,6.419,6.715,2.446,1.215,0.34,0.906
2007,0.018,5.28,3.85,0.09,0.433,5.832,6.038,4.231,1.257,0.051,0.057,0.57
2008,1.721,1.048,0.144,1.844,1.035,6.188,7.086,6.028,1.893,0.636,0.055,0.263
2009,1.36,0.803,0.913,0.568,0.566,0.878,4.274,7.753,1.702,0.381,0.803,0.024
2010,0.315,0.527,0.126,0.216,0.497,0.597,7.076,6.638,3.672,1.007,0.001,1.156
2011,0.824,1.67,0.794,0.781,0.792,3.332,5.039,7.243,4.936,0.086,0.01,0.376
2012,1.632,1.11,0.154,1.15,0.27,0.435,2.943,6.427,4.316,0.042,0.239,1.278
2013,0.483,6.31,1.264,0.322,0.371,5.734,3.798,8.368,1.38,0.721,0.46,0.124
2014,1.09,1.575,4.403,0.924,1.146,1.838,6.636,2.642,6.17,0.788,0.206,0.507
2015,1.208,3.81,5.742,1.985,0.603,2.508,8.407,5.752,1.9,1.195,1.025,0.075
2016,1.239,0.324,2.511,0.335,0.747,2.39,5.575,4.815,0.36,0.185,0.039,0.048
2017,4.434,1.54,1.555,0.397,0.685,4.205,6.672,4.48,0.778,0.008,1.278,0.968
2018,0.501,1.623,0.691,1.087,0.749,3.293,6.239,4.511,6.581,0.22,0.458,0.809
2019,2.15,4.888,1.084,1.396,0.685,0.664,7.511,6.244,1.64,0.198,2.951,1.029
2020,1.992,2.894,4.265,1.675,2.737,0.806,5.374,6.46,1.282,0.0,1.155,0.726
2021,3.761,2.45,0.86,1.669,1.841,0.345,12.427,1.826,4.053,4.177,0.005,0.18
2022,3.761,2.45,0.153,0.265,0.989,3.036,10.305,1.978,4.493,0.229,0.926,0.211
2023,1.209,0.228,2.131,0.995,2.357,2.576,8.227,1.699,3.322,0.839,1.139,0.024
