Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.028,0.0,0.0,0.001,0.077,7.83,3.335,4.892,0.649,0.046,0.109,0.807
1981,0.261,0.059,0.164,0.026,0.136,2.032,5.886,6.754,5.137,0.93,0.068,0.33
1982,1.057,0.024,0.067,0.028,0.149,1.669,3.353,4.236,1.715,0.931,1.914,0.0
1983,0.067,0.0,0.0,0.054,0.044,1.99,9.566,11.845,5.235,2.032,0.004,0.012
1984,0.158,0.01,0.0,0.0,0.0,2.614,2.91,6.491,2.822,0.986,0.0,0.001
1985,0.004,0.0,0.082,0.017,0.081,0.574,7.949,2.442,0.353,1.84,0.003,0.037
1986,0.006,0.313,0.0,0.0,0.095,3.474,8.652,4.274,0.35,0.005,0.219,0.174
1987,0.082,0.324,0.012,0.0,0.149,2.137,2.248,7.815,0.219,2.386,0.913,0.684
1988,0.0,0.001,0.001,0.218,0.026,2.379,7.928,12.537,9.97,1.259,0.01,0.0
1989,0.031,0.0,0.914,0.006,0.242,5.299,7.4,13.933,2.632,0.013,0.003,0.174
1990,0.14,0.035,0.0,0.0,2.531,1.669,7.357,22.556,7.024,2.968,0.215,0.115
1991,0.01,0.0,0.015,0.227,0.033,9.051,8.338,3.059,0.348,0.0,0.572,0.017
1992,0.0,0.001,0.0,0.0,0.046,5.616,4.357,9.622,4.007,1.385,0.033,0.0
1993,0.0,0.009,0.165,0.0,0.245,2.436,7.259,6.363,6.45,2.791,0.236,0.604
1994,0.282,0.022,0.0,0.138,0.157,7.266,6.576,5.904,2.189,0.686,1.013,0.0
1995,0.955,0.008,0.376,0.136,0.082,1.112,7.369,2.402,5.842,1.944,0.005,0.077
1996,0.055,0.049,0.036,0.08,0.059,2.238,9.762,7.158,2.977,3.189,0.243,0.0
1997,0.604,0.0,0.032,0.237,0.113,3.783,8.536,8.629,1.079,1.272,2.256,3.188
1998,0.077,0.028,0.023,0.062,0.036,2.547,4.46,4.653,6.71,1.295,0.778,0.0
1999,0.0,0.77,0.0,0.0,0.561,15.854,4.547,4.264,4.54,3.492,0.0,0.001
2000,0.0,0.08,0.0,0.01,1.699,3.283,4.887,3.52,1.187,0.219,0.0,0.72
2001,0.003,0.0,0.124,0.031,0.265,5.333,3.901,4.758,1.831,3.662,0.0,0.0
2002,0.045,0.592,0.085,0.088,0.026,9.553,1.475,9.442,3.44,2.598,0.054,0.0
2003,0.028,0.25,0.0,0.059,0.01,3.489,7.302,8.804,5.758,0.178,0.01,0.018
2004,0.093,0.0,0.0,0.004,0.597,4.565,7.521,18.014,2.104,0.993,0.551,0.0
2005,0.133,0.106,0.051,0.095,0.062,2.518,7.483,8.338,6.11,0.206,0.0,0.0
2006,0.0,0.0,0.815,0.005,0.18,5.428,10.395,9.926,4.254,0.93,0.203,0.064
2007,0.004,0.012,0.0,0.135,0.062,5.649,13.178,13.92,7.905,0.014,0.706,0.022
2008,0.0,0.006,0.079,0.045,0.012,3.051,4.367,7.143,6.911,0.955,0.623,0.042
2009,0.032,0.0,0.089,0.004,0.054,1.04,11.358,4.434,3.301,3.356,4.086,0.104
2010,0.081,0.032,0.09,0.055,0.051,2.611,7.135,10.943,3.293,1.357,1.73,0.014
2011,0.0,0.027,0.01,0.019,0.063,1.463,8.858,11.121,3.811,0.145,0.0,0.0
2012,0.013,0.0,0.0,0.094,0.175,1.643,7.833,4.285,7.457,0.68,0.001,0.0
2013,0.018,0.214,0.064,0.144,0.013,9.265,13.567,8.008,11.216,1.638,0.037,0.207
2014,0.23,0.533,1.137,0.018,0.021,0.742,8.531,6.285,11.039,0.252,0.752,1.157
2015,0.153,0.37,0.991,0.561,0.088,4.46,3.041,3.082,6.316,0.752,0.6,0.0
2016,0.026,0.08,0.152,0.018,0.252,3.327,11.636,3.723,5.083,1.571,0.0,0.0
2017,0.0,0.009,0.0,0.0,0.129,3.229,6.342,4.949,3.772,1.947,0.028,0.062
2018,0.0,0.032,0.005,0.009,0.009,3.247,6.262,9.241,2.117,0.035,0.103,0.0
2019,0.0,0.0,0.0,0.09,0.0,4.061,11.021,8.846,8.644,7.091,0.843,0.518
2020,0.037,0.005,0.257,0.01,0.039,5.992,7.823,10.475,3.994,1.295,0.003,1.231
2021,0.122,0.001,0.086,0.054,0.247,1.769,3.924,4.934,10.585,1.161,0.42,1.209
2022,0.122,0.001,0.059,0.001,0.013,2.977,15.089,6.332,6.731,3.253,0.0,0.463
2023,0.051,0.0,0.463,0.444,0.018,3.371,9.489,2.356,9.02,0.005,1.72,0.125
