Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.037,0.005,0.135,0.269,0.098,7.534,5.34,8.338,1.99,0.005,0.061,0.335
1981,0.688,0.0,0.251,0.046,0.384,2.294,3.888,4.326,7.169,1.175,0.032,0.16
1982,0.286,0.012,0.039,0.148,0.124,5.606,3.129,3.893,3.463,1.497,1.38,0.005
1983,0.003,0.01,0.001,0.095,0.003,2.82,9.445,11.427,6.592,3.298,0.024,0.708
1984,0.157,0.335,0.028,0.027,0.0,3.543,5.016,3.407,3.443,2.338,0.33,0.642
1985,0.073,0.0,0.376,0.084,0.093,1.867,5.258,2.666,1.594,2.847,0.0,0.01
1986,0.202,0.439,0.003,0.001,0.142,4.764,7.31,9.36,0.785,0.116,0.51,1.477
1987,0.176,0.062,0.057,0.003,0.239,3.407,2.729,7.557,1.2,4.99,2.057,0.31
1988,0.0,0.008,0.0,0.281,0.268,3.659,9.169,5.338,7.892,0.874,0.143,0.068
1989,0.0,0.0,1.799,0.037,0.373,7.31,7.707,10.696,4.957,0.695,0.037,0.552
1990,0.094,0.003,0.003,0.001,6.074,5.142,3.937,11.729,1.985,4.664,0.089,0.024
1991,0.044,0.049,0.008,0.394,0.075,15.931,8.132,2.747,0.26,0.003,0.43,0.0
1992,0.0,0.0,0.021,0.041,0.09,8.899,3.041,8.389,2.711,0.922,0.363,0.0
1993,0.0,0.088,0.471,0.049,0.134,6.164,10.341,8.258,4.009,2.585,0.183,1.479
1994,0.18,0.012,0.0,0.816,0.247,5.884,7.434,5.909,2.016,1.591,0.866,0.0
1995,1.479,0.036,0.761,0.166,0.18,4.509,6.53,3.777,5.16,3.45,0.319,0.008
1996,0.013,0.125,0.102,0.18,0.041,2.034,8.855,6.265,5.109,3.759,0.183,0.0
1997,0.673,0.0,0.332,0.203,0.067,2.245,6.751,4.146,2.323,3.432,2.934,1.481
1998,0.051,0.041,0.111,0.023,0.229,4.483,6.036,6.656,7.078,1.779,0.7,0.0
1999,0.0,0.784,0.0,0.0,0.7,9.429,6.471,4.13,6.754,2.544,0.0,0.0
2000,0.0,0.415,0.0,0.008,1.506,10.67,8.641,9.823,1.226,0.108,0.0,0.135
2001,0.036,0.0,0.107,0.178,0.064,5.727,3.095,10.297,2.696,3.923,0.077,0.0
2002,0.161,0.25,0.041,0.221,0.039,10.112,1.823,9.983,4.663,1.473,0.556,0.003
2003,0.01,0.173,0.005,0.139,0.0,5.6,6.903,6.332,3.953,0.829,0.075,0.093
2004,0.236,0.0,0.004,0.121,0.801,2.802,10.359,6.023,5.449,2.89,0.654,0.0
2005,1.226,0.024,1.002,0.227,0.111,2.369,11.639,4.169,6.551,4.872,0.0,0.023
2006,0.0,0.0,2.396,0.136,0.574,5.495,6.347,10.802,5.897,1.048,0.489,0.0
2007,0.0,0.0,0.013,0.149,0.152,6.36,6.038,5.647,6.247,0.487,0.167,0.003
2008,0.0,0.001,0.699,0.188,0.003,2.001,5.526,9.174,10.784,1.141,1.168,0.239
2009,0.004,0.0,0.041,0.026,0.417,2.554,12.792,5.461,9.7,4.739,1.795,0.601
2010,0.304,0.055,0.057,0.032,0.039,5.08,18.509,7.264,6.739,2.469,1.365,0.021
2011,0.0,0.018,0.015,0.057,0.157,1.483,9.823,8.325,3.069,0.685,0.0,0.0
2012,0.008,0.003,0.0,0.063,0.162,1.702,3.677,5.093,5.093,3.291,0.645,0.005
2013,0.019,0.085,0.028,0.118,0.041,10.758,19.06,5.083,7.063,3.316,0.202,0.133
2014,0.057,0.355,2.769,0.211,0.144,0.306,7.447,7.828,6.867,0.641,1.123,0.321
2015,0.178,0.145,0.909,1.944,0.623,4.354,0.747,5.449,13.539,0.371,0.167,0.01
2016,0.003,0.135,0.188,0.139,0.183,4.612,10.475,4.689,10.091,2.245,0.0,0.001
2017,0.0,0.0,0.202,0.0,0.306,7.122,3.095,6.53,5.842,3.085,0.076,0.008
2018,0.0,0.317,0.165,0.104,0.045,8.003,9.823,7.645,0.756,0.049,0.281,0.021
2019,0.013,0.005,0.021,0.216,0.0,3.976,9.986,7.581,9.61,7.081,1.475,0.422
2020,0.246,0.147,0.725,0.035,0.685,7.611,11.376,7.03,7.645,3.685,0.04,0.106
2021,0.178,0.0,0.345,0.221,0.932,3.175,11.886,7.326,10.058,4.187,0.519,0.234
2022,0.178,0.0,0.008,0.006,0.026,4.152,16.474,5.912,6.216,3.474,0.0,0.081
2023,0.028,0.0,0.655,2.72,0.274,1.922,14.304,2.173,10.266,0.008,1.446,0.111
