Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,2.731,7.447,5.183,0.757,0.695,4.774,9.21,6.121,1.651,0.623,3.172,1.442
1981,6.302,4.758,6.227,3.198,1.136,5.0,18.068,8.108,0.739,0.214,1.656,0.064
1982,3.264,7.43,8.07,4.697,3.438,0.42,4.591,9.45,1.012,2.845,1.415,3.152
1983,3.916,4.148,9.217,8.356,2.516,2.464,7.21,12.738,4.413,1.094,0.653,0.523
1984,1.326,8.06,2.513,1.54,0.471,3.273,18.375,18.794,3.172,0.044,0.735,2.699
1985,2.992,0.883,1.009,2.558,1.584,0.682,21.817,8.08,1.11,2.695,0.18,10.148
1986,0.448,6.727,7.825,3.686,1.653,3.327,12.045,8.513,1.066,0.994,4.523,3.838
1987,1.241,3.7,3.08,4.527,7.928,2.196,3.123,5.629,2.039,2.355,0.0,0.219
1988,1.235,5.66,10.311,1.267,0.613,3.054,42.968,9.759,12.074,0.079,0.089,4.292
1989,4.581,4.465,4.94,2.276,2.791,0.494,18.931,5.964,0.651,0.257,0.672,1.754
1990,2.534,8.576,7.572,1.923,0.744,3.909,13.946,11.353,6.157,0.654,0.295,10.296
1991,1.177,5.882,6.372,7.905,1.96,2.026,13.59,15.957,3.435,0.154,0.215,1.353
1992,8.701,6.216,8.368,2.588,1.465,0.85,7.405,8.59,9.965,0.154,1.115,0.824
1993,4.654,4.87,10.423,1.154,1.089,5.477,29.357,2.657,3.896,0.044,3.665,0.014
1994,5.792,6.278,1.976,9.46,1.342,4.004,23.007,12.398,2.106,0.304,0.115,7.466
1995,3.224,7.403,4.713,4.599,0.716,2.474,27.637,13.457,2.122,0.772,1.465,1.17
1996,4.442,5.286,6.479,2.245,1.717,4.738,7.516,12.926,2.534,0.981,0.686,0.351
1997,2.624,2.393,5.385,4.174,3.517,2.507,18.465,22.734,2.456,2.402,4.101,2.456
1998,2.155,9.785,5.562,3.999,1.769,1.751,11.734,9.123,1.851,0.932,0.088,0.0
1999,5.763,1.873,3.013,0.577,0.749,3.183,10.014,8.302,2.642,0.023,1.875,0.009
2000,5.711,3.882,2.91,0.461,0.317,3.708,11.255,9.391,1.329,0.044,0.299,0.725
2001,1.29,2.114,2.109,2.917,0.582,7.743,16.559,3.013,0.76,0.269,0.693,0.881
2002,1.669,4.359,2.41,1.129,0.379,1.936,3.942,17.164,1.625,0.242,0.023,0.757
2003,1.828,10.284,5.152,3.09,1.251,1.697,11.579,8.714,2.462,0.136,1.025,2.863
2004,5.608,1.844,0.252,4.825,0.487,2.843,10.179,12.573,4.506,2.118,0.407,2.776
2005,4.735,13.682,3.293,1.965,1.553,1.568,9.131,3.425,3.136,0.085,0.16,0.024
2006,7.784,2.42,3.512,2.31,0.438,2.48,14.87,13.711,5.515,0.749,1.033,5.443
2007,0.301,8.744,7.655,0.34,0.469,6.157,5.446,7.006,1.514,0.039,0.088,1.186
2008,6.472,4.251,0.48,5.521,1.127,8.737,9.818,9.471,1.344,0.724,1.09,2.513
2009,3.875,5.116,2.18,2.132,1.074,0.659,5.634,6.896,1.321,0.203,1.671,0.254
2010,0.801,5.79,1.105,0.614,2.786,1.509,10.871,13.905,3.479,0.881,0.323,2.247
2011,1.701,8.954,4.07,4.104,0.457,7.357,5.361,12.388,4.46,0.357,0.062,0.837
2012,4.131,6.131,2.892,2.491,0.533,0.216,10.92,9.692,8.531,0.309,0.4,3.615
2013,1.908,10.233,2.433,0.875,1.532,15.962,11.175,15.017,2.217,2.135,0.626,2.427
2014,2.029,5.133,7.136,2.534,3.098,1.733,9.149,4.117,10.155,0.6,0.681,1.747
2015,2.102,9.048,9.048,4.13,1.218,3.056,12.733,5.626,5.289,2.207,0.852,2.186
2016,1.363,2.753,5.912,2.132,0.507,2.225,6.468,6.502,1.39,0.113,0.026,0.524
2017,6.973,4.573,2.106,7.357,1.829,7.82,15.347,7.575,1.004,0.021,0.949,2.478
2018,0.265,2.865,1.214,3.076,0.794,9.306,13.688,7.46,3.19,0.394,1.99,1.008
2019,5.4,10.188,3.152,1.921,0.819,0.471,12.532,9.382,3.551,0.407,4.133,3.208
2020,5.452,0.695,7.633,2.883,2.008,2.601,6.803,14.996,1.643,0.01,1.233,1.725
2021,8.32,3.291,2.664,3.185,1.643,1.367,17.463,2.907,6.321,2.397,0.019,0.672
2022,8.32,3.291,0.69,0.391,1.012,4.543,16.171,12.071,4.498,0.364,1.71,0.63
2023,5.948,1.012,2.615,2.484,4.339,8.887,16.863,7.297,2.335,1.202,0.86,0.054
