Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.26,0.193,1.711,0.96,1.779,12.277,8.021,5.039,6.095,1.154,0.005,0.247
1981,1.445,2.127,0.981,0.86,3.978,7.14,10.403,7.828,6.28,0.112,0.005,0.483
1982,0.52,0.556,1.814,1.707,1.045,6.885,4.558,8.644,1.978,0.807,0.267,0.023
1983,0.059,1.627,0.457,2.364,2.328,3.165,7.47,8.984,6.141,1.895,0.0,0.726
1984,1.115,0.53,0.148,1.327,2.091,24.809,8.049,10.277,2.763,1.408,0.0,0.0
1985,1.275,0.315,0.041,0.268,1.184,5.366,10.67,9.498,6.218,3.766,0.015,0.009
1986,0.573,1.405,0.227,0.718,1.79,10.521,8.296,7.436,4.725,2.803,1.21,0.56
1987,0.533,0.404,0.435,1.329,0.87,2.477,18.931,6.188,4.897,0.411,2.214,0.16
1988,0.015,1.635,0.326,0.887,1.048,13.042,10.483,9.352,4.28,0.568,0.211,0.008
1989,0.005,0.0,0.364,0.046,2.372,10.876,9.924,11.18,7.676,1.231,0.466,0.48
1990,0.004,1.161,1.86,1.645,6.118,10.673,12.996,5.291,7.272,3.725,1.147,0.136
1991,0.61,0.301,1.537,0.667,1.182,5.732,7.03,9.633,7.699,1.857,0.276,1.191
1992,0.274,0.286,0.062,0.668,1.697,4.504,11.546,5.322,3.873,0.698,0.067,0.0
1993,0.022,0.145,0.133,1.603,4.238,11.059,7.629,8.968,8.121,2.384,0.538,0.0
1994,0.648,1.537,0.05,1.6,1.741,25.801,13.433,11.497,5.376,2.09,0.283,0.0
1995,2.16,0.587,0.246,0.452,3.214,5.266,9.885,7.308,6.993,1.79,2.572,0.026
1996,0.533,0.395,0.376,0.646,0.317,11.618,11.039,9.123,4.243,1.155,0.033,0.004
1997,0.793,0.053,0.342,1.72,0.989,13.437,9.586,13.307,4.04,1.838,0.878,1.362
1998,4.874,0.569,1.877,0.824,1.568,5.806,4.985,7.006,7.166,5.307,0.731,0.0
1999,0.0,0.008,0.0,0.026,5.778,12.123,10.4,11.252,8.103,5.217,0.08,0.005
2000,0.031,1.224,0.093,0.96,4.11,6.435,7.151,7.295,6.715,0.533,0.026,0.0
2001,0.057,0.162,1.331,0.881,2.034,11.981,10.052,7.717,4.496,1.721,0.036,0.0
2002,0.485,0.049,0.183,0.559,2.073,14.971,8.348,6.749,8.258,1.02,0.062,0.057
2003,0.064,1.604,2.101,1.293,0.43,11.021,10.027,8.762,7.112,6.363,0.183,1.239
2004,0.31,0.08,0.462,1.049,0.348,7.833,7.951,9.584,6.383,1.902,0.005,0.04
2005,0.7,0.348,0.905,0.25,0.7,7.099,8.907,8.075,4.516,5.0,0.064,0.448
2006,0.166,0.0,1.06,0.359,3.886,7.792,9.002,10.503,6.218,0.61,0.348,0.0
2007,0.0,1.433,0.574,0.472,1.612,6.301,16.879,13.119,13.92,0.814,0.603,0.005
2008,1.634,0.331,0.618,0.43,0.857,14.239,10.49,10.781,7.042,0.814,0.039,0.0
2009,0.048,0.003,0.247,0.142,2.665,2.199,12.826,8.636,6.576,2.831,0.626,0.076
2010,0.086,0.197,0.121,0.237,1.275,6.01,5.897,5.657,3.886,2.526,0.304,1.678
2011,0.009,1.107,0.191,1.998,2.639,14.203,9.205,13.951,12.228,1.081,0.021,0.008
2012,1.656,0.968,0.111,0.842,0.319,5.685,10.48,10.313,8.366,0.715,1.389,0.501
2013,0.107,0.482,0.191,1.475,1.393,8.744,6.79,9.653,6.824,5.786,0.019,0.0
2014,0.066,1.085,0.418,0.203,1.748,6.468,13.711,11.785,6.955,1.666,0.013,0.008
2015,0.527,0.37,1.365,3.587,2.547,6.545,20.522,8.639,2.441,0.793,0.031,0.682
2016,0.166,1.868,0.397,0.167,1.741,4.316,13.184,11.384,10.125,2.132,0.103,0.0
2017,0.104,0.0,0.212,0.247,2.673,6.952,14.955,9.677,8.219,3.371,0.527,0.238
2018,0.0,0.032,0.051,4.509,4.046,4.897,13.802,8.644,6.173,2.444,0.051,2.82
2019,0.251,1.831,1.683,1.774,2.346,4.171,6.746,10.638,7.179,6.012,0.026,0.672
2020,0.483,1.111,2.239,4.12,2.001,11.569,8.927,11.605,4.949,2.101,0.019,0.018
2021,1.564,0.731,0.076,0.317,6.911,6.986,6.605,5.482,11.585,5.227,1.348,1.536
2022,1.564,0.731,0.008,0.112,2.106,3.973,5.858,9.857,4.717,2.31,0.004,0.0
2023,0.015,0.004,2.128,0.937,0.435,6.506,6.86,9.641,11.077,4.104,0.149,2.244
