Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.457,2.159,1.416,0.33,2.063,8.07,8.78,8.737,6.005,4.332,0.01,0.026
1981,0.87,2.554,2.875,6.239,10.637,5.461,10.619,6.795,5.871,0.051,0.003,2.718
1982,0.055,1.202,1.227,3.168,0.507,8.487,5.289,7.068,3.329,0.366,1.118,0.01
1983,0.402,2.529,1.066,4.03,7.199,5.191,8.912,10.768,6.628,4.939,0.13,0.763
1984,0.66,0.049,0.024,1.244,4.214,19.675,12.339,15.686,3.968,2.209,0.0,0.0
1985,0.424,1.298,0.237,2.025,7.906,8.605,8.86,7.784,6.131,3.104,0.041,0.005
1986,0.354,0.066,0.098,2.959,4.959,8.224,12.293,6.288,14.775,3.811,4.086,0.032
1987,0.084,0.036,0.717,4.483,1.723,2.717,13.392,9.615,3.893,1.361,0.585,0.077
1988,0.01,2.959,0.501,1.855,2.642,20.769,10.959,10.786,5.984,1.947,3.68,0.005
1989,0.0,0.158,0.113,0.856,4.823,7.29,13.158,7.308,9.337,7.542,0.026,0.014
1990,0.001,2.897,5.644,2.834,7.022,11.016,15.797,7.933,10.083,3.771,3.132,0.823
1991,0.639,0.718,1.221,2.081,3.484,11.291,11.631,9.785,9.329,4.303,0.14,0.684
1992,0.566,1.182,0.064,0.431,6.8,4.964,15.426,8.075,6.0,2.217,0.14,0.046
1993,0.106,0.594,2.992,3.586,5.6,17.213,8.654,12.002,12.586,4.923,1.465,0.0
1994,0.221,1.425,0.703,6.253,9.625,10.66,11.314,9.736,4.936,4.01,0.116,0.0
1995,0.138,1.881,0.525,1.403,5.925,7.627,12.419,11.35,7.957,4.13,4.823,0.001
1996,0.14,0.324,0.857,2.786,0.294,16.907,8.387,10.941,5.497,4.434,0.245,0.108
1997,0.923,0.691,2.042,8.08,2.405,8.674,17.818,11.551,9.074,0.319,0.182,1.372
1998,1.674,0.445,5.052,4.207,5.276,5.67,10.042,9.929,10.004,3.01,2.269,0.0
1999,0.0,0.0,0.033,0.373,8.363,7.475,9.872,8.34,10.737,5.41,0.089,0.0
2000,0.135,2.171,0.17,2.07,4.097,6.939,9.386,7.145,9.751,5.297,0.18,0.0
2001,0.008,0.896,1.257,1.231,8.031,12.12,14.35,6.929,8.155,4.766,1.53,0.0
2002,1.016,0.106,0.7,2.494,6.527,15.316,7.648,9.486,8.654,2.093,3.383,0.062
2003,0.051,0.579,1.792,3.605,0.675,10.622,9.231,7.735,6.499,6.032,0.209,2.063
2004,0.058,0.039,0.297,3.683,2.05,10.825,7.689,10.802,9.223,4.406,0.003,0.018
2005,0.536,0.019,2.907,1.988,2.382,6.007,11.528,6.597,8.232,12.792,0.0,0.566
2006,0.01,0.009,0.143,0.855,10.212,6.512,15.156,8.137,7.205,1.524,0.448,0.003
2007,0.028,2.484,0.297,3.098,1.63,8.78,20.023,9.465,11.214,4.86,3.492,0.004
2008,2.307,1.838,0.774,1.004,2.656,12.115,14.716,10.712,7.789,5.629,0.004,0.001
2009,0.33,0.005,0.38,0.183,5.84,3.085,8.827,10.83,8.984,3.378,0.641,0.004
2010,0.023,0.301,0.206,0.792,2.884,8.889,8.075,5.969,7.686,5.088,0.3,0.597
2011,0.006,0.174,0.362,1.766,3.765,18.995,7.887,18.014,12.185,1.213,0.059,0.028
2012,1.531,0.153,0.381,3.405,1.689,3.293,10.083,7.841,8.065,2.83,2.875,0.375
2013,0.102,0.241,0.341,1.463,2.529,7.434,7.133,11.961,10.238,11.538,0.003,0.012
2014,0.004,1.348,0.592,0.507,3.126,11.698,9.509,11.525,5.868,1.939,0.001,0.194
2015,0.802,0.801,1.653,6.012,0.747,8.744,25.551,9.107,5.907,1.465,0.07,0.724
2016,0.712,2.702,1.033,0.618,7.251,5.073,10.856,15.123,7.884,3.654,1.287,0.008
2017,0.015,0.027,2.992,1.307,1.755,9.543,17.298,10.949,7.941,8.116,1.949,2.043
2018,0.0,0.169,0.539,3.235,6.468,10.39,12.457,8.281,7.103,3.959,0.368,0.579
2019,0.057,3.185,2.48,1.965,2.346,6.772,7.21,15.267,8.814,5.24,5.353,0.454
2020,0.994,0.315,1.188,9.23,4.776,8.466,8.345,12.818,6.978,5.685,0.268,0.0
2021,0.89,1.492,0.295,0.376,4.833,13.052,11.031,8.842,13.086,6.247,1.509,4.151
2022,0.89,1.492,0.104,0.125,3.492,4.648,5.734,9.324,8.314,7.451,0.0,0.001
2023,0.01,0.07,2.857,1.554,2.038,4.446,5.927,12.195,10.4,4.625,0.86,1.264
