Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.088,0.413,0.314,0.033,0.257,4.017,13.513,10.688,12.241,0.165,0.008,0.662
1981,0.83,0.12,0.336,0.134,0.546,4.31,12.761,4.287,5.835,0.021,0.645,0.166
1982,1.578,0.527,0.651,0.201,1.375,2.91,7.163,9.061,5.881,0.129,0.524,0.355
1983,0.927,0.067,0.045,2.003,1.36,5.116,8.065,9.491,19.544,2.209,0.0,0.47
1984,0.312,1.336,0.103,0.16,0.106,3.855,10.709,8.716,7.537,0.247,0.0,0.109
1985,0.72,0.0,0.003,0.044,0.362,0.85,8.989,6.328,10.459,6.105,0.0,0.138
1986,0.339,1.134,0.077,0.281,0.87,4.56,6.896,5.716,4.653,0.765,0.046,0.944
1987,1.484,0.355,0.059,0.183,0.706,0.615,2.742,3.574,4.501,0.573,0.0,0.149
1988,0.113,0.126,0.915,0.434,0.211,1.79,13.542,14.474,5.315,1.053,0.0,1.169
1989,0.438,0.126,0.758,0.026,0.476,2.979,11.556,8.613,10.269,0.191,0.086,0.873
1990,0.0,3.492,0.273,0.315,1.383,5.593,14.904,10.107,7.614,0.261,0.051,0.72
1991,0.049,0.751,1.383,0.232,0.342,2.178,6.267,10.748,4.666,0.0,0.082,1.548
1992,0.191,0.4,0.046,0.081,0.348,0.991,5.369,10.295,4.655,2.207,0.127,0.0
1993,0.233,0.318,1.454,0.372,1.043,5.186,8.412,5.003,9.962,0.031,0.001,0.003
1994,1.584,0.816,0.022,0.341,1.043,4.362,7.521,10.181,1.962,0.009,0.0,0.0
1995,1.515,0.649,0.554,0.075,0.013,3.865,5.495,7.599,7.264,0.116,0.003,0.296
1996,2.024,2.46,0.438,0.142,0.278,8.966,10.91,11.363,4.177,4.986,0.0,0.0
1997,0.575,0.127,0.126,0.878,0.85,4.962,14.685,9.118,6.669,1.133,1.132,3.036
1998,0.252,1.148,1.954,0.43,0.659,4.282,14.904,14.61,2.678,1.653,0.077,0.0
1999,0.35,0.051,0.0,0.082,0.775,4.722,6.847,5.827,4.918,2.341,0.0,0.058
2000,0.139,0.348,0.511,0.175,1.833,6.535,11.327,5.412,2.446,0.0,0.0,0.118
2001,0.077,0.312,0.118,0.25,1.594,10.771,10.078,6.0,2.861,4.415,0.071,0.0
2002,0.99,1.342,0.136,0.162,1.056,2.173,4.058,8.157,6.963,0.348,0.111,0.791
2003,0.597,1.496,0.173,0.543,0.088,5.873,10.176,10.967,16.498,0.044,0.0,1.058
2004,1.244,0.018,0.006,1.04,0.152,5.824,5.593,6.391,5.644,2.889,0.059,0.006
2005,1.249,0.335,0.366,0.17,0.306,3.309,10.779,5.776,7.408,0.628,0.0,0.004
2006,0.0,0.0,1.049,0.27,0.796,5.461,8.899,5.714,1.367,0.036,0.01,0.626
2007,0.0,2.346,0.669,0.209,0.873,4.097,13.778,6.643,5.819,0.488,0.005,0.278
2008,0.019,0.239,0.023,0.507,0.626,9.486,17.345,11.752,6.746,0.525,0.031,0.0
2009,0.01,0.118,0.276,0.171,1.166,1.311,7.985,7.292,6.525,3.672,0.404,0.057
2010,0.107,1.316,0.046,0.032,0.379,0.688,11.765,11.399,9.164,0.695,0.291,0.543
2011,0.009,1.29,0.397,0.166,0.433,6.522,9.798,12.362,6.218,0.112,0.003,0.051
2012,1.605,1.477,0.108,0.183,0.01,0.162,12.599,10.688,7.277,0.045,0.01,0.003
2013,0.994,3.282,0.115,0.342,0.01,12.03,9.586,8.559,2.835,3.177,0.013,0.29
2014,1.405,3.055,0.214,0.067,0.34,1.164,9.679,3.36,4.442,2.287,0.0,0.981
2015,0.972,0.918,2.794,1.524,0.206,5.114,10.519,5.783,1.12,0.448,0.036,0.023
2016,0.686,0.088,0.381,0.09,1.267,3.561,14.281,9.126,4.627,1.738,0.0,0.019
2017,1.119,0.009,0.716,0.511,0.635,3.422,18.117,7.799,3.968,0.113,0.015,0.045
2018,0.129,0.366,0.133,0.397,0.695,1.735,11.68,16.4,4.825,0.067,0.01,0.006
2019,0.716,2.033,0.281,0.415,0.157,1.321,12.295,10.081,8.585,0.93,0.041,1.635
2020,2.889,0.866,2.043,0.573,1.635,6.35,12.197,7.802,2.832,0.008,0.278,0.0
2021,1.417,0.654,0.165,0.144,2.693,5.768,5.067,6.365,11.713,1.761,0.072,0.385
2022,1.417,0.654,0.0,0.063,0.765,5.752,6.041,7.107,7.699,6.715,0.067,0.041
2023,0.143,0.0,1.796,0.657,1.748,3.43,8.371,9.203,6.551,0.551,0.036,0.66
