Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.008,0.005,0.071,0.057,0.131,20.823,26.929,26.074,6.594,0.691,0.456,0.694
1981,0.062,0.0,0.001,0.054,0.268,9.427,26.764,21.771,10.686,2.311,0.273,0.028
1982,0.042,0.0,0.01,0.08,0.749,9.538,21.511,27.001,5.188,1.384,2.334,0.003
1983,0.005,0.0,0.01,0.33,0.273,10.874,22.502,22.376,13.343,3.646,0.008,0.003
1984,0.001,0.118,0.03,0.121,0.207,15.259,16.655,17.509,8.502,4.364,0.003,0.008
1985,0.0,0.0,0.077,0.049,0.612,8.175,23.733,19.184,3.412,3.423,0.005,0.01
1986,0.0,0.03,0.003,0.07,0.809,18.112,17.674,29.802,2.989,0.202,0.754,0.445
1987,0.003,0.003,0.015,0.136,0.597,5.83,15.831,19.351,4.261,3.828,0.937,0.781
1988,0.0,0.0,0.01,0.471,0.286,6.507,30.917,16.809,20.406,1.201,0.004,0.0
1989,0.003,0.0,0.089,0.053,0.469,12.321,36.191,20.352,7.851,1.965,0.173,0.01
1990,0.001,0.151,0.013,0.003,5.989,9.79,21.9,31.432,10.014,4.989,0.568,0.089
1991,0.0,0.0,0.013,0.149,0.278,22.785,39.425,20.661,4.488,0.07,0.17,0.03
1992,0.0,0.012,0.003,0.019,0.242,13.16,22.083,22.003,9.11,1.36,0.067,0.0
1993,0.004,0.0,0.076,0.104,0.494,21.596,27.858,13.531,18.027,7.246,0.491,0.491
1994,0.111,0.031,0.009,0.031,0.404,24.56,32.635,23.437,9.177,1.101,0.277,0.0
1995,0.345,0.01,0.003,0.125,0.574,4.89,25.736,12.597,9.527,4.447,0.015,0.013
1996,0.148,0.003,0.012,0.306,0.183,13.83,30.84,18.514,5.812,3.544,0.166,0.014
1997,0.152,0.005,0.067,0.234,0.219,16.62,26.63,22.778,5.987,0.178,3.674,2.758
1998,0.0,0.046,0.01,0.033,0.278,15.401,22.106,20.906,11.654,4.653,0.976,0.001
1999,0.01,0.006,0.0,0.018,2.196,17.62,24.305,12.179,10.815,4.048,0.001,0.0
2000,0.0,0.017,0.004,0.082,3.728,11.214,23.911,16.559,6.298,3.141,0.015,0.527
2001,0.0,0.0,0.005,0.008,1.213,15.421,23.182,21.045,9.285,3.701,0.084,0.004
2002,0.003,0.003,0.018,0.23,1.594,16.935,14.286,27.055,5.518,0.649,0.028,0.059
2003,0.005,0.416,0.0,0.121,0.257,13.166,25.927,18.454,10.243,0.958,0.103,0.0
2004,0.01,0.0,0.001,0.017,2.428,16.261,17.79,38.835,8.399,1.898,0.512,0.0
2005,0.054,0.022,0.018,0.162,0.353,19.976,26.815,22.407,28.937,1.733,0.0,0.003
2006,0.0,0.0,0.07,0.015,0.937,11.592,44.296,38.776,9.373,2.704,0.657,0.0
2007,0.0,0.053,0.0,0.444,0.726,21.745,19.69,26.612,9.955,0.333,0.379,0.004
2008,0.001,0.001,0.027,0.064,0.42,15.676,22.008,25.232,26.331,2.22,0.541,0.252
2009,0.0,0.0,0.059,0.009,0.167,4.926,38.25,10.215,11.443,6.276,4.545,0.013
2010,0.004,0.012,0.054,0.089,0.497,12.208,26.625,25.17,11.188,4.434,2.592,0.019
2011,0.0,0.018,0.015,0.104,0.612,16.029,27.256,21.794,11.185,2.305,0.044,0.0
2012,0.0,0.0,0.0,0.107,0.18,7.506,18.941,16.199,11.198,4.728,0.005,0.01
2013,0.0,0.021,0.022,0.057,0.433,24.3,40.269,15.887,11.888,1.885,0.112,0.067
2014,0.054,0.085,0.019,0.093,0.736,3.85,30.103,28.141,13.163,0.896,0.415,0.23
2015,0.022,0.444,0.639,0.391,0.667,16.461,17.538,9.677,9.89,3.195,1.202,0.0
2016,0.008,0.0,0.082,0.07,1.21,9.862,24.923,27.969,13.596,3.342,0.003,0.006
2017,0.0,0.0,0.015,0.019,0.998,14.141,29.429,25.203,8.482,6.244,0.028,0.164
2018,0.003,0.001,0.009,0.12,0.263,13.325,29.285,23.741,5.165,0.771,0.265,0.0
2019,0.0,0.001,0.0,0.206,0.044,9.723,29.57,30.94,20.746,7.109,0.29,0.169
2020,0.013,0.006,0.136,0.388,0.523,11.585,20.136,37.787,10.508,4.704,0.04,0.108
2021,0.389,0.003,0.006,0.317,3.105,12.02,24.905,12.468,18.545,3.141,0.776,1.514
2022,0.389,0.003,0.113,0.161,0.566,8.636,37.259,23.313,13.557,4.846,0.0,0.051
2023,0.005,0.0,0.169,0.153,0.426,11.861,35.863,10.699,14.958,0.09,0.949,0.019
