Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.351,1.17,1.801,0.14,0.33,3.306,11.283,6.517,1.661,0.129,0.368,0.192
1981,2.348,1.317,3.752,0.247,0.494,2.655,12.566,3.059,0.906,0.0,1.582,0.084
1982,3.658,1.903,3.831,1.205,1.846,0.425,14.252,10.189,0.466,0.193,0.033,0.93
1983,2.372,0.677,1.916,3.391,3.028,1.393,12.148,10.81,3.631,0.214,0.0,0.711
1984,0.6,6.103,0.136,0.272,0.139,4.081,7.887,11.466,3.26,0.0,0.005,0.765
1985,1.215,0.089,0.041,1.745,0.232,0.953,13.822,9.185,2.933,2.943,0.0,2.29
1986,0.039,1.815,0.996,1.192,3.595,8.981,12.288,7.107,0.816,0.358,0.435,1.689
1987,1.208,2.22,0.322,0.304,4.012,0.366,2.402,5.526,1.715,0.734,0.0,0.156
1988,0.094,0.621,2.885,0.188,0.657,2.814,27.747,10.467,1.967,0.0,0.003,1.999
1989,2.899,0.323,0.794,0.203,0.337,1.215,17.803,11.464,1.826,0.0,1.161,1.168
1990,0.091,6.757,1.607,0.319,0.986,3.311,12.115,9.368,3.53,0.021,0.028,2.966
1991,0.017,1.612,2.238,1.938,0.605,1.893,2.763,7.864,4.522,0.0,0.005,1.156
1992,2.413,1.656,0.785,0.192,0.505,0.703,4.576,13.366,2.163,0.01,0.207,0.0
1993,1.56,1.702,2.462,0.206,0.492,1.978,6.963,3.502,15.184,0.0,0.032,0.004
1994,2.212,2.317,0.182,0.743,0.312,3.664,13.858,15.169,1.486,0.01,0.0,0.191
1995,1.636,2.428,1.284,0.363,0.031,3.646,11.945,12.185,3.788,0.028,0.1,0.102
1996,2.32,4.119,0.493,0.422,0.299,7.133,5.706,19.847,3.674,0.207,0.0,0.012
1997,0.875,0.787,0.787,2.902,2.001,2.526,11.129,8.389,2.317,0.363,1.129,1.766
1998,0.059,2.243,2.783,1.388,0.865,4.192,10.562,6.432,1.735,3.904,0.139,0.0
1999,1.338,0.26,0.198,0.09,1.493,2.879,12.36,8.811,4.357,0.757,0.0,0.054
2000,1.134,3.472,0.529,0.276,1.213,12.107,7.259,5.006,1.496,0.0,0.0,0.004
2001,0.613,0.178,2.278,0.886,2.073,6.177,10.122,6.303,0.229,0.116,0.013,0.229
2002,1.029,3.659,1.295,0.789,0.294,1.689,2.207,16.637,8.634,0.077,0.003,0.651
2003,2.374,3.568,0.801,0.986,0.394,1.97,13.356,4.939,5.222,0.0,0.106,0.605
2004,3.143,0.144,0.001,1.353,0.404,1.602,8.907,5.621,3.023,1.696,0.031,0.256
2005,1.528,2.877,1.595,0.309,0.572,2.487,10.516,7.83,11.309,0.049,0.0,0.024
2006,1.141,0.068,1.755,0.516,0.842,1.56,7.918,3.337,1.522,0.139,0.023,0.463
2007,0.0,4.537,4.0,0.095,0.639,3.08,6.082,9.934,1.689,0.085,0.013,0.268
2008,1.084,0.693,0.111,1.143,0.936,11.533,9.88,8.541,2.111,0.407,0.082,0.004
2009,0.103,0.52,0.339,0.565,1.04,0.682,7.892,9.156,6.618,0.219,0.085,0.01
2010,0.582,1.806,0.121,0.206,1.269,0.942,26.398,12.416,13.567,0.345,0.274,1.155
2011,0.774,1.684,0.197,0.37,1.28,5.544,6.247,13.096,2.603,0.149,0.0,0.865
2012,1.634,0.695,0.18,0.814,0.049,0.126,9.038,11.407,2.456,0.044,0.098,0.313
2013,2.455,3.968,0.698,0.296,0.041,8.719,13.832,8.394,2.178,0.438,0.124,0.766
2014,1.311,3.804,1.887,0.348,0.585,0.924,6.543,4.645,2.446,0.371,0.0,1.922
2015,2.572,1.917,4.885,1.223,0.438,1.733,10.114,5.734,1.519,0.214,0.059,0.757
2016,0.076,1.406,0.711,0.232,0.93,3.149,15.478,6.52,1.123,0.08,0.0,0.142
2017,2.339,0.985,0.491,0.736,0.86,3.584,5.603,8.16,14.005,0.005,0.018,0.953
2018,0.438,0.514,0.577,0.843,0.451,1.504,12.962,12.586,6.612,0.077,0.376,0.103
2019,2.619,5.145,0.622,0.912,0.644,0.384,8.191,6.643,3.234,0.142,0.295,2.804
2020,3.815,0.579,3.162,1.065,0.827,0.827,7.578,8.085,0.682,0.005,0.157,0.386
2021,4.551,1.514,0.158,1.205,1.658,2.065,7.027,5.428,2.905,2.073,0.0,0.16
2022,4.551,1.514,0.024,0.147,0.814,4.323,9.411,3.458,4.72,3.1,0.009,0.023
2023,1.008,0.104,1.965,1.072,4.246,2.033,9.066,7.514,3.015,0.054,0.187,0.028
