Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.201,0.055,0.162,0.417,0.42,9.288,10.361,13.472,12.705,1.853,0.027,0.363
1981,1.345,0.0,1.706,0.075,0.229,4.843,11.07,11.366,8.698,0.205,0.028,0.008
1982,0.574,0.189,0.225,0.117,0.337,3.888,10.434,18.836,5.325,2.42,0.16,0.008
1983,0.0,1.321,0.004,0.765,0.451,7.488,8.273,12.434,9.772,1.733,0.053,0.657
1984,1.456,0.698,0.005,1.12,0.112,5.732,6.903,20.149,3.311,0.958,0.0,0.09
1985,2.059,0.184,0.075,0.156,0.274,8.26,11.87,13.442,5.871,1.837,0.0,0.013
1986,0.891,3.355,0.188,0.29,0.314,16.284,12.867,13.827,2.212,0.81,0.449,1.157
1987,0.818,0.085,0.366,0.041,0.863,2.014,7.153,12.027,3.571,2.437,1.123,0.113
1988,0.009,1.594,0.046,0.326,0.095,4.874,11.283,10.807,6.224,1.612,0.027,0.0
1989,0.0,0.0,0.404,0.01,0.152,10.65,8.711,10.619,7.377,0.046,0.009,0.552
1990,0.009,0.776,0.574,0.391,6.391,19.76,10.22,10.578,10.179,4.879,0.245,0.335
1991,0.809,0.33,0.341,0.439,0.191,5.302,7.774,12.136,1.777,1.192,1.644,0.439
1992,0.012,0.084,0.157,0.38,0.319,5.212,8.747,18.035,4.676,0.662,0.395,0.0
1993,0.0,0.313,0.175,0.152,0.314,5.443,16.994,14.893,5.541,1.702,0.001,0.0
1994,0.223,1.531,0.036,0.613,0.299,15.308,20.205,13.542,5.328,2.507,0.153,0.0
1995,1.741,0.809,1.246,0.288,2.717,4.285,12.151,7.872,5.915,1.9,0.018,0.01
1996,0.257,0.278,0.151,0.337,0.041,5.114,7.807,8.572,4.434,1.614,0.062,0.0
1997,0.461,0.0,0.323,1.344,0.082,1.855,12.759,13.194,6.172,1.324,1.156,1.931
1998,2.693,0.288,1.37,0.296,1.264,4.133,9.852,8.608,10.869,2.675,1.887,0.0
1999,0.0,0.38,0.0,0.0,1.076,8.593,10.395,14.332,8.881,1.432,0.03,0.0
2000,0.032,1.214,0.019,0.077,1.772,9.275,12.751,9.455,4.408,0.057,0.0,0.0
2001,0.232,0.0,0.834,1.166,0.43,9.705,13.441,10.483,1.622,2.96,0.323,0.0
2002,0.152,0.095,0.613,0.131,0.281,8.155,6.664,11.464,5.848,1.099,0.005,0.031
2003,0.0,0.977,0.474,0.319,0.0,3.631,15.089,12.349,15.058,4.822,0.152,0.332
2004,1.657,0.082,0.285,0.404,0.317,7.993,11.67,8.041,4.527,1.294,0.093,0.001
2005,3.202,0.009,0.04,0.08,0.409,4.256,15.035,8.345,10.743,1.46,0.0,0.059
2006,0.0,0.0,2.316,0.471,1.218,2.111,12.604,14.492,3.682,0.381,0.407,0.0
2007,0.0,0.897,0.051,0.587,0.144,11.185,9.754,10.501,10.439,1.145,0.309,0.0
2008,0.182,0.6,0.986,0.2,0.036,10.107,7.987,9.164,6.574,0.636,0.216,0.0
2009,0.027,0.0,0.108,0.104,0.157,3.116,21.269,10.722,2.714,1.733,1.012,0.157
2010,0.248,0.099,0.044,0.085,0.152,3.893,17.685,9.934,11.008,2.137,0.95,1.096
2011,0.0,0.382,0.01,1.412,0.183,5.806,9.604,8.505,8.714,0.157,0.0,0.628
2012,1.029,0.026,0.01,0.193,0.16,4.581,11.814,10.987,9.553,2.118,2.355,0.08
2013,0.067,1.099,0.157,1.509,0.021,13.763,10.369,10.547,4.74,7.104,0.004,0.0
2014,0.017,0.377,1.124,0.188,0.072,2.173,22.896,6.934,6.218,2.577,0.149,0.055
2015,0.216,0.076,1.311,0.953,0.87,8.652,9.597,9.602,5.922,0.252,0.01,0.5
2016,0.091,0.511,0.448,0.255,0.42,6.404,13.523,13.516,9.324,2.562,0.046,0.0
2017,0.044,0.001,0.35,0.001,0.527,5.067,6.824,6.865,6.669,1.838,0.044,0.0
2018,0.0,0.552,0.202,0.532,0.512,4.81,14.159,14.18,5.209,0.075,0.013,2.717
2019,0.726,1.109,0.524,0.288,0.033,2.776,12.143,12.609,14.036,2.292,0.033,0.321
2020,0.779,1.115,1.772,0.225,0.327,8.039,7.81,15.166,6.721,3.752,0.094,0.021
2021,1.094,0.091,0.085,0.142,0.639,8.343,9.625,4.856,9.88,1.318,2.732,0.739
2022,1.094,0.091,0.008,0.033,0.198,5.082,14.829,18.395,7.127,3.78,0.0,0.201
2023,0.01,0.0,0.675,1.204,0.429,14.973,9.12,7.042,12.282,0.34,0.306,1.069
